"zone","mean","max","min","sd"
416,NA,-Inf,Inf,NA
417,NA,-Inf,Inf,NA
419,NA,-Inf,Inf,NA
421,NA,-Inf,Inf,NA
465,NA,-Inf,Inf,NA
561,NA,-Inf,Inf,NA
603,0.901642349491149,0.991452813148499,0.0607131570577621,0.15712434975609
604,0.843618464730089,0.985991299152374,0.28682154417038,0.112400246662829
605,0.908555325010035,0.990020036697388,0.360394805669785,0.11432687952072
606,0.950240899240021,0.99349570274353,0.738478899002075,0.0384027292760696
607,0.843054281342335,0.993075847625732,0.00589709915220737,0.20870511115645
608,0.871278326166162,0.997894465923309,0.142378270626068,0.144331633452877
648,NA,-Inf,Inf,NA
665,NA,-Inf,Inf,NA
668,NA,-Inf,Inf,NA
686,NA,-Inf,Inf,NA
687,NA,-Inf,Inf,NA
888,NA,-Inf,Inf,NA
934,NA,-Inf,Inf,NA
935,0.371087087327804,0.978847622871399,0.0164612010121346,0.240945594816822
936,NA,-Inf,Inf,NA
937,0.82255229666227,0.990711033344269,0.11219760030508,0.1684571963296
938,0.521070537723753,0.993330419063568,0.025947567075491,0.296925274464974
939,NA,-Inf,Inf,NA
940,NA,-Inf,Inf,NA
941,NA,-Inf,Inf,NA
942,NA,-Inf,Inf,NA
943,NA,-Inf,Inf,NA
944,0.546587452973834,0.998151421546936,0.00242084148339927,0.373515493464609
945,0.25691737121214,0.658087551593781,0.0379960723221302,0.191054337495233
946,0.676713501334595,0.994844734668732,0.0209901742637157,0.258151803446337
947,0.246873150155733,0.926371574401855,0.00210965960286558,0.229640721972816
948,NA,-Inf,Inf,NA
949,NA,-Inf,Inf,NA
950,0.467380145679234,0.970157563686371,0.00260907597839832,0.252099895404009
951,NA,-Inf,Inf,NA
952,NA,-Inf,Inf,NA
953,0.629155330199557,0.989468395709991,0.012619218789041,0.2844380224693
954,NA,-Inf,Inf,NA
955,0.614731867346389,0.990915536880493,0.00402759620919824,0.244180074199895
956,NA,-Inf,Inf,NA
957,NA,-Inf,Inf,NA
958,NA,-Inf,Inf,NA
959,NA,-Inf,Inf,NA
960,NA,-Inf,Inf,NA
961,NA,-Inf,Inf,NA
962,0.335457572537683,0.935839712619781,0.00270016957074404,0.24057059450651
963,NA,-Inf,Inf,NA
964,0.406075311240581,0.991685628890991,0.00147930753882974,0.380568830565012
965,NA,-Inf,Inf,NA
966,NA,-Inf,Inf,NA
981,0.908760120732742,0.995255589485168,0.490949094295502,0.0898193651355072
982,0.761417006949584,0.985074102878571,0.134197160601616,0.181384190022958
983,0.959219841917684,0.999537885189056,0.582408547401428,0.0508240345942304
