"zone","mean","max","min","sd"
429,0.233996474147206,0.938654184341431,0.00114563410170376,0.209949441526471
430,0.0889691203832626,0.256431609392166,0.0137967430055141,0.0716543118537023
431,0.169274577496408,0.884409010410309,6.28382040304132e-05,0.210814563662466
432,0.939953107483449,0.998146057128906,0.300464242696762,0.0785012722437137
434,0.437790153829257,0.991792857646942,0.00297871534712613,0.275467831238483
435,0.885609546182818,0.990799129009247,0.13728204369545,0.0823463897308173
436,0.503975934688281,0.991499722003937,0.00710595306009054,0.355169277322981
437,0.935537666980529,0.999431848526001,0.0929163545370102,0.121764753648042
438,0.222696942469216,0.899995625019073,0.000250752986175939,0.209917370528608
439,NA,-Inf,Inf,NA
440,0.0550250801182276,0.106590360403061,0.00917323678731918,0.0237221353304468
441,NA,-Inf,Inf,NA
442,0.84304114056002,0.999587416648865,0.124753065407276,0.186393886107518
443,NA,-Inf,Inf,NA
445,0.402109599836936,0.993320226669312,5.89058399782516e-05,0.304180152903297
446,NA,-Inf,Inf,NA
447,NA,-Inf,Inf,NA
449,0.808430353950907,0.997571408748627,0.020220261067152,0.235973988566413
450,0.530779149995064,0.987218916416168,0.00580464815720916,0.241786911809644
452,0.346993325880488,0.958358585834503,0.000720314041245729,0.252106559056976
465,NA,-Inf,Inf,NA
648,0.332004951969416,0.929429769515991,0.0221528094261885,0.190498421014313
665,0.513747491723265,0.988797605037689,0.0388184264302254,0.221269777322392
666,0.541238022188428,0.9892897605896,0.0262822397053242,0.307411752296927
667,0.690058802120273,0.997656047344208,0.0543275065720081,0.209127425009443
668,0.684162508885454,0.99858421087265,0.00584350153803825,0.250293956599502
669,0.6998298755894,0.999023914337158,0.00764329405501485,0.243650962446393
670,0.685298476334471,0.998755395412445,0.0464846901595592,0.217733635311896
671,0.785171005151255,0.964717388153076,0.293565034866333,0.106116373674458
672,0.908180694703528,0.999060869216919,0.109728507697582,0.129083482804061
673,0.904730591055366,0.999262690544128,0.196444183588028,0.102780933950138
