"zone","mean","max","min","sd"
575,0.926349180859052,0.98935079574585,0.0230969078838825,0.122562190113034
576,0.941895141004962,0.998315751552582,0.0159204248338938,0.0836956375827785
577,0.893930363813508,0.992714405059814,0.049227137118578,0.124388623091835
578,0.934392052119965,0.994356393814087,0.502504467964172,0.0586717767775599
579,0.943244380891255,0.998760759830475,0.314452290534973,0.079338396282048
580,0.903546480447289,0.994905591011047,0.440715879201889,0.101668792590012
622,NA,-Inf,Inf,NA
623,0.703634629481369,0.995351374149323,0.0870612785220146,0.216797555476945
624,0.70168541395475,0.991059184074402,0.136216908693314,0.167863552643939
625,NA,-Inf,Inf,NA
626,0.487151016791662,0.745980322360992,0.129360020160675,0.165701611708298
627,NA,-Inf,Inf,NA
628,0.733962477864446,0.991487860679626,0.414849817752838,0.143995853970788
629,0.0970090292394161,0.110223911702633,0.0837941467761993,0.0186886660046475
630,0.790342555596278,0.992326259613037,0.516591429710388,0.14052010848796
631,NA,-Inf,Inf,NA
632,0.685269816628387,0.99335241317749,0.173330441117287,0.20837244109033
633,0.808037550785603,0.995477735996246,0.43989086151123,0.13402953286392
634,0.803497404401953,0.991576969623566,0.189087003469467,0.163612422588581
635,0.150422105565667,0.261614114046097,0.0765734985470772,0.0801963221583917
636,NA,-Inf,Inf,NA
637,0.460434067655693,0.85980361700058,0.0563524141907692,0.241252434706481
638,0.546749219298363,0.671774089336395,0.272888004779816,0.13823953020715
639,0.71659301314503,0.8973268866539,0.328999727964401,0.114170661227198
640,0.517480890665736,0.776968955993652,0.182744175195694,0.1559634676272
641,0.727612807653671,0.991889297962189,0.276885718107224,0.174750810030309
696,NA,-Inf,Inf,NA
698,0.881583702208391,0.988147735595703,0.482607185840607,0.116682287369034
699,0.73877384610798,0.946155250072479,0.504269778728485,0.116808869355197
700,0.633591867861201,0.817849457263947,0.298025608062744,0.110897808233091
701,0.783326032391766,0.982618451118469,0.414835304021835,0.124002087000398
791,0.936082130110504,0.99940037727356,0.673126339912415,0.0631914041389661
792,0.944632980395371,0.998471617698669,0.676762521266937,0.0610900564911477
793,0.938685417043715,0.997812390327454,0.490612953901291,0.0747408918438517
794,0.967658232281527,0.998164296150208,0.609044194221497,0.0501656209184359
795,0.98203566295658,0.998917579650879,0.907965540885925,0.0139499969024937
796,0.947326503870851,0.998295664787292,0.655614793300629,0.042940903313632
