"zone","mean","max","min","sd"
416,0.814768135547638,0.814768135547638,0.814768135547638,NA
417,0.85872608423233,0.860748708248138,0.856703460216522,0.00286042231473736
419,0.864539742469788,0.864539742469788,0.864539742469788,NA
421,NA,-Inf,Inf,NA
437,NA,-Inf,Inf,NA
438,NA,-Inf,Inf,NA
445,NA,-Inf,Inf,NA
465,NA,-Inf,Inf,NA
581,0.760740339756012,0.945859909057617,0.516201436519623,0.220906300702041
582,0.535924077033997,0.535924077033997,0.535924077033997,NA
583,0.393508777022362,0.669989943504333,0.202138349413872,0.245263443927013
584,0.969432175159454,0.972067356109619,0.96679699420929,0.00372670863903027
586,0.338733047246933,0.338733047246933,0.338733047246933,NA
587,0.762334108352661,0.762334108352661,0.762334108352661,NA
588,0.910833060741425,0.910833060741425,0.910833060741425,NA
589,0.465001776814461,0.634108662605286,0.295894891023636,0.239153251376063
590,0.700805246829987,0.861025393009186,0.417270302772522,0.246240836498651
591,0.600350886583328,0.796281278133392,0.310034781694412,0.256496415153621
648,NA,-Inf,Inf,NA
665,NA,-Inf,Inf,NA
666,0.743400142164097,0.996478199958801,0.0842841789126396,0.230917439194481
667,0.748626932531972,0.991802871227264,0.0794569849967957,0.194796725101034
668,0.85058069229126,0.85058069229126,0.85058069229126,NA
669,0.543164434998047,0.996659398078918,0.0252665653824806,0.289228512095696
670,0.641448976776003,0.990133106708527,0.01395567599684,0.295452042639014
671,0.862070798873901,0.862070798873901,0.862070798873901,NA
672,0.528929315127212,0.988033652305603,0.0206903722137213,0.29507603185917
673,NA,-Inf,Inf,NA
674,0.633696195329441,0.975409030914307,0.0553990565240383,0.220025198684871
675,NA,-Inf,Inf,NA
676,NA,-Inf,Inf,NA
677,NA,-Inf,Inf,NA
678,0.706231411734036,0.988540470600128,0.12071517854929,0.1871206866654
679,0.454257086470129,0.932819783687592,0.0194876343011856,0.221882344817645
680,NA,-Inf,Inf,NA
681,0.592672004088856,0.99555915594101,0.0836846753954887,0.275375494405298
682,0.662064357948749,0.98727023601532,0.017358997836709,0.276858360938065
683,0.366623328674012,0.988515973091125,0.00393302319571376,0.302690353784523
684,0.440280678347335,0.983521401882172,0.0350828729569912,0.282119634125462
686,0.0323377996683121,0.0323377996683121,0.0323377996683121,NA
687,NA,-Inf,Inf,NA
688,0.224119514226913,0.224119514226913,0.224119514226913,NA
689,0.143575777453403,0.909974098205566,0.00406304094940424,0.113213789691383
690,0.742695481733607,0.997051477432251,0.0953792482614517,0.217083326366184
691,NA,-Inf,Inf,NA
692,NA,-Inf,Inf,NA
