"zone","mean","max","min","sd"
305,NA,-Inf,Inf,NA
306,NA,-Inf,Inf,NA
307,NA,-Inf,Inf,NA
308,NA,-Inf,Inf,NA
309,0.248002698877826,0.482648640871048,0.00340075651183724,0.163292139114517
310,NA,-Inf,Inf,NA
311,NA,-Inf,Inf,NA
312,NA,-Inf,Inf,NA
313,NA,-Inf,Inf,NA
314,NA,-Inf,Inf,NA
315,0.457992267484466,0.858509123325348,0.220430731773376,0.161210623167281
316,NA,-Inf,Inf,NA
317,NA,-Inf,Inf,NA
318,NA,-Inf,Inf,NA
319,NA,-Inf,Inf,NA
320,NA,-Inf,Inf,NA
321,0.329482185109606,0.874273896217346,0.0435900837182999,0.208777903411057
322,NA,-Inf,Inf,NA
323,0.213211420178413,0.466935515403748,0.0815485343337059,0.12152381757603
324,NA,-Inf,Inf,NA
325,NA,-Inf,Inf,NA
326,0.187451853161497,0.749315679073334,0.00507709477096796,0.188963560714397
327,NA,-Inf,Inf,NA
328,NA,-Inf,Inf,NA
329,0.296378127166203,0.662147521972656,0.081367589533329,0.132901219028138
330,NA,-Inf,Inf,NA
331,NA,-Inf,Inf,NA
332,NA,-Inf,Inf,NA
333,0.245790366999439,0.762746334075928,0.0638948306441307,0.128562292949116
334,NA,-Inf,Inf,NA
335,0.242069106718356,0.871292352676392,0.00433858204632998,0.163871319060811
336,NA,-Inf,Inf,NA
337,NA,-Inf,Inf,NA
338,NA,-Inf,Inf,NA
339,0.255464180642074,0.755686223506927,0.00287543260492384,0.235125055999263
340,NA,-Inf,Inf,NA
342,NA,-Inf,Inf,NA
343,NA,-Inf,Inf,NA
344,NA,-Inf,Inf,NA
345,NA,-Inf,Inf,NA
346,NA,-Inf,Inf,NA
348,NA,-Inf,Inf,NA
349,NA,-Inf,Inf,NA
350,NA,-Inf,Inf,NA
351,NA,-Inf,Inf,NA
352,NA,-Inf,Inf,NA
353,NA,-Inf,Inf,NA
354,NA,-Inf,Inf,NA
355,NA,-Inf,Inf,NA
356,NA,-Inf,Inf,NA
357,NA,-Inf,Inf,NA
358,NA,-Inf,Inf,NA
359,NA,-Inf,Inf,NA
360,NA,-Inf,Inf,NA
361,NA,-Inf,Inf,NA
363,NA,-Inf,Inf,NA
364,NA,-Inf,Inf,NA
365,NA,-Inf,Inf,NA
366,NA,-Inf,Inf,NA
367,NA,-Inf,Inf,NA
368,NA,-Inf,Inf,NA
369,NA,-Inf,Inf,NA
370,NA,-Inf,Inf,NA
371,NA,-Inf,Inf,NA
372,NA,-Inf,Inf,NA
373,NA,-Inf,Inf,NA
374,NA,-Inf,Inf,NA
375,NA,-Inf,Inf,NA
376,NA,-Inf,Inf,NA
377,NA,-Inf,Inf,NA
378,NA,-Inf,Inf,NA
379,NA,-Inf,Inf,NA
380,NA,-Inf,Inf,NA
382,NA,-Inf,Inf,NA
384,NA,-Inf,Inf,NA
385,NA,-Inf,Inf,NA
386,NA,-Inf,Inf,NA
387,NA,-Inf,Inf,NA
388,NA,-Inf,Inf,NA
391,0.343693390488625,0.359289139509201,0.328097641468048,0.0220557197802662
392,0.153906777501106,0.243128210306168,0.0826701372861862,0.0663622770694474
393,0.165058517562492,0.376008808612823,0.0562079437077045,0.113541814597789
394,0.120871655642986,0.171887099742889,0.0698562115430832,0.0721467329365695
395,0.113478522747755,0.136030703783035,0.081879734992981,0.023437026883917
396,0.165308901241847,0.248096108436584,0.127935096621513,0.0461530473446129
397,0.353289887309074,0.498656213283539,0.271344661712646,0.1002654220535
478,0.76849084063188,0.984117150306702,0.148049384355545,0.201032143718554
479,0.49463588008111,0.986559450626373,0.00269613810814917,0.343424803895592
480,0.912719844819204,0.997396528720856,0.173238977789879,0.0885183316434258
481,0.921877919537701,0.998680472373962,0.011807213537395,0.165939764636277
482,0.459460321967289,0.997729122638702,0.00224024872295558,0.367595743714963
483,0.690265984234533,0.997760772705078,0.00594122894108295,0.312123819270363
484,0.289047718521199,0.995463788509369,0.00400573713704944,0.334423090626595
485,0.441449383946642,0.996028304100037,0.00575791019946337,0.390323134735786
486,0.944680982622607,0.991727471351624,0.801150977611542,0.0535592831059795
497,NA,-Inf,Inf,NA
502,NA,-Inf,Inf,NA
593,0.715871719178186,0.985637903213501,0.103571131825447,0.140898555174337
594,0.835761873929169,0.992171049118042,0.189579471945763,0.12964521136389
595,0.612245677237059,0.978437721729279,0.07402004301548,0.216364897813973
596,0.545105828739212,0.983798742294312,0.00993807334452868,0.203012992162576
597,0.957589871353573,0.980983376502991,0.918849229812622,0.017737367192597
598,0.338521438299266,0.948571503162384,0.00950175616890192,0.28457086115652
