"zone","mean","max","min","sd"
698,0.573890438346007,0.938798844814301,0.0885293707251549,0.160650391194398
699,0.573264188387177,0.901365756988525,0.265336155891418,0.18004011211904
700,0.385201742170287,0.688579201698303,0.102522775530815,0.147720919122096
701,0.681053995040425,0.921496033668518,0.376341432332993,0.160765602225864
900,NA,-Inf,Inf,NA
1099,NA,-Inf,Inf,NA
1150,NA,-Inf,Inf,NA
1501,NA,-Inf,Inf,NA
1602,0.566118538379669,0.566118538379669,0.566118538379669,NA
1901,0.765581907275046,0.996502935886383,0.0631710141897202,0.181289821005679
1902,0.528827846968217,0.935482919216156,0.0603815726935863,0.205766264083874
2362,NA,-Inf,Inf,NA
8988,0.0597072914242744,0.0597072914242744,0.0597072914242744,NA
37336,0.61390033364296,0.769790351390839,0.371601432561874,0.212693382851262
67156,NA,-Inf,Inf,NA
67167,0.31573677659824,0.844739675521851,0.00441448716446757,0.196626266573206
114322,0.275482952594757,0.275482952594757,0.275482952594757,NA
146444,NA,-Inf,Inf,NA
369823,NA,-Inf,Inf,NA
451584,0.367174476385117,0.367174476385117,0.367174476385117,NA
507794,NA,-Inf,Inf,NA
507798,NA,-Inf,Inf,NA
676425,NA,-Inf,Inf,NA
788846,0.246715039014816,0.246715039014816,0.246715039014816,NA
901266,0.80894672870636,0.80894672870636,0.80894672870636,NA
912508,NA,-Inf,Inf,NA
1012334,NA,-Inf,Inf,NA
1012342,NA,-Inf,Inf,NA
1012345,NA,-Inf,Inf,NA
1012346,NA,-Inf,Inf,NA
1012348,NA,-Inf,Inf,NA
1012355,NA,-Inf,Inf,NA
1012356,NA,-Inf,Inf,NA
1012357,NA,-Inf,Inf,NA
1012359,NA,-Inf,Inf,NA
1012376,NA,-Inf,Inf,NA
1013663,NA,-Inf,Inf,NA
1013665,NA,-Inf,Inf,NA
1013667,0.700173397847997,0.986191809177399,0.0923578441143036,0.178726239218684
1013668,NA,-Inf,Inf,NA
1013669,0.23073107498483,0.87592339515686,0.0325701460242271,0.168462913258862
1013671,NA,-Inf,Inf,NA
1013672,NA,-Inf,Inf,NA
1013674,NA,-Inf,Inf,NA
1013676,NA,-Inf,Inf,NA
1013678,NA,-Inf,Inf,NA
1013680,0.854264974594116,0.854264974594116,0.854264974594116,NA
1013682,NA,-Inf,Inf,NA
1013684,NA,-Inf,Inf,NA
1013685,0.604082567692752,0.988824009895325,0.0239265747368336,0.214078496482069
1013686,0.219342646773446,0.813132882118225,0.0176431033760309,0.161326300199955
1013687,0.766984025400089,0.995159804821014,0.0605932287871838,0.184889171654584
1013689,NA,-Inf,Inf,NA
1013690,NA,-Inf,Inf,NA
1013691,NA,-Inf,Inf,NA
1013692,NA,-Inf,Inf,NA
1013695,NA,-Inf,Inf,NA
