"zone","mean","max","min","sd"
416,NA,-Inf,Inf,NA
417,NA,-Inf,Inf,NA
419,NA,-Inf,Inf,NA
421,NA,-Inf,Inf,NA
431,NA,-Inf,Inf,NA
432,0.0762660582456707,0.233089983463287,0.00156961404718459,0.0452886401449812
434,NA,-Inf,Inf,NA
435,0.015372218954094,0.205607399344444,0.00015779078239575,0.0150647937149621
437,0.0471802574829451,0.249140962958336,0.00417079078033566,0.0433765191788668
438,NA,-Inf,Inf,NA
440,NA,-Inf,Inf,NA
442,0.0752782337297329,0.749730825424194,0.000916492019314319,0.0974737977347667
445,NA,-Inf,Inf,NA
446,NA,-Inf,Inf,NA
449,0.0477757916633767,0.177688598632812,0.00109164800960571,0.0313472528039558
450,NA,-Inf,Inf,NA
452,NA,-Inf,Inf,NA
465,NA,-Inf,Inf,NA
581,NA,-Inf,Inf,NA
582,NA,-Inf,Inf,NA
583,NA,-Inf,Inf,NA
584,NA,-Inf,Inf,NA
586,NA,-Inf,Inf,NA
587,NA,-Inf,Inf,NA
588,NA,-Inf,Inf,NA
589,NA,-Inf,Inf,NA
590,NA,-Inf,Inf,NA
591,NA,-Inf,Inf,NA
603,0.42965399280557,0.911179423332214,0.000482637464301661,0.249052826401234
604,0.506662644652857,0.963269114494324,0.00626373570412397,0.248272655106459
605,0.401327830906957,0.8853759765625,0.000298312399536371,0.229285389698357
606,0.375091192819409,0.941204786300659,0.0120610231533647,0.256440799615904
607,0.407303565761118,0.827050447463989,0.0171864032745361,0.22629146846495
608,0.305731749521369,0.946193993091583,0.000506247277371585,0.263963287025076
648,0.753979654626845,0.990530371665955,0.195584699511528,0.141298957007994
665,0.71641221807635,0.994455695152283,0.0149868847802281,0.218650028771771
666,NA,-Inf,Inf,NA
667,0.807493840991647,0.999110281467438,0.00362826907075942,0.198597713077284
668,0.857239413835154,0.999469101428986,0.00391470454633236,0.135288192246792
669,0.275082179411531,0.996657192707062,0.000340591068379581,0.283828431187304
670,0.24341409686606,0.91577410697937,0.00140040914993733,0.1882692194562
671,0.919024645421479,0.992156088352203,0.650183618068695,0.0569599934827705
672,0.647102799872578,0.992254436016083,0.000605381675995886,0.225323792051383
673,0.952488222926727,0.999375939369202,0.256436705589294,0.0664612280811529
674,0.645679513773448,0.992160201072693,9.42918777582236e-05,0.228717518418221
675,0.80678715073973,0.999147474765778,0.0733639374375343,0.189806038452673
676,0.650678729769323,0.99185585975647,0.0343934744596481,0.265679438500758
677,0.825116960188158,0.997540891170502,0.0167879685759544,0.200479539679944
678,0.753367910962945,0.998005509376526,0.0023454031907022,0.172312857719472
679,NA,-Inf,Inf,NA
