"zone","mean","max","min","sd"
698,0.902031363835975,0.985203385353088,0.713637888431549,0.0544021461115152
699,0.885195054113865,0.962439298629761,0.739958226680756,0.0585453119833177
700,0.707540060164499,0.888436257839203,0.317271649837494,0.13050393731431
701,0.86120653570744,0.971225321292877,0.318912982940674,0.121814396563184
791,NA,-Inf,Inf,NA
792,NA,-Inf,Inf,NA
793,NA,-Inf,Inf,NA
794,NA,-Inf,Inf,NA
795,NA,-Inf,Inf,NA
796,NA,-Inf,Inf,NA
797,NA,-Inf,Inf,NA
798,NA,-Inf,Inf,NA
799,NA,-Inf,Inf,NA
800,NA,-Inf,Inf,NA
801,NA,-Inf,Inf,NA
802,NA,-Inf,Inf,NA
803,NA,-Inf,Inf,NA
804,NA,-Inf,Inf,NA
805,NA,-Inf,Inf,NA
806,NA,-Inf,Inf,NA
807,NA,-Inf,Inf,NA
808,NA,-Inf,Inf,NA
809,NA,-Inf,Inf,NA
810,NA,-Inf,Inf,NA
811,NA,-Inf,Inf,NA
812,NA,-Inf,Inf,NA
813,NA,-Inf,Inf,NA
814,NA,-Inf,Inf,NA
900,NA,-Inf,Inf,NA
906,NA,-Inf,Inf,NA
931,NA,-Inf,Inf,NA
1099,NA,-Inf,Inf,NA
1150,0.52858555316925,0.52858555316925,0.52858555316925,NA
1152,NA,-Inf,Inf,NA
1223,NA,-Inf,Inf,NA
1405,NA,-Inf,Inf,NA
1501,NA,-Inf,Inf,NA
1602,0.672032058238983,0.672032058238983,0.672032058238983,NA
1649,NA,-Inf,Inf,NA
1712,NA,-Inf,Inf,NA
1753,NA,-Inf,Inf,NA
1755,NA,-Inf,Inf,NA
1756,NA,-Inf,Inf,NA
1758,NA,-Inf,Inf,NA
1763,NA,-Inf,Inf,NA
1764,NA,-Inf,Inf,NA
1765,NA,-Inf,Inf,NA
1766,NA,-Inf,Inf,NA
1768,NA,-Inf,Inf,NA
1891,NA,-Inf,Inf,NA
1892,NA,-Inf,Inf,NA
1893,NA,-Inf,Inf,NA
1894,NA,-Inf,Inf,NA
1895,NA,-Inf,Inf,NA
1896,NA,-Inf,Inf,NA
1897,NA,-Inf,Inf,NA
1898,NA,-Inf,Inf,NA
1899,NA,-Inf,Inf,NA
1900,NA,-Inf,Inf,NA
1901,0.861722596562661,0.998049318790436,0.00694116950035095,0.131861990624247
1902,0.856190918953244,0.99837201833725,0.0990833789110184,0.150986503088971
1903,NA,-Inf,Inf,NA
1904,NA,-Inf,Inf,NA
2032,NA,-Inf,Inf,NA
2045,NA,-Inf,Inf,NA
2084,NA,-Inf,Inf,NA
2101,NA,-Inf,Inf,NA
2148,NA,-Inf,Inf,NA
2152,NA,-Inf,Inf,NA
2233,NA,-Inf,Inf,NA
2234,NA,-Inf,Inf,NA
2276,NA,-Inf,Inf,NA
2332,NA,-Inf,Inf,NA
2354,0.618267014854192,0.980859637260437,0.0263654142618179,0.286082234683756
2355,0.2170044748169,0.670335173606873,0.0475927479565144,0.159487030129266
2356,0.285952484762195,0.955350935459137,0.00162209896370769,0.22460872122396
2357,0.723471654081436,0.989843010902405,0.0518034771084785,0.239054404925893
2361,0.83643086081665,0.994396805763245,0.00101426453329623,0.1677961108353
2362,0.692420678807274,0.988037168979645,0.00273344712331891,0.24526559842158
2363,0.688112663057481,0.983424365520477,0.0119489254429936,0.241629828947379
2364,0.897235550757952,0.995794951915741,0.00136231945361942,0.106514216423953
2368,0.878136938200359,0.997869431972504,0.15498223900795,0.144323508497042
2389,NA,-Inf,Inf,NA
2510,NA,-Inf,Inf,NA
2573,NA,-Inf,Inf,NA
2635,NA,-Inf,Inf,NA
2658,NA,-Inf,Inf,NA
2659,NA,-Inf,Inf,NA
2660,NA,-Inf,Inf,NA
2662,NA,-Inf,Inf,NA
2663,NA,-Inf,Inf,NA
2665,NA,-Inf,Inf,NA
2666,NA,-Inf,Inf,NA
2798,NA,-Inf,Inf,NA
2851,NA,-Inf,Inf,NA
2852,NA,-Inf,Inf,NA
2853,NA,-Inf,Inf,NA
2854,NA,-Inf,Inf,NA
2855,NA,-Inf,Inf,NA
2856,NA,-Inf,Inf,NA
2857,NA,-Inf,Inf,NA
2858,NA,-Inf,Inf,NA
2859,NA,-Inf,Inf,NA
2861,NA,-Inf,Inf,NA
2862,NA,-Inf,Inf,NA
2863,NA,-Inf,Inf,NA
2864,NA,-Inf,Inf,NA
2865,NA,-Inf,Inf,NA
2866,NA,-Inf,Inf,NA
2867,NA,-Inf,Inf,NA
2868,NA,-Inf,Inf,NA
2869,NA,-Inf,Inf,NA
2870,NA,-Inf,Inf,NA
2871,NA,-Inf,Inf,NA
2872,NA,-Inf,Inf,NA
2873,NA,-Inf,Inf,NA
2874,NA,-Inf,Inf,NA
2875,NA,-Inf,Inf,NA
2876,NA,-Inf,Inf,NA
2877,NA,-Inf,Inf,NA
2878,NA,-Inf,Inf,NA
2879,NA,-Inf,Inf,NA
2880,NA,-Inf,Inf,NA
2881,NA,-Inf,Inf,NA
2882,NA,-Inf,Inf,NA
2883,NA,-Inf,Inf,NA
2884,NA,-Inf,Inf,NA
2885,NA,-Inf,Inf,NA
2886,NA,-Inf,Inf,NA
2887,NA,-Inf,Inf,NA
2888,NA,-Inf,Inf,NA
2889,NA,-Inf,Inf,NA
2890,NA,-Inf,Inf,NA
2891,NA,-Inf,Inf,NA
2892,NA,-Inf,Inf,NA
2893,NA,-Inf,Inf,NA
2894,NA,-Inf,Inf,NA
2895,NA,-Inf,Inf,NA
2896,NA,-Inf,Inf,NA
2897,NA,-Inf,Inf,NA
2898,NA,-Inf,Inf,NA
2899,NA,-Inf,Inf,NA
2900,NA,-Inf,Inf,NA
2901,NA,-Inf,Inf,NA
2902,NA,-Inf,Inf,NA
2903,NA,-Inf,Inf,NA
2904,NA,-Inf,Inf,NA
2905,NA,-Inf,Inf,NA
2906,NA,-Inf,Inf,NA
2907,NA,-Inf,Inf,NA
2908,NA,-Inf,Inf,NA
2909,NA,-Inf,Inf,NA
2910,NA,-Inf,Inf,NA
2911,NA,-Inf,Inf,NA
2912,NA,-Inf,Inf,NA
2913,NA,-Inf,Inf,NA
2914,NA,-Inf,Inf,NA
2915,NA,-Inf,Inf,NA
2916,NA,-Inf,Inf,NA
2917,NA,-Inf,Inf,NA
2918,NA,-Inf,Inf,NA
2919,NA,-Inf,Inf,NA
2920,NA,-Inf,Inf,NA
2921,NA,-Inf,Inf,NA
2922,NA,-Inf,Inf,NA
2923,NA,-Inf,Inf,NA
2924,NA,-Inf,Inf,NA
2925,NA,-Inf,Inf,NA
2926,NA,-Inf,Inf,NA
2957,0.855440754857328,0.976447641849518,0.271216720342636,0.138501208108757
2958,0.703928191321237,0.972420692443848,0.139953151345253,0.261708104181536
2959,0.216175341701789,0.621491074562073,0.0168224386870861,0.165383800437009
2960,0.696927877989682,0.962473630905151,0.136944398283958,0.183696965138007
2961,0.585285007682714,0.961444139480591,0.163091480731964,0.240377565147812
2962,0.294718355080113,0.600301146507263,0.0145635148510337,0.157244290847525
2963,0.810291575108256,0.982760608196259,0.228767827153206,0.170791070475772
2964,0.403959583715502,0.67886620759964,0.0745792463421822,0.155411204978565
2965,0.669931957354912,0.962719917297363,0.229049563407898,0.160089193109686
2966,0.338702859385744,0.886425495147705,0.00738885207101703,0.21516760722129
2967,0.468489723340158,0.967145979404449,0.123053967952728,0.208245513650589
2968,0.485072870716089,0.895303785800934,0.041231032460928,0.204309294256716
2969,0.356759958835535,0.753193199634552,0.0808132290840149,0.129990432310482
8988,0.614788770675659,0.614788770675659,0.614788770675659,NA
11614,0.174777150154114,0.174777150154114,0.174777150154114,NA
11615,NA,-Inf,Inf,NA
15318,NA,-Inf,Inf,NA
23959,NA,-Inf,Inf,NA
23963,0.979448914527893,0.979448914527893,0.979448914527893,NA
28283,NA,-Inf,Inf,NA
28284,NA,-Inf,Inf,NA
30131,0.0629207715392113,0.0629207715392113,0.0629207715392113,NA
34760,0.163372740149498,0.163372740149498,0.163372740149498,NA
37336,0.930435121059418,0.955791890621185,0.90507835149765,0.035859887412221
41242,NA,-Inf,Inf,NA
45563,NA,-Inf,Inf,NA
45564,NA,-Inf,Inf,NA
56364,NA,-Inf,Inf,NA
56365,0.160827845335007,0.160827845335007,0.160827845335007,NA
57907,NA,-Inf,Inf,NA
59064,NA,-Inf,Inf,NA
59965,0.711768805980682,0.711768805980682,0.711768805980682,NA
60686,0.428442537784576,0.428442537784576,0.428442537784576,NA
65289,NA,-Inf,Inf,NA
65290,NA,-Inf,Inf,NA
67156,0.704149953934118,0.970761239528656,0.0023374636657536,0.205257921337881
67157,0.502255201339722,0.502255201339722,0.502255201339722,NA
67159,0.741176824152822,0.984631478786469,0.0351606756448746,0.213744517124154
67160,0.793234840334143,0.99088853597641,0.0112287765368819,0.162626076853933
67161,0.776507340644558,0.998379290103912,0.00152307969983667,0.197189729149303
67162,0.706358143255921,0.975402534008026,0.017442824319005,0.197515601246548
67165,0.482273456746437,0.982976377010345,0.00359418499283493,0.287417491842539
67166,0.805127783723176,0.993641674518585,0.0300888326019049,0.197523780154723
67167,0.640872341492642,0.983588755130768,0.0110145686194301,0.226657350653954
74346,NA,-Inf,Inf,NA
114322,0.315953403711319,0.315953403711319,0.315953403711319,NA
114996,NA,-Inf,Inf,NA
129038,NA,-Inf,Inf,NA
146444,NA,-Inf,Inf,NA
169398,NA,-Inf,Inf,NA
171135,NA,-Inf,Inf,NA
171163,NA,-Inf,Inf,NA
255252,NA,-Inf,Inf,NA
339873,NA,-Inf,Inf,NA
369823,NA,-Inf,Inf,NA
451584,NA,-Inf,Inf,NA
506602,NA,-Inf,Inf,NA
507604,NA,-Inf,Inf,NA
507794,NA,-Inf,Inf,NA
507798,NA,-Inf,Inf,NA
553486,NA,-Inf,Inf,NA
675200,NA,-Inf,Inf,NA
675839,NA,-Inf,Inf,NA
676425,NA,-Inf,Inf,NA
676665,NA,-Inf,Inf,NA
676776,NA,-Inf,Inf,NA
761002,NA,-Inf,Inf,NA
761004,NA,-Inf,Inf,NA
788846,NA,-Inf,Inf,NA
828779,NA,-Inf,Inf,NA
843801,NA,-Inf,Inf,NA
901266,NA,-Inf,Inf,NA
912508,NA,-Inf,Inf,NA
1012301,NA,-Inf,Inf,NA
1012302,NA,-Inf,Inf,NA
1012308,NA,-Inf,Inf,NA
1012311,NA,-Inf,Inf,NA
1012314,NA,-Inf,Inf,NA
1012315,NA,-Inf,Inf,NA
1012316,NA,-Inf,Inf,NA
1012318,NA,-Inf,Inf,NA
1012319,NA,-Inf,Inf,NA
1012324,NA,-Inf,Inf,NA
1012325,NA,-Inf,Inf,NA
1012326,NA,-Inf,Inf,NA
1012328,NA,-Inf,Inf,NA
1012330,NA,-Inf,Inf,NA
1012334,NA,-Inf,Inf,NA
1012335,NA,-Inf,Inf,NA
1012341,NA,-Inf,Inf,NA
1012342,NA,-Inf,Inf,NA
1012343,NA,-Inf,Inf,NA
1012344,NA,-Inf,Inf,NA
1012345,NA,-Inf,Inf,NA
1012346,NA,-Inf,Inf,NA
1012348,NA,-Inf,Inf,NA
1012350,NA,-Inf,Inf,NA
1012354,NA,-Inf,Inf,NA
1012355,NA,-Inf,Inf,NA
1012356,NA,-Inf,Inf,NA
1012357,NA,-Inf,Inf,NA
1012359,NA,-Inf,Inf,NA
1012360,NA,-Inf,Inf,NA
1012362,NA,-Inf,Inf,NA
1012364,NA,-Inf,Inf,NA
1012365,NA,-Inf,Inf,NA
1012367,NA,-Inf,Inf,NA
1012369,NA,-Inf,Inf,NA
1012374,NA,-Inf,Inf,NA
1012376,NA,-Inf,Inf,NA
1012377,NA,-Inf,Inf,NA
1012380,NA,-Inf,Inf,NA
1012382,NA,-Inf,Inf,NA
1012383,NA,-Inf,Inf,NA
1012384,NA,-Inf,Inf,NA
1012385,NA,-Inf,Inf,NA
1012388,NA,-Inf,Inf,NA
1012389,NA,-Inf,Inf,NA
1012390,NA,-Inf,Inf,NA
1012392,NA,-Inf,Inf,NA
1012395,NA,-Inf,Inf,NA
1012397,NA,-Inf,Inf,NA
1012398,NA,-Inf,Inf,NA
1012400,NA,-Inf,Inf,NA
1012401,NA,-Inf,Inf,NA
1012402,NA,-Inf,Inf,NA
1012405,NA,-Inf,Inf,NA
1012406,NA,-Inf,Inf,NA
1012408,NA,-Inf,Inf,NA
1012409,NA,-Inf,Inf,NA
1012411,NA,-Inf,Inf,NA
1012412,NA,-Inf,Inf,NA
