"zone","mean","max","min","sd"
304,NA,-Inf,Inf,NA
562,NA,-Inf,Inf,NA
563,NA,-Inf,Inf,NA
564,NA,-Inf,Inf,NA
565,NA,-Inf,Inf,NA
566,NA,-Inf,Inf,NA
567,NA,-Inf,Inf,NA
568,NA,-Inf,Inf,NA
569,NA,-Inf,Inf,NA
570,NA,-Inf,Inf,NA
571,NA,-Inf,Inf,NA
572,NA,-Inf,Inf,NA
573,NA,-Inf,Inf,NA
579,0.944975137710571,0.944975137710571,0.944975137710571,NA
897,0.169470502428063,0.735455870628357,0.00358695769682527,0.239133344137832
928,0.0401030413922854,0.393483340740204,0.00173425755929202,0.0962160902310867
1184,NA,-Inf,Inf,NA
1485,0.940551565828951,0.99988853931427,0.0111010726541281,0.116488612973028
1487,NA,-Inf,Inf,NA
1488,NA,-Inf,Inf,NA
1489,0.978478230535984,0.997296094894409,0.883128941059113,0.0200247512591326
1490,0.729629960316031,0.997382760047913,0.0783654302358627,0.256275788577983
1491,0.94415102317008,0.999669969081879,0.0269355066120625,0.0925332174028811
1492,0.974460779784285,0.999758660793304,0.447590976953506,0.0403927823598851
1493,0.376388931006211,0.995859861373901,0.0011183014139533,0.354107568557462
1494,0.87109138564529,0.999350786209106,0.011608075350523,0.197301677307125
1495,0.467130404691414,0.992805182933807,0.00165309151634574,0.310871769045509
1496,NA,-Inf,Inf,NA
1498,0.970705465733535,0.999955594539642,0.133909448981285,0.0642245498638099
1500,NA,-Inf,Inf,NA
1503,NA,-Inf,Inf,NA
1504,0.934414129280997,0.999753534793854,0.142277076840401,0.111270356778232
1505,0.97023416256019,0.998430728912354,0.700292766094208,0.0263215108933665
1506,0.96051673726845,0.998763501644135,0.489719659090042,0.0464937758604086
1507,NA,-Inf,Inf,NA
1508,0.818698537388923,0.993732094764709,0.00555580202490091,0.209055948996042
1511,0.893285629888185,0.998818814754486,0.0944109633564949,0.153284393454288
1539,NA,-Inf,Inf,NA
1540,0.647938646876728,0.958982169628143,0.0233430787920952,0.216302050669069
1541,0.0238081922160096,0.414027452468872,0.000287218106677756,0.0597857366825867
1543,0.0141129449943297,0.0380956791341305,0.000216675936826505,0.0111641960327393
1544,0.382507457956744,0.96618264913559,0.00188505940604955,0.260908360077117
1545,0.421442329883575,0.421442329883575,0.421442329883575,NA
1546,NA,-Inf,Inf,NA
1547,NA,-Inf,Inf,NA
1548,0.667348571832646,0.994774580001831,0.0156823396682739,0.223247451936298
1549,NA,-Inf,Inf,NA
1550,0.274365690623179,0.881393671035767,0.00236143264919519,0.226593471992414
1551,0.383085319720399,0.946474075317383,0.000380699784727767,0.324574485508469
1552,0.260698978189308,0.921484112739563,0.000191344501217827,0.312707599522051
1553,NA,-Inf,Inf,NA
1555,NA,-Inf,Inf,NA
1556,NA,-Inf,Inf,NA
1558,NA,-Inf,Inf,NA
1559,0.591035303258168,0.997726380825043,0.0349202565848827,0.249390696365796
1562,0.0992613856991132,0.1265017837286,0.0826411321759224,0.0237808702670295
1563,NA,-Inf,Inf,NA
1565,0.0102953532555451,0.0384734347462654,0.00346795120276511,0.0100135274421968
1577,NA,-Inf,Inf,NA
1585,NA,-Inf,Inf,NA
1587,NA,-Inf,Inf,NA
1590,NA,-Inf,Inf,NA
1632,NA,-Inf,Inf,NA
1654,NA,-Inf,Inf,NA
1666,0.968478858470917,0.968478858470917,0.968478858470917,NA
1672,NA,-Inf,Inf,NA
1698,NA,-Inf,Inf,NA
1718,NA,-Inf,Inf,NA
1726,NA,-Inf,Inf,NA
1741,NA,-Inf,Inf,NA
1742,NA,-Inf,Inf,NA
1743,NA,-Inf,Inf,NA
1744,NA,-Inf,Inf,NA
1745,NA,-Inf,Inf,NA
1753,NA,-Inf,Inf,NA
1804,NA,-Inf,Inf,NA
1884,0.977917015552521,0.977917015552521,0.977917015552521,NA
1966,NA,-Inf,Inf,NA
1987,NA,-Inf,Inf,NA
1991,0.929455041885376,0.972018718719482,0.88689136505127,0.0601941290432589
2134,NA,-Inf,Inf,NA
2152,0.782565479119176,0.998407602310181,0.0517103038728237,0.20072916639145
2153,0.855528431766816,0.985203862190247,0.357504367828369,0.122042025426505
2154,0.756039497010955,0.999710440635681,0.0147285908460617,0.270029419083313
2155,0.80273427877836,0.99944394826889,0.0242355857044458,0.262890866519181
2156,0.831206840942048,0.999552249908447,0.0304023306816816,0.224455904408899
2158,NA,-Inf,Inf,NA
2263,NA,-Inf,Inf,NA
2264,NA,-Inf,Inf,NA
2265,NA,-Inf,Inf,NA
2266,NA,-Inf,Inf,NA
2267,NA,-Inf,Inf,NA
2268,NA,-Inf,Inf,NA
2269,NA,-Inf,Inf,NA
2270,NA,-Inf,Inf,NA
2272,0.634390767566271,0.999429285526276,0.0232783202081919,0.282280777623082
2273,0.544436218743165,0.958319067955017,0.0510645993053913,0.202442393875094
2274,0.865404863770191,0.952351987361908,0.621667444705963,0.0765762609656614
2275,0.761582328837793,0.962283790111542,0.209314092993736,0.118098147003676
2276,0.87115184168983,0.996730625629425,0.235760480165482,0.104998830820101
2277,0.917505973199135,0.997038424015045,0.286117762327194,0.0781112509550932
2330,NA,-Inf,Inf,NA
2361,NA,-Inf,Inf,NA
2422,NA,-Inf,Inf,NA
2423,NA,-Inf,Inf,NA
2424,NA,-Inf,Inf,NA
2425,NA,-Inf,Inf,NA
2426,NA,-Inf,Inf,NA
2427,NA,-Inf,Inf,NA
2428,NA,-Inf,Inf,NA
2429,NA,-Inf,Inf,NA
2430,NA,-Inf,Inf,NA
2447,NA,-Inf,Inf,NA
2451,NA,-Inf,Inf,NA
2457,NA,-Inf,Inf,NA
2462,NA,-Inf,Inf,NA
2478,NA,-Inf,Inf,NA
2494,NA,-Inf,Inf,NA
2568,NA,-Inf,Inf,NA
2575,NA,-Inf,Inf,NA
2585,NA,-Inf,Inf,NA
2609,NA,-Inf,Inf,NA
2624,NA,-Inf,Inf,NA
2630,NA,-Inf,Inf,NA
2631,NA,-Inf,Inf,NA
2633,NA,-Inf,Inf,NA
2690,NA,-Inf,Inf,NA
2693,NA,-Inf,Inf,NA
2698,NA,-Inf,Inf,NA
2701,NA,-Inf,Inf,NA
2702,NA,-Inf,Inf,NA
2703,NA,-Inf,Inf,NA
2737,NA,-Inf,Inf,NA
2738,NA,-Inf,Inf,NA
2739,NA,-Inf,Inf,NA
2740,NA,-Inf,Inf,NA
2840,NA,-Inf,Inf,NA
2990,NA,-Inf,Inf,NA
3173,NA,-Inf,Inf,NA
3174,NA,-Inf,Inf,NA
3175,NA,-Inf,Inf,NA
3176,NA,-Inf,Inf,NA
3177,NA,-Inf,Inf,NA
3178,NA,-Inf,Inf,NA
3179,NA,-Inf,Inf,NA
3180,NA,-Inf,Inf,NA
3181,NA,-Inf,Inf,NA
3409,NA,-Inf,Inf,NA
3413,NA,-Inf,Inf,NA
3415,NA,-Inf,Inf,NA
3417,NA,-Inf,Inf,NA
3424,NA,-Inf,Inf,NA
10064,NA,-Inf,Inf,NA
11293,0.570233285427094,0.570233285427094,0.570233285427094,NA
12937,NA,-Inf,Inf,NA
15208,NA,-Inf,Inf,NA
15222,NA,-Inf,Inf,NA
27214,0.940007925033569,0.940007925033569,0.940007925033569,NA
28937,NA,-Inf,Inf,NA
30885,NA,-Inf,Inf,NA
33113,NA,-Inf,Inf,NA
40408,0.790418814187937,0.968077957630157,0.133388549089432,0.178067826020139
40422,0.034880201595471,0.337853223085403,0.00273527600802481,0.0603515025686068
40423,0.227024846024427,0.865267992019653,0.0016642491100356,0.21167949712009
40424,NA,-Inf,Inf,NA
40425,0.0436046730884681,0.238233059644699,0.00174198637250811,0.0429836208753092
40426,0.0178522943641015,0.0405691862106323,0.00178996834438294,0.00992144028493357
40427,0.135171585004198,0.791582465171814,0.0014523493591696,0.1556017009938
40428,0.0431650616554543,0.213248610496521,0.00312670203857124,0.0387241622827652
40429,0.946109496248074,0.994467616081238,0.855742633342743,0.0263727844040971
40430,0.759195117266583,0.985308229923248,0.0272493474185467,0.328545116092316
40431,0.536278875472806,0.990480303764343,0.00366069073788822,0.340651518970114
42651,NA,-Inf,Inf,NA
44357,NA,-Inf,Inf,NA
47223,NA,-Inf,Inf,NA
50481,NA,-Inf,Inf,NA
52934,0.911368072032928,0.911368072032928,0.911368072032928,NA
56366,NA,-Inf,Inf,NA
70073,0.971824756111173,0.998501121997833,0.490617036819458,0.0406745106935494
70074,0.979339224951608,0.985911846160889,0.960645794868469,0.0084604019448888
70075,0.981156097161487,0.999935328960419,0.346587747335434,0.0444820888866349
70076,0.986259709511484,0.998234808444977,0.97403883934021,0.00589035760200621
70077,0.867581352591515,0.992084145545959,0.654235184192657,0.120726018258292
70078,0.977680096473104,0.999134838581085,0.508447468280792,0.0287290459034543
70079,0.981478078854233,0.999911606311798,0.512431621551514,0.0250245487497797
70080,0.636225719166839,0.956762433052063,0.16196121275425,0.297623189666479
70081,0.979752746137481,0.999177932739258,0.31731379032135,0.0303446615863194
70082,0.643504565109109,0.999825954437256,0.00516114616766572,0.338346033165656
1012310,NA,-Inf,Inf,NA
1012313,NA,-Inf,Inf,NA
1012321,NA,-Inf,Inf,NA
1012323,NA,-Inf,Inf,NA
1012333,NA,-Inf,Inf,NA
1012347,NA,-Inf,Inf,NA
1012352,NA,-Inf,Inf,NA
1012364,NA,-Inf,Inf,NA
1012377,NA,-Inf,Inf,NA
1012387,NA,-Inf,Inf,NA
1012398,NA,-Inf,Inf,NA
1012420,NA,-Inf,Inf,NA
1012423,NA,-Inf,Inf,NA
1012443,NA,-Inf,Inf,NA
1012448,NA,-Inf,Inf,NA
1012455,NA,-Inf,Inf,NA
1012457,NA,-Inf,Inf,NA
1012458,NA,-Inf,Inf,NA
