"zone","mean","max","min","sd"
825,NA,-Inf,Inf,NA
826,0.323737886698094,0.992431104183197,0.00291728740558028,0.30808542635138
836,NA,-Inf,Inf,NA
1130,0.0858189165592194,0.0858189165592194,0.0858189165592194,NA
1174,NA,-Inf,Inf,NA
1313,NA,-Inf,Inf,NA
1435,NA,-Inf,Inf,NA
1638,NA,-Inf,Inf,NA
1739,NA,-Inf,Inf,NA
2044,NA,-Inf,Inf,NA
2287,NA,-Inf,Inf,NA
2449,NA,-Inf,Inf,NA
2913,NA,-Inf,Inf,NA
3216,0.569484202336295,0.998487532138824,0.0127903008833528,0.286577744860852
3218,0.867075845990886,0.999787151813507,0.00611898768693209,0.202450591492612
3219,0.496344297488643,0.999536752700806,0.0141083830967546,0.309846687573768
3226,0.796492929434295,0.998219549655914,0.0171076878905296,0.232404461570267
3240,0.242279232971617,0.98946088552475,0.011352458037436,0.215273191908522
3241,NA,-Inf,Inf,NA
3242,0.960969028049257,0.999910652637482,0.215773150324821,0.050409486673013
3245,0.338632437543739,0.919211804866791,0.00495580537244678,0.210265044401264
3248,NA,-Inf,Inf,NA
3251,0.918825322960168,0.999857544898987,0.00146992760710418,0.143873137168496
3253,NA,-Inf,Inf,NA
3254,NA,-Inf,Inf,NA
3255,NA,-Inf,Inf,NA
3257,0.371693461456748,0.853533923625946,0.023489722982049,0.194446535646812
3258,0.859487589131875,0.999813318252563,0.0783844888210297,0.148813496469559
3259,NA,-Inf,Inf,NA
3261,0.827001289042055,0.998347640037537,0.00149050285108387,0.207317057116259
3264,0.565331435466944,0.988376259803772,0.0105452733114362,0.268186113540798
203844,0.733052313327789,0.733052313327789,0.733052313327789,NA
1006346,0.227269167701403,0.271298736333847,0.156910821795464,0.0615715204672432
1006349,0.134090503896861,0.385593175888062,0.0284423287957907,0.103592350360622
1006355,NA,-Inf,Inf,NA
1006360,NA,-Inf,Inf,NA
1006361,NA,-Inf,Inf,NA
1006362,NA,-Inf,Inf,NA
1006368,NA,-Inf,Inf,NA
1006369,NA,-Inf,Inf,NA
1006372,0.107910299165682,0.210918217897415,0.0386468581855297,0.0587245246938222
