"zone","mean","max","min","sd"
398,0.796721640367758,0.997263669967651,0.00205584103241563,0.28151043673521
399,0.825443935922027,0.998741507530212,5.8573525166139e-05,0.281723202645464
400,0.86966267253127,0.992575943470001,0.429653286933899,0.0843193336810426
401,0.839135532461527,0.98927104473114,0.00156227126717567,0.181768466249397
402,0.979299353714529,0.999719560146332,0.00234886235557497,0.0306126143317755
403,0.899704401282279,0.997315943241119,0.001065349788405,0.176547614814684
404,0.858433113406349,0.997394442558289,0.00357848755083978,0.247589579036464
405,0.877527261419627,0.992297232151031,0.564894318580627,0.079053853664116
406,0.87298877803091,0.995243728160858,0.219326928257942,0.128978254388323
407,0.970916371620618,0.997384130954742,0.787778675556183,0.0231262340479945
408,0.792350243977451,0.984213411808014,7.96083695604466e-05,0.22656977638434
409,0.96920803730422,0.999843180179596,0.0248601883649826,0.0245301990500698
410,0.958850584891022,0.997167587280273,0.00131240859627724,0.0565723945066575
411,0.959783640980232,0.998163819313049,0.590255975723267,0.0454460002216823
412,0.945983281824059,0.999943017959595,0.312499046325684,0.0612515571734055
413,0.437772021574707,0.987229287624359,0.000574866542592645,0.330360048041919
414,0.910168508892041,0.997222602367401,0.0103296060115099,0.183166310081404
415,0.854714890402379,0.994742393493652,0.00018255460599903,0.166271990971383
496,0.158872380852699,0.158872380852699,0.158872380852699,NA
508,0.874319493770599,0.874319493770599,0.874319493770599,NA
534,0.000614204909652472,0.000614204909652472,0.000614204909652472,NA
578,NA,-Inf,Inf,NA
609,0.988559315726161,0.99696409702301,0.938806772232056,0.00481771270696218
610,0.991789157564693,0.997085928916931,0.969262897968292,0.0044556127181283
611,0.89525325402307,0.998631596565247,0.0322854183614254,0.188483693472754
612,0.993342781868795,0.999388098716736,0.943204700946808,0.00595534707902602
613,0.974885359249144,0.998433709144592,0.916069090366364,0.013759274333202
614,0.989500891859248,0.998999893665314,0.953937292098999,0.00942387113191961
615,0.994815714827931,0.999019503593445,0.964580059051514,0.00452198370780781
616,0.875722189744314,0.886964201927185,0.858295857906342,0.0153020536014518
617,0.895105708986521,0.998634159564972,0.0467689149081707,0.218960454269495
618,0.82980910837946,0.995503664016724,0.0122873904183507,0.222276690066973
619,0.993456229185447,0.999498903751373,0.958465754985809,0.00562108871149614
620,0.981853987216949,0.998085796833038,0.920256435871124,0.0130937602187043
