"zone","mean","max","min","sd"
471,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
473,-3.22943080286514e+38,0.158563137054443,-3.4028230607371e+38,7.50698191567544e+37
253439,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,NA
337761,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
405219,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,NA
506406,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
578682,0.100977815687656,0.100977815687656,0.100977815687656,NA
632889,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,NA
843694,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,NA
1001272,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
1002010,-4.96497314911818e+37,0.991755187511444,-3.4028230607371e+38,1.20338540772367e+38
1002196,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
1002268,-2.52633833297148e+38,0.977517127990723,-3.4028230607371e+38,1.49945425845134e+38
1002734,-8.53940387865583e+37,0.998001217842102,-3.4028230607371e+38,1.47814122073702e+38
1002819,0.890017615424262,0.966491460800171,0.736456871032715,0.0752633588837616
1003167,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
1003842,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
1007289,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,NA
1012303,-8.97196876033271e+36,0.99974399805069,-3.4028230607371e+38,5.45337662251497e+37
1012305,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,NA
1012312,-5.62915311949892e+35,0.999736249446869,-3.4028230607371e+38,1.3834433580526e+37
1012317,-1.94378468208537e+37,0.999724984169006,-3.4028230607371e+38,7.89995358844369e+37
1012324,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,NA
1012330,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,NA
1012331,0.982864389476711,0.999758780002594,0.776156008243561,0.0231846341215723
1012335,-2.33406635935035e+37,0.997572302818298,-3.4028230607371e+38,8.60353530561893e+37
1012337,-1.99076723281218e+37,0.998309135437012,-3.4028230607371e+38,7.98890161464627e+37
1012338,-1.42437131048016e+37,0.999885082244873,-3.4028230607371e+38,6.81540339058384e+37
1012339,-3.57692098477481e+37,0.999136805534363,-3.4028230607371e+38,1.04414244942197e+38
1012344,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,NA
1012346,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,NA
1012351,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,NA
1012352,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,NA
1012353,-4.52004065711945e+37,0.999018251895905,-3.4028230607371e+38,1.15561917875124e+38
1012360,0.950016576691536,0.998821198940277,0.206281065940857,0.0659764138807156
1012365,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,NA
1012366,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,NA
1012367,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,NA
1012368,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
1012371,0.991195061132668,0.999566793441772,0.91103458404541,0.00897994332723756
1012372,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,NA
1012375,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,NA
1012381,-1.92984178213099e+37,0.999800562858582,-3.4028230607371e+38,7.8727809790002e+37
1012382,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
1012383,-1.34589270312736e+38,0.997313261032104,-3.4028230607371e+38,1.6650962996293e+38
1012384,-8.50705765184274e+37,0.910448491573334,-3.4028230607371e+38,1.52178873584241e+38
1012385,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,NA
1012394,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,NA
1012401,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,NA
1012407,-3.98690458200011e+36,0.999607622623444,-3.4028230607371e+38,3.66273613031655e+37
1012408,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,NA
1012413,0.987463984723266,0.999589502811432,0.847096681594849,0.0182333682087226
1012445,-9.2635836499195e+36,0.998275697231293,-3.4028230607371e+38,5.54004038535582e+37
1012447,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,NA
1012449,-1.32886769640523e+38,0.99366694688797,-3.4028230607371e+38,1.66106183678539e+38
1012564,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,NA
1012790,0.996786057949066,0.996786057949066,0.996786057949066,NA
1013016,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,NA
1013050,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,NA
1013664,-5.05862974596175e+37,0.998020172119141,-3.4028230607371e+38,1.21068867446398e+38
1013679,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
1013684,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,NA
1013689,0.965900063514709,0.965900063514709,0.965900063514709,NA
1013694,-1.67983265242241e+37,0.999376654624939,-3.4028230607371e+38,7.37179962222848e+37
