"zone","mean","max","min","sd"
698,0.918943309829435,0.993250489234924,0.486107259988785,0.0725535736385278
699,0.779491729596082,0.919000625610352,0.63029021024704,0.0833851203534553
700,0.867589363726703,0.982059895992279,0.282775729894638,0.135180535210323
701,0.807896816188639,0.96948629617691,0.468920677900314,0.125896392871363
797,NA,-Inf,Inf,NA
798,NA,-Inf,Inf,NA
799,NA,-Inf,Inf,NA
800,NA,-Inf,Inf,NA
802,NA,-Inf,Inf,NA
808,NA,-Inf,Inf,NA
813,NA,-Inf,Inf,NA
814,NA,-Inf,Inf,NA
900,NA,-Inf,Inf,NA
1099,NA,-Inf,Inf,NA
1150,NA,-Inf,Inf,NA
1501,NA,-Inf,Inf,NA
1602,NA,-Inf,Inf,NA
1891,0.719884032798404,0.981460094451904,0.0590726025402546,0.200721602707237
1892,0.591300070485988,0.966052412986755,0.0550802610814571,0.233103639924448
1893,0.878975139528255,0.990248382091522,0.375707119703293,0.0983587962643882
1894,0.726094354689121,0.941533148288727,0.0741909965872765,0.274701383948516
1895,0.573181725410094,0.936401665210724,0.158133402466774,0.20472958158997
1896,0.842750083912843,0.978855848312378,0.445529341697693,0.115862527506616
1897,0.862940743788231,0.992827653884888,0.277506172657013,0.097131855775889
1898,0.840564955629705,0.991901636123657,0.267010062932968,0.139219177160951
1899,0.335977929193647,0.788995027542114,0.0277597028762102,0.208992822324173
1900,0.769557285308838,0.946201503276825,0.404132276773453,0.135645236382507
1901,0.383961133658886,0.694266796112061,0.155789360404015,0.19870146110656
1902,0.900194663665056,0.998679757118225,0.0273896157741547,0.136181232098498
1903,0.86183826143925,0.989184021949768,0.296062350273132,0.101630784440555
1904,0.800509093460483,0.974838852882385,0.1601941883564,0.135655175407467
2032,NA,-Inf,Inf,NA
2045,NA,-Inf,Inf,NA
2084,0.723091185092926,0.723091185092926,0.723091185092926,NA
2101,0.910661280155182,0.910661280155182,0.910661280155182,NA
2148,NA,-Inf,Inf,NA
2152,NA,-Inf,Inf,NA
2233,NA,-Inf,Inf,NA
2234,NA,-Inf,Inf,NA
2276,NA,-Inf,Inf,NA
2332,NA,-Inf,Inf,NA
2510,NA,-Inf,Inf,NA
2573,0.359322160482407,0.359322160482407,0.359322160482407,NA
2635,NA,-Inf,Inf,NA
2658,NA,-Inf,Inf,NA
2659,NA,-Inf,Inf,NA
2660,NA,-Inf,Inf,NA
2662,NA,-Inf,Inf,NA
2663,NA,-Inf,Inf,NA
2665,NA,-Inf,Inf,NA
2666,NA,-Inf,Inf,NA
2798,0.201963871717453,0.201963871717453,0.201963871717453,NA
2862,0.181787883565396,0.602280080318451,0.00478799780830741,0.145633896818232
2867,0.441181607800236,0.836135506629944,0.0460324957966805,0.185112790369706
2872,0.475275486707687,0.475275486707687,0.475275486707687,NA
2876,NA,-Inf,Inf,NA
2880,0.524627771818944,0.899725556373596,0.0247170608490705,0.240420537905857
2882,0.734016372929865,0.91670036315918,0.409568637609482,0.110053151038608
2884,NA,-Inf,Inf,NA
2885,NA,-Inf,Inf,NA
2886,NA,-Inf,Inf,NA
2887,0.421848643757403,0.793370723724365,0.161221131682396,0.13401823739386
2889,0.301512424387321,0.761609375476837,0.00599622493609786,0.222407599321067
2890,0.511774233451077,0.866319060325623,0.126692399382591,0.182640034265417
2891,0.0680981278419495,0.0955378413200378,0.0406584143638611,0.0388056149483444
2892,0.363208591938019,0.363208591938019,0.363208591938019,NA
2893,NA,-Inf,Inf,NA
2894,NA,-Inf,Inf,NA
2895,NA,-Inf,Inf,NA
2896,NA,-Inf,Inf,NA
2897,NA,-Inf,Inf,NA
2898,0.370076224759773,0.613463044166565,0.0514106005430222,0.125948724886865
2899,0.348239421844482,0.348239421844482,0.348239421844482,NA
2900,0.125611058661934,0.42045995593071,0.00768144149333239,0.10043187916497
2902,0.198443025350571,0.198443025350571,0.198443025350571,NA
2905,NA,-Inf,Inf,NA
2906,NA,-Inf,Inf,NA
2907,NA,-Inf,Inf,NA
2909,NA,-Inf,Inf,NA
2910,0.448311213487342,0.788957834243774,0.0432464741170406,0.157711462468697
2911,NA,-Inf,Inf,NA
2912,0.167028084397316,0.167028084397316,0.167028084397316,NA
2913,0.621672581823439,0.873263239860535,0.0369181074202061,0.202059801218735
2916,0.533906310121644,0.894757568836212,0.0094333728775382,0.204129462568696
2917,0.141588523983955,0.141588523983955,0.141588523983955,NA
2918,NA,-Inf,Inf,NA
2920,0.418590319782366,0.831940472126007,0.0639725178480148,0.209919440704806
2925,0.763080505256969,0.974872648715973,0.325123310089111,0.11838095818939
8988,NA,-Inf,Inf,NA
37336,NA,-Inf,Inf,NA
65289,NA,-Inf,Inf,NA
67156,NA,-Inf,Inf,NA
67167,NA,-Inf,Inf,NA
114322,NA,-Inf,Inf,NA
114996,NA,-Inf,Inf,NA
129038,NA,-Inf,Inf,NA
146444,NA,-Inf,Inf,NA
169398,NA,-Inf,Inf,NA
171135,NA,-Inf,Inf,NA
171163,NA,-Inf,Inf,NA
255252,NA,-Inf,Inf,NA
369823,0.131815508008003,0.131815508008003,0.131815508008003,NA
451584,0.109107755124569,0.109107755124569,0.109107755124569,NA
506602,NA,-Inf,Inf,NA
507604,NA,-Inf,Inf,NA
507794,NA,-Inf,Inf,NA
507798,NA,-Inf,Inf,NA
553486,NA,-Inf,Inf,NA
675200,NA,-Inf,Inf,NA
675839,NA,-Inf,Inf,NA
676425,NA,-Inf,Inf,NA
676665,NA,-Inf,Inf,NA
788846,0.0789704844355583,0.0789704844355583,0.0789704844355583,NA
828779,NA,-Inf,Inf,NA
843801,NA,-Inf,Inf,NA
901266,0.0895485430955887,0.0895485430955887,0.0895485430955887,NA
912508,NA,-Inf,Inf,NA
1012302,NA,-Inf,Inf,NA
1012308,0.0391158948186785,0.0667287707328796,0.0125257456675172,0.0221811388805149
1012314,NA,-Inf,Inf,NA
1012315,NA,-Inf,Inf,NA
1012318,NA,-Inf,Inf,NA
1012324,NA,-Inf,Inf,NA
1012325,NA,-Inf,Inf,NA
1012326,NA,-Inf,Inf,NA
1012335,NA,-Inf,Inf,NA
1012346,NA,-Inf,Inf,NA
1012348,NA,-Inf,Inf,NA
1012354,NA,-Inf,Inf,NA
1012355,NA,-Inf,Inf,NA
1012357,NA,-Inf,Inf,NA
1012362,NA,-Inf,Inf,NA
1012365,NA,-Inf,Inf,NA
1012367,NA,-Inf,Inf,NA
1012369,NA,-Inf,Inf,NA
1012374,NA,-Inf,Inf,NA
1012377,NA,-Inf,Inf,NA
1012385,NA,-Inf,Inf,NA
1012388,NA,-Inf,Inf,NA
1012389,NA,-Inf,Inf,NA
1012392,NA,-Inf,Inf,NA
1012395,NA,-Inf,Inf,NA
1012398,NA,-Inf,Inf,NA
1012402,NA,-Inf,Inf,NA
1012408,NA,-Inf,Inf,NA
1012412,NA,-Inf,Inf,NA
1013663,NA,-Inf,Inf,NA
1013665,0.690804623663425,0.903501212596893,0.0179765149950981,0.224695003334391
1013667,0.910650435320077,0.997657656669617,0.00889982469379902,0.16667982955188
1013668,NA,-Inf,Inf,NA
1013670,0.890490547194232,0.998000502586365,0.233032137155533,0.108307154445976
1013671,0.784170568927195,0.994046092033386,0.0500615574419498,0.150463988748163
1013672,0.847816809919962,0.994233071804047,0.1318269520998,0.126475673179105
1013673,0.686169759880806,0.97762405872345,0.0170553810894489,0.210157703832707
1013675,NA,-Inf,Inf,NA
1013676,NA,-Inf,Inf,NA
1013677,NA,-Inf,Inf,NA
1013678,0.704843997955322,0.879860997200012,0.529826998710632,0.247511413977682
1013679,0.721785366535187,0.721785366535187,0.721785366535187,NA
1013680,0.628120362758636,0.628120362758636,0.628120362758636,NA
1013681,0.868585508213106,0.998293995857239,0.171424463391304,0.105893156994224
1013682,0.816315109717531,0.991757452487946,0.240651473402977,0.149766176288925
1013683,0.900085866451263,0.900085866451263,0.900085866451263,NA
1013684,0.67911180061158,0.982959926128387,0.0521045438945293,0.195659176644977
1013685,0.575091134637774,0.984132409095764,0.0286688040941954,0.241091892439739
1013686,NA,-Inf,Inf,NA
1013687,0.795095112650375,0.996781706809998,0.000786774209700525,0.21527929035605
1013688,NA,-Inf,Inf,NA
1013689,NA,-Inf,Inf,NA
1013691,0.808447480201721,0.808447480201721,0.808447480201721,NA
1013692,NA,-Inf,Inf,NA
1013693,0.831941463397128,0.996545374393463,0.0843639746308327,0.14924886545104
1013695,0.922443645442934,0.998889684677124,0.00641464022919536,0.108215876614424
