"zone","mean","max","min","sd"
305,NA,-Inf,Inf,NA
306,NA,-Inf,Inf,NA
308,NA,-Inf,Inf,NA
309,NA,-Inf,Inf,NA
310,NA,-Inf,Inf,NA
311,NA,-Inf,Inf,NA
312,NA,-Inf,Inf,NA
314,NA,-Inf,Inf,NA
315,NA,-Inf,Inf,NA
316,NA,-Inf,Inf,NA
318,NA,-Inf,Inf,NA
319,NA,-Inf,Inf,NA
320,NA,-Inf,Inf,NA
321,NA,-Inf,Inf,NA
322,NA,-Inf,Inf,NA
323,NA,-Inf,Inf,NA
324,NA,-Inf,Inf,NA
325,NA,-Inf,Inf,NA
326,NA,-Inf,Inf,NA
328,NA,-Inf,Inf,NA
329,NA,-Inf,Inf,NA
330,NA,-Inf,Inf,NA
332,NA,-Inf,Inf,NA
333,NA,-Inf,Inf,NA
335,NA,-Inf,Inf,NA
336,NA,-Inf,Inf,NA
338,NA,-Inf,Inf,NA
339,NA,-Inf,Inf,NA
391,NA,-Inf,Inf,NA
392,NA,-Inf,Inf,NA
393,NA,-Inf,Inf,NA
394,NA,-Inf,Inf,NA
395,NA,-Inf,Inf,NA
396,NA,-Inf,Inf,NA
397,NA,-Inf,Inf,NA
453,NA,-Inf,Inf,NA
456,NA,-Inf,Inf,NA
457,NA,-Inf,Inf,NA
458,NA,-Inf,Inf,NA
460,NA,-Inf,Inf,NA
462,NA,-Inf,Inf,NA
478,0.911254021486169,0.994918882846832,0.504841685295105,0.0521006322547015
479,0.607880361635097,0.970969676971436,0.00103077560197562,0.24793887601531
480,0.815300769355471,0.993121206760406,0.183886751532555,0.167143573166662
481,0.633530406630179,0.974988698959351,0.00136454950552434,0.212646418492309
482,0.344051390694592,0.977321088314056,0.00303661380894482,0.270204712590428
483,0.552091417689891,0.973211526870728,0.00625979853793979,0.272658081926903
484,0.260686585575461,0.90327662229538,0.000376352691091597,0.223888779062159
485,0.390146958458673,0.973948836326599,0.0121651189401746,0.298259677958591
486,0.91827700261412,0.984195053577423,0.742874443531036,0.0664629835347696
487,NA,-Inf,Inf,NA
490,NA,-Inf,Inf,NA
491,NA,-Inf,Inf,NA
499,0.00724311202066019,0.0135373659431934,0.00131028052419424,0.00421726033889484
502,NA,-Inf,Inf,NA
503,NA,-Inf,Inf,NA
504,NA,-Inf,Inf,NA
507,NA,-Inf,Inf,NA
514,NA,-Inf,Inf,NA
515,NA,-Inf,Inf,NA
516,NA,-Inf,Inf,NA
518,NA,-Inf,Inf,NA
519,NA,-Inf,Inf,NA
520,0.0412465621872495,0.197413086891174,0.0134068969637156,0.0369158122008238
521,NA,-Inf,Inf,NA
522,NA,-Inf,Inf,NA
523,NA,-Inf,Inf,NA
524,NA,-Inf,Inf,NA
525,NA,-Inf,Inf,NA
527,NA,-Inf,Inf,NA
528,0.0915364427492023,0.258026659488678,0.0373287610709667,0.0637347041405381
529,NA,-Inf,Inf,NA
530,NA,-Inf,Inf,NA
533,NA,-Inf,Inf,NA
539,NA,-Inf,Inf,NA
543,NA,-Inf,Inf,NA
544,NA,-Inf,Inf,NA
549,NA,-Inf,Inf,NA
551,NA,-Inf,Inf,NA
554,NA,-Inf,Inf,NA
557,NA,-Inf,Inf,NA
558,0.00167049595620483,0.00167049595620483,0.00167049595620483,NA
593,0.92126779964348,0.99275404214859,0.679605424404144,0.0353393430810485
594,0.914791245204422,0.991288781166077,0.668109357357025,0.039504225559729
595,0.925480858080805,0.994470417499542,0.755080163478851,0.0323876452858077
596,0.914651674614229,0.992904305458069,0.382104933261871,0.0449800193027998
597,0.967450877030691,0.977099239826202,0.951062202453613,0.00967736646057844
598,0.909293652481103,0.991150498390198,0.685578405857086,0.0416586210388729
599,0.918823715788042,0.991852164268494,0.540650188922882,0.0436643738955196
600,0.95852667093277,0.988342821598053,0.856016039848328,0.0347280385402933
601,0.915706494058746,0.991060495376587,0.459753632545471,0.061885652187042
602,0.763333849365812,0.990498542785645,0.143994927406311,0.210050154394858
652,NA,-Inf,Inf,NA
653,NA,-Inf,Inf,NA
702,NA,-Inf,Inf,NA
703,NA,-Inf,Inf,NA
704,0.593481587504937,0.93917578458786,0.240593060851097,0.142422967144279
705,NA,-Inf,Inf,NA
706,NA,-Inf,Inf,NA
707,NA,-Inf,Inf,NA
708,NA,-Inf,Inf,NA
709,NA,-Inf,Inf,NA
710,NA,-Inf,Inf,NA
711,NA,-Inf,Inf,NA
712,NA,-Inf,Inf,NA
713,NA,-Inf,Inf,NA
714,NA,-Inf,Inf,NA
715,NA,-Inf,Inf,NA
716,0.418076969281642,0.839211940765381,0.148454084992409,0.150257718774857
