"zone","mean","max","min","sd"
575,0.69335307408264,0.982999861240387,0.00929758138954639,0.173804351514599
576,0.892765175556207,0.997098088264465,0.00137330882716924,0.133498701810067
577,0.862229095224526,0.991777062416077,0.00742484489455819,0.160177511642712
578,0.714858690696311,0.980953335762024,0.00805690232664347,0.212871099076148
579,0.854308307170868,0.98902702331543,0.150738179683685,0.12789162478747
580,0.7892272610364,0.996522486209869,0.171122014522552,0.178480898306798
622,NA,-Inf,Inf,NA
623,0.777867010006538,0.887286841869354,0.614181101322174,0.0954310893020226
624,0.907153640922747,0.990257501602173,0.729435205459595,0.0749338823176993
625,NA,-Inf,Inf,NA
626,NA,-Inf,Inf,NA
627,0.952396988868713,0.962657332420349,0.942136645317078,0.0145103170053306
628,0.948265495507614,0.990693330764771,0.759059369564056,0.0498356540284638
629,NA,-Inf,Inf,NA
630,0.840850286758863,0.974881231784821,0.567308962345123,0.0937947872172577
631,NA,-Inf,Inf,NA
632,0.801906896454673,0.99546355009079,0.277544438838959,0.175073424183984
633,NA,-Inf,Inf,NA
634,0.873593615754595,0.991215825080872,0.312126368284225,0.129639581025622
635,NA,-Inf,Inf,NA
636,0.882773000943033,0.985210955142975,0.684308588504791,0.0826040234337102
637,0.859920716482746,0.992249131202698,0.307350277900696,0.14469977809341
638,0.945696155230204,0.969360589981079,0.908240675926208,0.0218834656838594
639,0.841541447137531,0.956885159015656,0.642476260662079,0.109503273514545
640,NA,-Inf,Inf,NA
641,0.91681503713131,0.985075414180756,0.664637982845306,0.0642790873754627
698,NA,-Inf,Inf,NA
699,NA,-Inf,Inf,NA
700,NA,-Inf,Inf,NA
701,NA,-Inf,Inf,NA
791,0.986989320124556,0.99927294254303,0.910269737243652,0.0122178768694309
792,0.963332854421206,0.999511122703552,0.589962840080261,0.0635012361128326
793,0.971628426847605,0.999573826789856,0.678697049617767,0.0432332347115957
794,0.975361611430101,0.998579680919647,0.887963831424713,0.0222473280932623
795,0.974375143201051,0.9992795586586,0.820713818073273,0.0367462033197295
796,0.972474023043099,0.99944657087326,0.59975653886795,0.034664399189196
797,0.976641137771008,0.999386548995972,0.767750382423401,0.0352877178957148
798,0.767820346592502,0.960171818733215,0.372508615255356,0.127178649429858
799,0.947082703345574,0.998931288719177,0.504950106143951,0.0819391499983909
800,0.966174475848675,0.997013747692108,0.81634247303009,0.061772142705811
801,0.988982264661459,0.999769330024719,0.883608758449554,0.0165600360946667
802,0.920460560564267,0.990097284317017,0.720903337001801,0.0606403455028078
803,0.99546390963844,0.999640822410583,0.953552782535553,0.00567262227562172
804,0.986573613404476,0.999465227127075,0.917512059211731,0.0134853932010817
805,0.949402195565841,0.998770296573639,0.742751359939575,0.0684770192312947
806,0.892470223062179,0.975032866001129,0.765858352184296,0.0683235014201912
807,0.994211052220298,0.999725759029388,0.882727444171906,0.010957029675071
808,0.812163984245724,0.995814979076385,0.287737280130386,0.170564719103751
809,0.9811200489545,0.99985283613205,0.643221855163574,0.0366760771551298
810,0.965213486367622,0.998500347137451,0.514221787452698,0.0576081998781932
811,0.944477595374136,0.999609589576721,0.254713922739029,0.0914203301450748
812,0.972906358086545,0.999565958976746,0.296596139669418,0.0851538076942908
813,0.868762385154116,0.991871654987335,0.283309996128082,0.124131789991498
814,0.768514312349442,0.99354362487793,0.181383445858955,0.189459372247182
898,NA,-Inf,Inf,NA
900,NA,-Inf,Inf,NA
901,NA,-Inf,Inf,NA
902,NA,-Inf,Inf,NA
903,0.79103084507856,0.999098122119904,0.0348451547324657,0.185763237342924
904,0.812086696953017,0.999123454093933,0.0404985547065735,0.208835095825104
905,0.681242744701018,0.997359991073608,0.0334275886416435,0.225963680508866
906,0.927913532305021,0.998408734798431,0.255181819200516,0.110339575527076
907,NA,-Inf,Inf,NA
909,0.964133560657501,0.964133560657501,0.964133560657501,NA
910,0.874043852090836,0.996351599693298,0.265637665987015,0.149369278192422
911,NA,-Inf,Inf,NA
912,0.475688759179622,0.96213436126709,0.0820809826254845,0.192937238249934
914,NA,-Inf,Inf,NA
924,0.469371036436319,0.981843292713165,0.00130167149472982,0.302372886576621
925,0.552200162168526,0.989578604698181,0.00199152831919491,0.280454473841767
928,0.280990920660103,0.980014979839325,0.00925135891884565,0.231908613214975
929,0.766544113318116,0.998449385166168,0.0022756545804441,0.240787412929336
930,NA,-Inf,Inf,NA
978,NA,-Inf,Inf,NA
1002,NA,-Inf,Inf,NA
1044,0.483239263296127,0.483239263296127,0.483239263296127,NA
1087,0.90258526802063,0.90258526802063,0.90258526802063,NA
1099,NA,-Inf,Inf,NA
1150,NA,-Inf,Inf,NA
1152,0.962527573108673,0.962527573108673,0.962527573108673,NA
1161,0.748055756092072,0.748055756092072,0.748055756092072,NA
1200,NA,-Inf,Inf,NA
1223,0.990035176277161,0.990035176277161,0.990035176277161,NA
1278,0.412831544876099,0.412831544876099,0.412831544876099,NA
1405,0.996896028518677,0.996896028518677,0.996896028518677,NA
