"zone","mean","max","min","sd"
124,0.990143154816698,0.998422503471375,0.948777496814728,0.00566057362090146
398,0.874774962385396,0.997246980667114,0.103148959577084,0.189820475732916
399,0.808408147319533,0.997092962265015,0.000403113896027207,0.301654787018676
400,0.943209602685511,0.997077226638794,0.50054144859314,0.0509097601190178
401,0.968486252613366,0.995123267173767,0.538411498069763,0.0426704299735145
402,0.739565800305287,0.994918286800385,0.173499241471291,0.16629751856001
403,0.954004453356035,0.998604357242584,0.0803030282258987,0.0916055391765532
404,0.49767825937831,0.988633036613464,0.00148157344665378,0.273821299508981
405,0.914183743359086,0.996283054351807,0.483539134263992,0.0714737379932877
406,0.800488642654137,0.986570715904236,0.111903853714466,0.173834229924811
407,0.968769043487074,0.998088896274567,0.666612565517426,0.0293791325995693
408,0.812869735062122,0.987638354301453,0.437051922082901,0.124700409572127
409,0.988175462976736,0.999132692813873,0.840370655059814,0.0105564443342328
410,0.991424806301162,0.999359309673309,0.908464431762695,0.00655754177296744
411,0.98119852682926,0.997564971446991,0.885935306549072,0.0111046676783717
412,0.945906889932238,0.998400807380676,0.321881800889969,0.0627176916823359
413,0.196580851081836,0.970494985580444,0.000589767761994153,0.288136765538998
414,0.952351419093666,0.997526168823242,0.21999679505825,0.0954042565173729
415,0.972058819642211,0.998737335205078,0.158673092722893,0.0561161845279645
609,0.967644783152433,0.996648252010345,0.791910290718079,0.0269204897100738
610,0.976582809183441,0.998204946517944,0.901328206062317,0.0158254131423296
611,0.943780735135078,0.998086631298065,0.401251584291458,0.110263241622361
612,0.990312688531357,0.998940765857697,0.956951975822449,0.00764922297434892
613,0.995205442322061,0.999075055122375,0.97530061006546,0.00334493256368303
614,0.990194348352296,0.996286153793335,0.956069827079773,0.00556920917038893
615,0.988561872603758,0.999286353588104,0.918767511844635,0.0158532265452474
616,0.569636881351471,0.569636881351471,0.569636881351471,NA
617,0.932907411257426,0.996835827827454,0.599435567855835,0.0961184660383155
618,0.921799933506271,0.996830821037292,0.554920375347137,0.103907619146931
619,0.988729327354791,0.997012495994568,0.9217489361763,0.0113971181660961
620,0.987901338372365,0.995301306247711,0.950483083724976,0.00734597801131927
654,0.183822086403766,0.978516697883606,0.00289054051972926,0.216853552195341
655,0.781827965502101,0.992345154285431,0.202879637479782,0.173094422283161
656,0.0514944372169504,0.487764477729797,0.00508924666792154,0.0535112545629276
657,NA,-Inf,Inf,NA
658,0.16780720552123,0.564371287822723,0.0313387252390385,0.104852963587189
659,0.104835743352576,0.424205452203751,0.0151893841102719,0.0643708589314092
660,0.457122991861703,0.961412191390991,0.00981630384922028,0.254281006031044
661,0.325284232775558,0.85125333070755,0.0347770750522614,0.175639237740146
662,0.205059851773761,0.383486598730087,0.0956068858504295,0.0797581602741912
663,NA,-Inf,Inf,NA
743,0.972772390427797,0.995995044708252,0.903724789619446,0.0172442972614632
744,0.484103724266155,0.949339985847473,0.0534415766596794,0.277887337630645
745,0.990871858045545,0.998295187950134,0.964124262332916,0.00486962097796265
746,0.913163852852744,0.984232842922211,0.666138172149658,0.0422562797068335
747,0.953941983335158,0.973785400390625,0.929434895515442,0.012662854485502
748,0.917985866069794,0.974670827388763,0.84764438867569,0.0297370365618814
749,0.810078233021956,0.973808407783508,0.527250230312347,0.0970308349295102
750,0.847310919846807,0.931969523429871,0.756160378456116,0.0466902929427198
751,0.819368687959818,0.913013398647308,0.662618637084961,0.0718533989045675
752,0.940212516114116,0.992917716503143,0.613566517829895,0.0853966105335556
753,0.919965387455055,0.984179198741913,0.843391716480255,0.0302308144998123
754,0.870846782663935,0.986448884010315,0.106318525969982,0.212627460132664
755,0.878825705225875,0.968454897403717,0.535279393196106,0.079711638186481
756,0.875318851627287,0.956500709056854,0.67444896697998,0.0632657738918063
757,0.94932105243206,0.969623267650604,0.921385169029236,0.0153983113514242
758,0.910207402198873,0.970936238765717,0.868400812149048,0.0251494645092465
759,0.895738872321876,0.963799476623535,0.801465630531311,0.0388562741402345
760,0.873459573477915,0.932240843772888,0.736150860786438,0.0481384539406789
761,0.947707169585758,0.988515198230743,0.729278028011322,0.0727470948231359
762,0.893339028581977,0.921698570251465,0.843904554843903,0.0195969591003421
763,0.988631258896791,0.997995913028717,0.965248703956604,0.00573566425250735
764,0.971520306929103,0.988858640193939,0.910405993461609,0.0171374005012102
765,0.707075713279508,0.996473133563995,0.0554322339594364,0.331307327448639
766,0.880202494916462,0.973542332649231,0.571202039718628,0.0930455451373813
767,0.985639753206721,0.997684955596924,0.899269223213196,0.0116314352726062
768,0.881096640537525,0.936729073524475,0.775851190090179,0.0434246869081756
769,0.925458897043158,0.993934571743011,0.56780207157135,0.105614186898984
770,0.870276735164225,0.983050882816315,0.601542532444,0.0798536021720585
771,0.913421423567666,0.975116908550262,0.74698942899704,0.0354945698860366
772,0.321558963729994,0.972197532653809,0.019784227013588,0.265685026537061
773,0.786793920291862,0.987254619598389,0.161992430686951,0.194327722521408
774,0.922585852635212,0.956031382083893,0.850642204284668,0.0241000342644605
775,0.74116736584347,0.994288623332977,0.0411900766193867,0.296744292258768
776,0.981549144425291,0.995174825191498,0.916671872138977,0.0096186138276203
777,0.9475815333426,0.982101738452911,0.871779203414917,0.0243920524511307
778,0.904132507528578,0.954331159591675,0.822859406471252,0.0322405539253737
779,0.921122466760968,0.982729911804199,0.723034858703613,0.0597497186137679
780,0.966383335383042,0.982660889625549,0.953216135501862,0.00654043081967485
781,0.957412659294075,0.979891955852509,0.921392858028412,0.0130968194582227
782,0.953095687370674,0.982838273048401,0.872293889522552,0.0236920192275522
783,0.983019891907187,0.992586970329285,0.927489876747131,0.00947585067565474
784,0.915853401025136,0.986238539218903,0.702369570732117,0.0603629818177754
785,0.970169970863744,0.997089207172394,0.733718454837799,0.0588391918483567
786,0.959633177785731,0.99469929933548,0.868416786193848,0.0182262291159264
787,0.972018970549107,0.98953378200531,0.953124642372131,0.00820947306613491
788,0.96549947529423,0.986867606639862,0.933107018470764,0.0133158766401205
789,0.957640006807115,0.977910339832306,0.906852602958679,0.0168627189695262
790,0.984358073398471,0.99851655960083,0.955067932605743,0.00984280391874255
815,0.988588988062847,0.998623907566071,0.91697883605957,0.00834902142226544
816,0.979372309172316,0.996594369411469,0.673698127269745,0.0252953582421719
817,0.924869645420495,0.997950494289398,0.282250642776489,0.0951410742961085
818,0.921651018326389,0.998433887958527,0.314399272203445,0.100110055254557
819,0.89868370028775,0.994498074054718,0.21946407854557,0.107147074959434
820,0.977427741918671,0.998999774456024,0.762027204036713,0.0266797401268563
821,0.96672533354647,0.99588406085968,0.538556694984436,0.0366057511767408
822,0.955869308338975,0.991841912269592,0.578686058521271,0.0365877696778675
823,0.933163793847618,0.994316756725311,0.534762978553772,0.0563093570385936
824,0.886332175051021,0.996703326702118,0.0939542353153229,0.152276694175279
852,0.969220471878847,0.988237082958221,0.942901074886322,0.0114586668172474
853,0.983878833790348,0.998995959758759,0.873900830745697,0.0169404488485736
854,0.988738022384449,0.998409628868103,0.926364898681641,0.00754591699537062
855,0.989562544971704,0.998856365680695,0.946279883384705,0.00577912978536096
856,0.992164079346285,0.999360024929047,0.931862056255341,0.00786406849579655
857,0.996505939156474,0.998314678668976,0.983373999595642,0.00127217634626141
858,0.981977310083633,0.99735164642334,0.735477685928345,0.0225522644030515
859,0.970875398533343,0.99767142534256,0.354010462760925,0.0540769020599936
860,0.986319487224941,0.999089121818542,0.919416069984436,0.0104946534470798
861,0.995278911279707,0.999117374420166,0.963894963264465,0.00347876691688782
862,0.993578928018575,0.998545527458191,0.97701233625412,0.00350828314464896
863,0.993987379258111,0.998155653476715,0.942283391952515,0.00399416960564571
864,0.995813647133905,0.999427556991577,0.956511735916138,0.00338603878487707
865,0.992071044617112,0.999014437198639,0.909419178962708,0.00931842385789312
866,0.985722294875554,0.99858158826828,0.750158131122589,0.0199541974810566
867,0.927850055428305,0.996163308620453,0.384305685758591,0.109306775441991
868,0.987025486682579,0.999510884284973,0.933172106742859,0.0103060008659348
870,NA,-Inf,Inf,NA
873,0.94910055730419,0.997680366039276,0.565601110458374,0.0614948829778144
875,0.274339507414309,0.981492221355438,0.00626537576317787,0.32538628064267
876,0.919004866808795,0.99654221534729,0.728588044643402,0.0479509823680939
881,0.979353146332473,0.999158322811127,0.836073756217957,0.0184527719696555
967,NA,-Inf,Inf,NA
968,NA,-Inf,Inf,NA
969,NA,-Inf,Inf,NA
970,0.969424509452878,0.996126294136047,0.891018569469452,0.0169124120552467
971,0.948163199705034,0.996248960494995,0.74133425951004,0.0421740798945676
972,0.95258778779403,0.995433270931244,0.787859380245209,0.0317505119888446
973,0.975497421113456,0.997343719005585,0.512385070323944,0.0412964146277761
974,0.976439022342203,0.996683061122894,0.807612597942352,0.0234946621660365
975,0.96083605596276,0.998573184013367,0.455011278390884,0.0375692954314918
976,0.975126055760146,0.997023284435272,0.845710933208466,0.0198656092501286
977,0.956981950475121,0.997847080230713,0.738047897815704,0.0405790264279483
978,0.969165158809357,0.997040987014771,0.782765030860901,0.0199882517408493
979,0.921234093270065,0.992599010467529,0.369670152664185,0.0602362882834833
1040,0.955411765209312,0.989775717258453,0.596716046333313,0.0438628481027806
1041,0.975888190402188,0.997805058956146,0.863426983356476,0.0180975581916432
1048,0.985182861382556,0.998449981212616,0.819932699203491,0.0183959408143037
1051,0.993228880269345,0.998771011829376,0.94986230134964,0.00428728127802053
1053,0.993896846036017,0.998818635940552,0.934675276279449,0.00456262198017158
