"zone","mean","max","min","sd"
432,NA,-Inf,Inf,NA
437,NA,-Inf,Inf,NA
438,0.0107805508260628,0.065828338265419,0.0011057973606512,0.00882042787949573
445,0.034075832465398,0.152168318629265,0.00158507586456835,0.0220575959737721
648,0.896786131180715,0.995412528514862,0.188026756048203,0.109959507866311
665,0.904163064994562,0.996190369129181,0.328113794326782,0.0931228439946277
666,NA,-Inf,Inf,NA
667,0.679217605004558,0.995307147502899,0.0336932130157948,0.238720114164694
668,0.825542145533679,0.999057054519653,0.00301013560965657,0.186022026139463
669,0.188952007861865,0.938851892948151,0.00460039684548974,0.198257905017003
670,0.0790874687467817,0.344529867172241,0.00704626925289631,0.0833191330279962
671,0.114967088278842,0.288071602582932,0.0384393557906151,0.0539471483941976
672,NA,-Inf,Inf,NA
673,0.363732831240919,0.981355130672455,0.00412835041061044,0.264455419574463
674,0.552418498294872,0.977001667022705,0.0536963604390621,0.195140659815891
675,0.733967896566778,0.999296128749847,0.00973073393106461,0.256849955567845
676,0.217026316748605,0.702100157737732,0.0122951390221715,0.142661125831855
677,NA,-Inf,Inf,NA
678,0.842329817620548,0.999268531799316,0.00612518191337585,0.161275884859098
679,NA,-Inf,Inf,NA
680,NA,-Inf,Inf,NA
681,NA,-Inf,Inf,NA
682,0.280144855664296,0.939149856567383,0.00439458061009645,0.197344689810589
683,NA,-Inf,Inf,NA
684,NA,-Inf,Inf,NA
686,0.88551738499674,0.998498737812042,0.217792734503746,0.0998120408709659
687,0.78642990436567,0.991952061653137,0.00698549393564463,0.244505397752988
688,NA,-Inf,Inf,NA
689,NA,-Inf,Inf,NA
690,NA,-Inf,Inf,NA
691,0.724947745443006,0.995319783687592,0.103123746812344,0.183288289692377
692,NA,-Inf,Inf,NA
695,NA,-Inf,Inf,NA
818,NA,-Inf,Inf,NA
883,NA,-Inf,Inf,NA
890,NA,-Inf,Inf,NA
895,NA,-Inf,Inf,NA
934,0.585744764722272,0.955040216445923,0.0457432866096497,0.190097861487617
935,0.321276578385427,0.988678336143494,0.000741875846870244,0.300913795857992
936,0.789122442079558,0.992624580860138,0.00526474509388208,0.28354722428181
937,0.0251134010031819,0.0277017299085855,0.0225250720977783,0.0036604498419041
938,0.393442541198437,0.98763644695282,0.0118462489917874,0.283342174289051
939,0.187210499949926,0.980608582496643,0.00114127539563924,0.220361409670245
940,NA,-Inf,Inf,NA
941,0.229268033944425,0.581869721412659,0.00587836233898997,0.169362438126982
942,0.642149342477963,0.982634246349335,0.169382199645042,0.179185694275444
943,0.822162888426179,0.994603276252747,0.0055532050319016,0.242634196266308
944,NA,-Inf,Inf,NA
945,0.327805353707931,0.983675599098206,0.00555226998403668,0.25202191831052
946,0.278743098575849,0.989677846431732,0.000226622127229348,0.299976361174214
947,0.675760194869837,0.990650355815887,0.0063267438672483,0.291697136024027
948,0.172701475172814,0.972790479660034,0.000646697706542909,0.208421717677639
949,0.715285164816533,0.975624978542328,0.0380027592182159,0.177332098930932
950,0.123097641728949,0.661000609397888,0.00561865465715528,0.12418499791628
951,0.761001622786804,0.992613971233368,0.112410366535187,0.170856862110231
952,NA,-Inf,Inf,NA
953,0.20443811606125,0.641650915145874,0.00206455215811729,0.13691297788357
954,0.822982284692176,0.996110200881958,0.00876562763005495,0.176994048513589
955,NA,-Inf,Inf,NA
956,0.316037724185194,0.979732990264893,0.00143974658567458,0.30685047650276
957,0.852630983458625,0.920808136463165,0.736604630947113,0.0434289538561455
958,0.11241602897644,0.11241602897644,0.11241602897644,NA
959,0.0641017194427604,0.587276339530945,0.000455754896393046,0.118284189741476
960,NA,-Inf,Inf,NA
961,0.428403073293434,0.997434198856354,0.00099875230807811,0.362050783894692
962,0.415464066209332,0.916842520236969,0.065520167350769,0.213175940314084
963,0.0977944873805557,0.463837027549744,0.0217682104557753,0.0848222750124713
964,0.0466170693108643,0.485788583755493,0.000140061834827065,0.0717838024606251
965,0.519161036581292,0.969307661056519,0.0161183848977089,0.213017282814618
