"zone","mean","max","min","sd"
416,NA,-Inf,Inf,NA
417,NA,-Inf,Inf,NA
419,NA,-Inf,Inf,NA
421,NA,-Inf,Inf,NA
431,0.469824595702812,0.871967673301697,0.0490018092095852,0.185241011809311
432,0.236106530314437,0.518308222293854,0.0556447543203831,0.0935849278244237
437,NA,-Inf,Inf,NA
438,0.472904467363317,0.95429140329361,0.00451084971427917,0.241657116712385
440,NA,-Inf,Inf,NA
445,0.429012419249402,0.959508895874023,0.0058978027664125,0.215408619591739
449,NA,-Inf,Inf,NA
450,0.269120483071051,0.89075642824173,0.0105698043480515,0.17013246652921
452,0.425216779815863,0.921474099159241,0.0364731997251511,0.239328470658753
465,NA,-Inf,Inf,NA
561,NA,-Inf,Inf,NA
603,0.512264845767521,0.937619149684906,0.00247823260724545,0.253191227409301
604,0.80380701953693,0.986998558044434,0.191021874547005,0.158327940513335
605,0.263214395989721,0.644607245922089,0.0103931874036789,0.132036933212877
606,0.543810434375717,0.931661605834961,0.117433667182922,0.181127522105641
607,0.700740932908833,0.964641273021698,0.200081318616867,0.173385098755912
608,0.767133696787599,0.991435885429382,0.133943423628807,0.177797864390015
621,NA,-Inf,Inf,NA
648,NA,-Inf,Inf,NA
665,NA,-Inf,Inf,NA
668,NA,-Inf,Inf,NA
675,NA,-Inf,Inf,NA
686,NA,-Inf,Inf,NA
687,NA,-Inf,Inf,NA
883,0.112317198067904,0.557694792747498,0.00834864750504494,0.113534595595818
884,NA,-Inf,Inf,NA
885,NA,-Inf,Inf,NA
888,NA,-Inf,Inf,NA
890,NA,-Inf,Inf,NA
894,NA,-Inf,Inf,NA
895,0.469882516087615,0.965331196784973,0.0219908971339464,0.227930740832642
934,NA,-Inf,Inf,NA
935,0.646899278414616,0.998025476932526,0.00678879953920841,0.272846284793608
936,NA,-Inf,Inf,NA
937,0.70638923859003,0.993866264820099,0.0496303662657738,0.192449283118537
938,0.771000016743966,0.991075694561005,0.0513032600283623,0.183900203320635
939,0.607857393303319,0.995837390422821,0.029105531051755,0.275800815084557
940,0.191412895917892,0.191412895917892,0.191412895917892,NA
941,0.736997761829218,0.998385787010193,0.0321360565721989,0.190598049646784
942,NA,-Inf,Inf,NA
943,0.177787572145462,0.177787572145462,0.177787572145462,NA
944,0.713448127856901,0.995072722434998,0.0508629679679871,0.208096690715125
945,0.922116820059966,0.999503076076508,0.385193467140198,0.0944505685436414
946,0.56854029742164,0.99922788143158,0.00193476234562695,0.314149823296431
947,0.418677463102693,0.991047501564026,0.0374127626419067,0.232077996890767
948,0.713253088254296,0.981124699115753,0.0515723302960396,0.197099310334245
