"zone","mean","max","min","sd"
471,NA,-Inf,Inf,NA
473,0.0990906071124805,0.33379191160202,0.00841472949832678,0.105239096097309
2957,NA,-Inf,Inf,NA
2958,NA,-Inf,Inf,NA
2959,NA,-Inf,Inf,NA
2960,NA,-Inf,Inf,NA
2961,NA,-Inf,Inf,NA
2962,NA,-Inf,Inf,NA
2963,NA,-Inf,Inf,NA
2964,NA,-Inf,Inf,NA
2965,NA,-Inf,Inf,NA
2966,NA,-Inf,Inf,NA
2967,NA,-Inf,Inf,NA
2968,NA,-Inf,Inf,NA
2969,NA,-Inf,Inf,NA
253439,NA,-Inf,Inf,NA
337761,NA,-Inf,Inf,NA
405219,NA,-Inf,Inf,NA
506406,0.00799671933054924,0.00799671933054924,0.00799671933054924,NA
578682,NA,-Inf,Inf,NA
632889,NA,-Inf,Inf,NA
676776,NA,-Inf,Inf,NA
761002,NA,-Inf,Inf,NA
761004,NA,-Inf,Inf,NA
843694,NA,-Inf,Inf,NA
1001272,NA,-Inf,Inf,NA
1002010,0.883581018172593,0.991267442703247,0.139573320746422,0.113263502598009
1002196,0.729428009344981,0.889526546001434,0.386687248945236,0.146115710508583
1002268,NA,-Inf,Inf,NA
1002682,NA,-Inf,Inf,NA
1002734,NA,-Inf,Inf,NA
1002819,0.936619212230047,0.973129212856293,0.917100727558136,0.0242937283177834
1003842,NA,-Inf,Inf,NA
1007289,NA,-Inf,Inf,NA
1012303,0.914393816328896,0.998469412326813,0.0933967977762222,0.115008029867833
1012305,NA,-Inf,Inf,NA
1012312,0.975815257062177,0.999802947044373,0.584059476852417,0.0358616051517415
1012317,0.937178330687388,0.999644458293915,0.038762416690588,0.0875996698587134
1012324,NA,-Inf,Inf,NA
1012330,NA,-Inf,Inf,NA
1012331,0.986702957177815,0.999060094356537,0.870290160179138,0.0124939309251554
1012335,0.938719865087515,0.999338865280151,0.335753411054611,0.0915198364710609
1012337,0.914104280335234,0.999087750911713,0.0700145661830902,0.123242800062203
1012338,0.879249623247086,0.999566793441772,0.000216525921132416,0.201865855333087
1012339,0.869324934923738,0.997852146625519,0.0502927228808403,0.144220378651642
1012344,NA,-Inf,Inf,NA
1012346,0.603410065174103,0.603410065174103,0.603410065174103,NA
1012351,NA,-Inf,Inf,NA
1012352,NA,-Inf,Inf,NA
1012353,0.846728367879373,0.998395919799805,0.0396471358835697,0.146500492340841
1012360,0.958985107912208,0.999429404735565,0.605399310588837,0.0592713597372442
1012365,NA,-Inf,Inf,NA
1012366,NA,-Inf,Inf,NA
1012367,NA,-Inf,Inf,NA
1012368,0.948033135269106,0.995019614696503,0.431197971105576,0.0771857734817911
1012371,0.988758782593257,0.99952644109726,0.906952440738678,0.0109031399609982
1012372,NA,-Inf,Inf,NA
1012375,NA,-Inf,Inf,NA
1012381,0.966974951499074,0.999842405319214,0.00504697998985648,0.083565667775265
1012382,0.844476508531226,0.99691253900528,0.00192490930203348,0.173799025111894
1012383,0.816109595950156,0.997216761112213,0.0163184944540262,0.156644320040152
1012384,0.716422720740621,0.940601468086243,0.0309293884783983,0.249777955176675
1012385,0.981151044368744,0.981151044368744,0.981151044368744,NA
1012394,NA,-Inf,Inf,NA
1012401,NA,-Inf,Inf,NA
1012407,0.925538060464785,0.998714804649353,0.43157109618187,0.092565547080665
1012408,NA,-Inf,Inf,NA
1012413,0.986859490178304,0.999549329280853,0.807663917541504,0.0214726733663138
1012445,0.892971536094178,0.999455153942108,0.243309497833252,0.132934533953387
1012447,0.797332763671875,0.797332763671875,0.797332763671875,NA
1012449,0.886413865302149,0.997008204460144,0.00121063168626279,0.163031260612496
1012564,NA,-Inf,Inf,NA
1012790,0.99499124288559,0.99499124288559,0.99499124288559,NA
1013016,NA,-Inf,Inf,NA
1013050,NA,-Inf,Inf,NA
1013664,0.641875409256621,0.99666166305542,0.00883010867983103,0.242875539220959
1013666,NA,-Inf,Inf,NA
1013668,NA,-Inf,Inf,NA
1013673,NA,-Inf,Inf,NA
1013677,0.280007089510805,0.9886554479599,0.00235431641340256,0.216616001230629
1013679,0.612488272114965,0.994126260280609,0.00292633986100554,0.232266066104527
1013683,NA,-Inf,Inf,NA
1013684,NA,-Inf,Inf,NA
1013689,0.992885291576385,0.992885291576385,0.992885291576385,NA
1013690,NA,-Inf,Inf,NA
1013694,0.873623479303156,0.999590516090393,0.00215096515603364,0.175742145028761
