"zone","mean","max","min","sd"
561,NA,-Inf,Inf,NA
828,NA,-Inf,Inf,NA
833,0.377108056687482,0.992547392845154,0.00824783183634281,0.33241062340413
834,NA,-Inf,Inf,NA
835,0.255006925806062,0.974980473518372,0.00843900162726641,0.193423691349219
1073,NA,-Inf,Inf,NA
1134,NA,-Inf,Inf,NA
1135,NA,-Inf,Inf,NA
1176,NA,-Inf,Inf,NA
1178,NA,-Inf,Inf,NA
1234,NA,-Inf,Inf,NA
1235,NA,-Inf,Inf,NA
1272,0.507321894168854,0.507321894168854,0.507321894168854,NA
1314,NA,-Inf,Inf,NA
1316,NA,-Inf,Inf,NA
1369,NA,-Inf,Inf,NA
1434,NA,-Inf,Inf,NA
1436,NA,-Inf,Inf,NA
1437,NA,-Inf,Inf,NA
1488,NA,-Inf,Inf,NA
1491,0.318146020174026,0.341643244028091,0.294648796319962,0.0332300926525352
1520,0.106976918876171,0.106976918876171,0.106976918876171,NA
1522,NA,-Inf,Inf,NA
1554,NA,-Inf,Inf,NA
1634,0.568140149116516,0.568140149116516,0.568140149116516,NA
1637,0.0897937342524529,0.0897937342524529,0.0897937342524529,NA
1734,NA,-Inf,Inf,NA
1794,NA,-Inf,Inf,NA
1798,0.393484890460968,0.439791113138199,0.347178667783737,0.0654868881324084
1901,0.258045464754105,0.258045464754105,0.258045464754105,NA
1930,NA,-Inf,Inf,NA
2034,NA,-Inf,Inf,NA
2040,NA,-Inf,Inf,NA
2144,0.828601658344269,0.828601658344269,0.828601658344269,NA
2206,NA,-Inf,Inf,NA
2212,NA,-Inf,Inf,NA
2235,NA,-Inf,Inf,NA
2275,NA,-Inf,Inf,NA
2335,NA,-Inf,Inf,NA
2341,NA,-Inf,Inf,NA
2435,NA,-Inf,Inf,NA
2442,NA,-Inf,Inf,NA
2549,NA,-Inf,Inf,NA
2635,NA,-Inf,Inf,NA
2636,NA,-Inf,Inf,NA
2643,NA,-Inf,Inf,NA
2710,NA,-Inf,Inf,NA
2763,NA,-Inf,Inf,NA
2807,NA,-Inf,Inf,NA
2836,NA,-Inf,Inf,NA
2893,NA,-Inf,Inf,NA
2901,NA,-Inf,Inf,NA
2944,NA,-Inf,Inf,NA
3005,0.84547221660614,0.84547221660614,0.84547221660614,NA
3214,0.995969688848448,0.999820053577423,0.834773063659668,0.00439124878634646
3215,0.943552315235138,0.943552315235138,0.943552315235138,NA
3216,NA,-Inf,Inf,NA
3217,0.990912322802579,0.99960196018219,0.449817776679993,0.0210360211374947
3219,NA,-Inf,Inf,NA
3220,0.976130177148708,0.999452948570251,0.765468537807465,0.0330596604931983
3221,0.954776165646112,0.999058425426483,0.012048645876348,0.117010739653804
3222,0.988128989934921,0.997276067733765,0.979301929473877,0.00516309753396282
3223,0.881006940011128,0.999614596366882,4.21865443058778e-05,0.190138835893925
3224,0.978031324615736,0.999391734600067,0.0111996242776513,0.0585392437553451
3225,0.977239429950714,0.977239429950714,0.977239429950714,NA
3227,0.940965070172992,0.999525308609009,0.338770925998688,0.0629103642338431
3228,0.97188985516549,0.999654710292816,0.637712597846985,0.043734957931721
3229,0.892480959509609,0.998109757900238,0.201485455036163,0.0752576680728834
3230,0.530182645530103,0.98658561706543,0.021595748141408,0.271593648841182
3231,0.996751001395798,0.999612629413605,0.973843455314636,0.00294445787071103
3232,0.950602931834921,0.999757766723633,0.000181436087586917,0.144111885504309
3233,0.401182210198509,0.988951206207275,0.00102206668816507,0.217168713164464
3234,0.96647382216941,0.998619079589844,0.00145307742059231,0.108375663085376
3235,0.85773067785541,0.99639892578125,0.000313800352159888,0.181247627764263
3236,0.686217451919147,0.995911121368408,0.00415877066552639,0.259389032214206
3237,0.515067722430146,0.981381475925446,0.00627120165154338,0.312684187980113
3238,0.995605712919981,0.9996018409729,0.354289501905441,0.0102697357071311
3239,0.944577845479283,0.999594211578369,0.530726373195648,0.0550145546646602
3240,NA,-Inf,Inf,NA
3241,0.525619113120492,0.963927626609802,0.00612724525853992,0.237201650539053
3242,NA,-Inf,Inf,NA
3243,0.574080989249928,0.982212364673615,0.0409374311566353,0.196199149561159
3244,0.96977836494168,0.999667584896088,0.00464420020580292,0.0924580838012511
3245,NA,-Inf,Inf,NA
3246,0.759685181685819,0.999433815479279,0.0211117304861546,0.264821810831264
3247,0.967886333764132,0.99946117401123,0.000242261259700172,0.08380481894362
3248,0.0935947680283261,0.754605948925018,0.00348780024796724,0.0974879812442085
3249,0.976393062740119,0.999176621437073,0.272306799888611,0.0374638961452745
3250,0.874092512928388,0.999312102794647,0.173313587903976,0.153710116205237
3251,NA,-Inf,Inf,NA
3252,0.981378922826851,0.999705374240875,0.265076011419296,0.0493268735641929
3253,0.912185817888361,0.99736762046814,0.0402230806648731,0.145687818339089
3254,0.980884325266087,0.999222159385681,0.0551335029304028,0.0622666500585773
3255,0.250311667424088,0.994210243225098,0.00121160503476858,0.245084111884088
3256,0.994744523758771,0.999832034111023,0.487644284963608,0.0168327040932531
3257,0.641759974275125,0.99957537651062,0.000182759569725022,0.348681630085527
3258,NA,-Inf,Inf,NA
3259,0.5882638172501,0.99380749464035,0.0068477476015687,0.195807559507857
3260,0.979968123754,0.999454021453857,0.000148659833939746,0.0572717930623858
3262,0.994088515659221,0.999346315860748,0.901892781257629,0.00693555928474088
3263,0.662125569061441,0.96972793340683,0.0298293717205524,0.222665466987564
254036,NA,-Inf,Inf,NA
404504,NA,-Inf,Inf,NA
805751,NA,-Inf,Inf,NA
1006350,0.405635188023249,0.691144347190857,0.0704695284366608,0.313302782758602
1006358,NA,-Inf,Inf,NA
1006363,NA,-Inf,Inf,NA
1006366,NA,-Inf,Inf,NA
1006374,0.0654591023921967,0.0654591023921967,0.0654591023921967,NA
