"zone","mean","max","min","sd"
358,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
359,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
362,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
373,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
380,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
382,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
1158,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
1159,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
1160,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
1161,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
1162,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
1163,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
1164,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
1165,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
1166,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
1167,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
1168,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
1170,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
1171,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
1172,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
1175,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
1176,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
1177,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
1178,-3.4028230607371e+38,-3.4028230607371e+38,-3.4028230607371e+38,0
