"zone","mean","max","min","sd"
341,NA,-Inf,Inf,NA
342,0.618764167923767,0.967456102371216,0.052998024970293,0.249358963993515
343,0.880125461486134,0.99121755361557,0.303395718336105,0.143010498400724
344,0.595958444144991,0.919517993927002,0.104137182235718,0.198476550773344
345,0.625820396090799,0.986226916313171,0.0210277121514082,0.353825488238518
346,0.619342713561369,0.976199746131897,0.0184795465320349,0.28203151420601
347,0.733290023528613,0.928903996944427,0.555040955543518,0.0896811654775037
348,0.516444061446856,0.951221108436584,0.0182353779673576,0.294903843005164
349,0.866295005785269,0.995628774166107,0.161571845412254,0.108522608375076
350,0.256496036355384,0.857504367828369,0.017407488077879,0.261367615171258
351,0.707449578264329,0.981165647506714,0.0616412051022053,0.254345041181266
352,0.581203824403929,0.971902549266815,0.0283972285687923,0.24932504899072
353,0.627843304537237,0.954663813114166,0.0810031816363335,0.288273174185824
354,0.683448849438593,0.973572969436646,0.0725945979356766,0.246209187991226
355,0.784814549027942,0.976171374320984,0.203793600201607,0.225474161534926
356,0.729058413605679,0.966438353061676,0.121373601257801,0.188619665364343
357,0.71399306873306,0.9784996509552,0.181651055812836,0.148576051524166
358,0.931497419870742,0.995780348777771,0.197441235184669,0.0938573409660461
359,0.643844406483922,0.982663691043854,0.045138280838728,0.283397726316051
360,0.598732370138168,0.755794167518616,0.492500931024551,0.11352114398732
361,0.711750536602597,0.969764888286591,0.0870344564318657,0.23456081557838
362,NA,-Inf,Inf,NA
363,0.304214589297771,0.944064140319824,0.0209463760256767,0.261604877491549
364,0.594453827102708,0.992008626461029,0.0114713925868273,0.334538951937058
365,0.510394797662434,0.903015613555908,0.105579286813736,0.198070930500372
366,0.845754367167964,0.990011990070343,0.322153896093369,0.119517128058607
367,0.569388795644045,0.982831537723541,0.0179646145552397,0.344751317104422
368,0.840152134889452,0.976495444774628,0.0773338600993156,0.183521775452638
369,0.820642364501953,0.987398326396942,0.438748866319656,0.136468182180493
370,0.762023158762821,0.977523028850555,0.105453155934811,0.186032211721012
371,0.815127143449501,0.983495235443115,0.242592945694923,0.128588162240964
372,0.796370479923028,0.993555545806885,0.141155809164047,0.263575430802598
373,0.944035808352324,0.986922204494476,0.151454523205757,0.0672454360333633
374,0.605370618749971,0.969868719577789,0.108863890171051,0.202517607942402
375,0.837552482865073,0.987861573696136,0.349350780248642,0.148718651824821
376,0.740488888230175,0.961380898952484,0.138626843690872,0.199298079746318
