"zone","mean","max","min","sd"
304,NA,-Inf,Inf,NA
471,NA,-Inf,Inf,NA
473,NA,-Inf,Inf,NA
575,0.875012619498306,0.992896735668182,0.287024229764938,0.13900304697223
576,0.870458712086102,0.995751559734344,0.210744425654411,0.137497378546753
577,0.682178688794866,0.990051746368408,0.115221820771694,0.220596037396519
578,0.876940875914681,0.997914373874664,0.181563809514046,0.146338486549997
579,0.882608349019991,0.995366096496582,0.388226121664047,0.103003287877258
580,0.918198460105836,0.997647821903229,0.475109368562698,0.0782471722788371
622,NA,-Inf,Inf,NA
623,NA,-Inf,Inf,NA
624,NA,-Inf,Inf,NA
625,NA,-Inf,Inf,NA
626,NA,-Inf,Inf,NA
627,NA,-Inf,Inf,NA
628,NA,-Inf,Inf,NA
629,NA,-Inf,Inf,NA
630,NA,-Inf,Inf,NA
631,NA,-Inf,Inf,NA
632,NA,-Inf,Inf,NA
633,NA,-Inf,Inf,NA
634,NA,-Inf,Inf,NA
635,NA,-Inf,Inf,NA
636,NA,-Inf,Inf,NA
637,NA,-Inf,Inf,NA
638,NA,-Inf,Inf,NA
639,NA,-Inf,Inf,NA
640,NA,-Inf,Inf,NA
641,NA,-Inf,Inf,NA
696,NA,-Inf,Inf,NA
698,0.585561896363894,0.905107259750366,0.119747653603554,0.412605582301954
699,0.692398709058762,0.910358309745789,0.436768978834152,0.204044345207449
700,0.631670512259007,0.749833285808563,0.422487944364548,0.146657663995838
701,0.810779646039009,0.920566916465759,0.655766129493713,0.113982614074906
791,NA,-Inf,Inf,NA
792,NA,-Inf,Inf,NA
793,NA,-Inf,Inf,NA
794,NA,-Inf,Inf,NA
795,0.618997671641409,0.977886617183685,0.127203285694122,0.223667422441789
796,NA,-Inf,Inf,NA
797,0.746268146976227,0.988732933998108,0.171283513307571,0.190579098248172
798,0.910645748887743,0.991911172866821,0.745276570320129,0.0600977050084249
799,0.834023108552082,0.998099565505981,0.145587131381035,0.159730355314125
800,0.432920547202229,0.757554948329926,0.214440330862999,0.191452294187465
801,NA,-Inf,Inf,NA
802,0.906350285287887,0.994855046272278,0.287067353725433,0.111520226923354
803,NA,-Inf,Inf,NA
804,NA,-Inf,Inf,NA
805,NA,-Inf,Inf,NA
806,NA,-Inf,Inf,NA
807,NA,-Inf,Inf,NA
808,0.870815222793155,0.996083557605743,0.562054336071014,0.0994916667197201
809,NA,-Inf,Inf,NA
810,NA,-Inf,Inf,NA
811,0.498471885919571,0.498471885919571,0.498471885919571,NA
812,NA,-Inf,Inf,NA
813,0.864612447454574,0.974071085453033,0.636614918708801,0.0880974972296112
814,0.931783424004128,0.992768108844757,0.394038170576096,0.088302066234469
897,0.431534562217093,0.804030418395996,0.0698523744940758,0.180809825989681
898,NA,-Inf,Inf,NA
900,NA,-Inf,Inf,NA
901,NA,-Inf,Inf,NA
902,NA,-Inf,Inf,NA
903,NA,-Inf,Inf,NA
904,NA,-Inf,Inf,NA
905,NA,-Inf,Inf,NA
906,NA,-Inf,Inf,NA
907,NA,-Inf,Inf,NA
909,NA,-Inf,Inf,NA
910,NA,-Inf,Inf,NA
911,NA,-Inf,Inf,NA
912,NA,-Inf,Inf,NA
913,NA,-Inf,Inf,NA
914,NA,-Inf,Inf,NA
915,NA,-Inf,Inf,NA
916,NA,-Inf,Inf,NA
917,NA,-Inf,Inf,NA
918,NA,-Inf,Inf,NA
919,NA,-Inf,Inf,NA
920,NA,-Inf,Inf,NA
921,NA,-Inf,Inf,NA
922,NA,-Inf,Inf,NA
923,NA,-Inf,Inf,NA
924,NA,-Inf,Inf,NA
925,NA,-Inf,Inf,NA
926,NA,-Inf,Inf,NA
927,NA,-Inf,Inf,NA
928,0.338614353434304,0.833255648612976,0.0152539582923055,0.167638059455207
929,0.272078217450452,0.931727170944214,0.00579808885231614,0.205073277960633
930,NA,-Inf,Inf,NA
931,NA,-Inf,Inf,NA
978,NA,-Inf,Inf,NA
1002,NA,-Inf,Inf,NA
1044,NA,-Inf,Inf,NA
1087,0.989258587360382,0.989258587360382,0.989258587360382,NA
1099,NA,-Inf,Inf,NA
1150,NA,-Inf,Inf,NA
1152,0.997146844863892,0.997146844863892,0.997146844863892,NA
1161,NA,-Inf,Inf,NA
1200,NA,-Inf,Inf,NA
1223,0.99177223443985,0.99177223443985,0.99177223443985,NA
1278,0.957663416862488,0.957663416862488,0.957663416862488,NA
1359,NA,-Inf,Inf,NA
1405,0.895904839038849,0.895904839038849,0.895904839038849,NA
1418,NA,-Inf,Inf,NA
1426,0.988018155097961,0.988018155097961,0.988018155097961,NA
1484,0.88336365846917,0.998908460140228,0.401253014802933,0.113314515241572
1485,0.96127327338558,0.999822616577148,0.578889846801758,0.0419381218111687
1487,0.590986557061465,0.987755835056305,0.0502655319869518,0.273112380056043
1488,NA,-Inf,Inf,NA
1489,0.962775267660618,0.999079644680023,0.773989617824554,0.0475805108600601
1490,0.926424484986525,0.995020091533661,0.681687772274017,0.065247913370544
