"zone","mean","max","min","sd"
471,NA,-Inf,Inf,NA
575,0.765901276818858,0.976548314094543,0.00827109441161156,0.196590077386081
576,0.561187662517414,0.997489988803864,0.0297899134457111,0.273121957030089
577,0.472098739976387,0.97681713104248,0.0477102398872375,0.211058812297957
578,0.45869441343291,0.955391407012939,0.0488821975886822,0.237026734433675
579,0.210596838793957,0.936589777469635,0.011441670358181,0.181997824687172
580,0.598745066784029,0.990587055683136,0.0454717017710209,0.271476159558859
698,0.545900474477531,0.953566253185272,0.126633822917938,0.176667818680799
699,0.784340433776379,0.936356246471405,0.622151374816895,0.0891355542195241
700,0.598049245464305,0.889863550662994,0.0291787944734097,0.214832867194382
701,0.606912070619208,0.854905724525452,0.253245532512665,0.16370302488008
791,0.131730914759706,0.674557566642761,0.0122159328311682,0.108320763962171
792,0.403631752802872,0.892842531204224,0.047391552478075,0.174139816532837
793,0.480032392298478,0.927839994430542,0.019323006272316,0.219925761099167
794,0.309113888451316,0.933411538600922,0.0248970817774534,0.271541019527797
795,0.311372454941808,0.691396653652191,0.059355303645134,0.136573085951234
796,0.28806052289101,0.954364717006683,0.0143112922087312,0.249470078095524
797,0.581443859778378,0.984095633029938,0.155088931322098,0.196200484250958
798,0.747343105146255,0.97637802362442,0.130933612585068,0.230784047559204
799,0.65026884819948,0.984043419361115,0.0869268998503685,0.224488337850494
800,0.612472759825843,0.819989025592804,0.401290088891983,0.13184522685993
801,0.282285057561239,0.851805150508881,0.0561365894973278,0.161920026121041
802,0.814188745484423,0.98640638589859,0.348813235759735,0.130826276741148
803,0.179687511915333,0.641873061656952,0.0085893739014864,0.139382765358104
804,0.0714763092654322,0.393091827630997,0.00470485724508762,0.0687386274863418
805,0.333488080577523,0.636008501052856,0.0657880455255508,0.142766970833457
806,0.486709365073372,0.799882590770721,0.322770148515701,0.128671651664061
807,0.134078362584114,0.206047639250755,0.0969807878136635,0.042865168539569
808,0.683427786827087,0.979088008403778,0.391305297613144,0.142898274022293
809,0.389815630190061,0.828952968120575,0.0300186146050692,0.178010157612829
810,0.0611219088539712,0.262572288513184,0.00706122908741236,0.0435005018004616
811,0.282674285322346,0.907130479812622,0.0100895659998059,0.207398493749978
812,0.0169046988178577,0.0377645678818226,0.00589706003665924,0.0116664795987
813,0.621433559103288,0.906726360321045,0.34815526008606,0.097142201004369
814,0.710377161004921,0.982581198215485,0.139578938484192,0.1813185179755
900,NA,-Inf,Inf,NA
901,NA,-Inf,Inf,NA
902,NA,-Inf,Inf,NA
903,0.106526264911262,0.687370121479034,0.00300054741092026,0.129107190980952
904,0.0968966967169456,0.943555295467377,0.00488529866561294,0.111536245852643
905,NA,-Inf,Inf,NA
906,0.0299668189874219,0.192067712545395,0.00103176303673536,0.0413608043667088
907,NA,-Inf,Inf,NA
909,NA,-Inf,Inf,NA
910,NA,-Inf,Inf,NA
912,NA,-Inf,Inf,NA
914,NA,-Inf,Inf,NA
924,NA,-Inf,Inf,NA
925,NA,-Inf,Inf,NA
929,NA,-Inf,Inf,NA
931,NA,-Inf,Inf,NA
978,NA,-Inf,Inf,NA
1002,NA,-Inf,Inf,NA
1044,NA,-Inf,Inf,NA
1087,NA,-Inf,Inf,NA
1099,NA,-Inf,Inf,NA
1150,NA,-Inf,Inf,NA
1152,NA,-Inf,Inf,NA
1161,NA,-Inf,Inf,NA
1200,NA,-Inf,Inf,NA
1223,NA,-Inf,Inf,NA
1278,NA,-Inf,Inf,NA
1405,NA,-Inf,Inf,NA
1418,NA,-Inf,Inf,NA
1426,NA,-Inf,Inf,NA
1484,0.726218671900266,0.989283561706543,0.020252076908946,0.185336488878623
1485,0.10147404960851,0.62093722820282,0.011314120143652,0.0950485650501847
1487,0.249667455499857,0.646819412708282,0.00952729769051075,0.124992275671826
1488,NA,-Inf,Inf,NA
1500,0.055339512249798,0.249000146985054,0.00318415812216699,0.0493502622794202
1501,0.100164704276047,0.803158164024353,0.00183557870332152,0.120481967824767
1502,0.138898454964451,0.56566309928894,0.00257303076796234,0.109781761620509
1503,NA,-Inf,Inf,NA
1504,0.0978569983226183,0.820901811122894,0.00573901413008571,0.117288619606515
1505,NA,-Inf,Inf,NA
1508,NA,-Inf,Inf,NA
1509,0.223317607178789,0.75455641746521,0.0342827998101711,0.125785998607989
1511,0.198350905460419,0.890011072158813,0.00296687055379152,0.204035388810305
1602,NA,-Inf,Inf,NA
1649,NA,-Inf,Inf,NA
1681,NA,-Inf,Inf,NA
1712,NA,-Inf,Inf,NA
1753,0.0581737063572437,0.292894959449768,0.00386208924464881,0.0500317928730854
1754,NA,-Inf,Inf,NA
1755,0.0351469586069328,0.184621050953865,0.00314531964249909,0.0341917984518901
1756,0.129748505636429,0.511058866977692,0.00637326808646321,0.118669766075093
1757,0.00992827330226103,0.0682791098952293,0.00156311132013798,0.00924332346722167
1758,0.0570309595018625,0.148785665631294,0.011283952742815,0.0384708026135145
1759,NA,-Inf,Inf,NA
1760,NA,-Inf,Inf,NA
1761,NA,-Inf,Inf,NA
1762,NA,-Inf,Inf,NA
1763,0.0443086216497856,0.308544278144836,0.00435102125629783,0.0384887341450691
1764,0.0314095198839777,0.154021114110947,0.00325699662789702,0.0215332589167369
1765,NA,-Inf,Inf,NA
1766,0.0823327328706811,0.381002902984619,0.00608380557969213,0.0662669220912075
1768,NA,-Inf,Inf,NA
1891,0.783551417914123,0.982418298721313,0.0799389556050301,0.15978150970274
1892,0.802093805893358,0.988483369350433,0.164175063371658,0.148291253712602
1893,0.834830659763572,0.986638486385345,0.321793884038925,0.117558422182799
1894,0.631757276753585,0.71812516450882,0.49186447262764,0.0638539831005866
1895,0.781565161546071,0.962052345275879,0.516568422317505,0.0940788062072185
1896,0.699507715983893,0.986134767532349,0.264953881502151,0.149274333191335
1897,0.765075171941741,0.979107022285461,0.0839405879378319,0.166399087438514
1898,0.723976975730807,0.996591091156006,0.0597758032381535,0.225054692532711
1899,0.791173285636745,0.952402293682098,0.31368151307106,0.128091522549394
1900,0.867751834439296,0.983523666858673,0.628654837608337,0.105056491712007
1901,0.462265971983944,0.985634684562683,0.0155555568635464,0.302017353213554
1902,0.322589962724288,0.976076722145081,0.00861150398850441,0.26798375634272
1903,0.766774955464181,0.996177017688751,0.166588768362999,0.211335655132569
1904,0.736996368316321,0.980051875114441,0.13373701274395,0.17189576001628
2032,NA,-Inf,Inf,NA
2045,NA,-Inf,Inf,NA
2084,NA,-Inf,Inf,NA
2101,NA,-Inf,Inf,NA
2148,NA,-Inf,Inf,NA
2152,NA,-Inf,Inf,NA
2233,NA,-Inf,Inf,NA
2234,NA,-Inf,Inf,NA
2276,NA,-Inf,Inf,NA
2278,NA,-Inf,Inf,NA
2332,NA,-Inf,Inf,NA
2354,NA,-Inf,Inf,NA
2355,NA,-Inf,Inf,NA
2356,NA,-Inf,Inf,NA
2357,NA,-Inf,Inf,NA
2361,NA,-Inf,Inf,NA
2362,NA,-Inf,Inf,NA
2363,NA,-Inf,Inf,NA
2364,NA,-Inf,Inf,NA
2368,NA,-Inf,Inf,NA
2389,NA,-Inf,Inf,NA
2510,NA,-Inf,Inf,NA
2573,NA,-Inf,Inf,NA
2635,NA,-Inf,Inf,NA
2646,NA,-Inf,Inf,NA
2658,0.875676691532135,0.888946652412415,0.862406730651855,0.0187665586490517
2659,0.829411864280701,0.842128276824951,0.81669545173645,0.0179837230848104
2660,0.90014959871769,0.907264828681946,0.894747495651245,0.00547912027433758
2662,0.898632898926735,0.973256289958954,0.851215183734894,0.0553088672419704
2663,0.848434090614319,0.864899158477783,0.831969022750854,0.0232851222779047
2665,0.792188167572021,0.896877944469452,0.685527801513672,0.0713279442784312
2666,0.818759649991989,0.889307200908661,0.748212099075317,0.0997693032985637
2737,NA,-Inf,Inf,NA
2740,NA,-Inf,Inf,NA
2741,NA,-Inf,Inf,NA
2742,NA,-Inf,Inf,NA
2743,NA,-Inf,Inf,NA
2798,NA,-Inf,Inf,NA
2851,NA,-Inf,Inf,NA
2852,0.253490520133214,0.491200804710388,0.144644796848297,0.0830388878331256
2853,0.56931112974118,0.944230556488037,0.181655988097191,0.19632974769115
2854,0.0331521644137886,0.356168538331985,0.00362181919626892,0.0490171163030033
2855,0.443128270058708,0.913217604160309,0.0564525350928307,0.253805613794682
2856,0.0703900447115302,0.229329019784927,0.0140915643423796,0.0369199091126421
2857,0.0233735985836232,0.0746352523565292,0.00440980959683657,0.0151622341475661
