"zone","mean","max","min","sd"
124,1.99217193508611,2,1.36866862632939,0.0460785654719044
341,0.874597783102281,1,0,0.329478198152913
342,NA,-Inf,Inf,NA
343,NA,-Inf,Inf,NA
344,NA,-Inf,Inf,NA
345,NA,-Inf,Inf,NA
346,NA,-Inf,Inf,NA
347,NA,-Inf,Inf,NA
348,NA,-Inf,Inf,NA
349,NA,-Inf,Inf,NA
350,NA,-Inf,Inf,NA
351,NA,-Inf,Inf,NA
352,NA,-Inf,Inf,NA
353,NA,-Inf,Inf,NA
354,NA,-Inf,Inf,NA
355,NA,-Inf,Inf,NA
356,NA,-Inf,Inf,NA
357,NA,-Inf,Inf,NA
358,NA,-Inf,Inf,NA
359,NA,-Inf,Inf,NA
360,NA,-Inf,Inf,NA
361,NA,-Inf,Inf,NA
362,1,1,1,1.06983767584826e-16
363,NA,-Inf,Inf,NA
364,NA,-Inf,Inf,NA
365,NA,-Inf,Inf,NA
366,NA,-Inf,Inf,NA
367,NA,-Inf,Inf,NA
368,NA,-Inf,Inf,NA
369,NA,-Inf,Inf,NA
370,NA,-Inf,Inf,NA
371,NA,-Inf,Inf,NA
372,NA,-Inf,Inf,NA
373,NA,-Inf,Inf,NA
374,NA,-Inf,Inf,NA
375,NA,-Inf,Inf,NA
376,NA,-Inf,Inf,NA
377,NA,-Inf,Inf,NA
378,NA,-Inf,Inf,NA
379,NA,-Inf,Inf,NA
380,NA,-Inf,Inf,NA
381,1.00028117604741,1.03514700592578,1,0.00314364377822567
382,NA,-Inf,Inf,NA
383,0,0,0,0
384,NA,-Inf,Inf,NA
385,NA,-Inf,Inf,NA
386,NA,-Inf,Inf,NA
387,NA,-Inf,Inf,NA
388,NA,-Inf,Inf,NA
398,2,2,2,1.48090691833031e-16
399,1.98719965894874,2,0.769737964291555,0.0839804285388464
400,2,2,2,1.52127890253185e-16
401,2,2,2,1.99727969209301e-16
402,1.99999424212459,2,1.96389601675017,0.000417833069917532
403,1.99998242754191,2,1.95376686275804,0.000901348915059921
404,1.99989169015787,2,1.85401445476678,0.00356763990471779
405,1.99803980023171,2,1.26947440798224,0.0280829247462353
406,1.99208747861453,2,0,0.114034535777381
407,2,2,2,1.49289241086479e-16
408,2,2,2,1.53936360749203e-16
409,2,2,2,1.57547819861874e-16
410,2,2,2,1.71311131904708e-16
411,2,2,2,1.491764480261e-16
412,2,2,2,1.73111449669084e-16
413,1.81571455314643,2,0.000992681282368305,0.366030233848439
414,2,2,2,1.45923689723821e-16
415,2,2,2,1.8066140512243e-16
609,1.99994369523725,2,1.9435772073069,0.00163582124267533
610,2,2,2,1.80039141087444e-16
611,1.99971003403911,2,1.9556352079834,0.00358668085378457
612,2,2,2,1.80437201631443e-16
613,2,2,2,1.75408029196726e-16
614,2,2,2,1.83732308697893e-16
615,2,2,2,1.80611920915445e-16
616,2,2,2,1.7199501139797e-16
617,2,2,2,1.7199501139797e-16
618,1.99929579838489,2,1.95563529824829,0.00558942703926515
619,1.99887930667588,2,1.82630030061516,0.0137776313615037
620,1.9980422038353,2,1.79747283001017,0.0181160822614079
654,1.99159083332324,2,0.975090071112332,0.0716497878041287
655,2,2,2,1.79587636909527e-16
656,1.99923887578817,2,1.1906155978698,0.0185982540660844
657,0.00852207093016157,0.813352053336349,0,0.0743116807588641
658,0.0286460248215833,1.00996786073879,0,0.131431994741222
659,0.024918202635536,1.05799130470015,0,0.136392231873287
660,2,2,2,1.8183226749203e-16
661,2,2,2,1.72861490490899e-16
662,0,0,0,0
663,0,0,0,0
743,2,2,2,1.76463158360957e-16
744,2,2,2,1.68654984492089e-16
745,1.99957493070417,2,1.93172320865901,0.00520405230677518
746,1.99339109834833,2,1.69368039883305,0.0339536497810308
747,2,2,2,1.75541673428835e-16
748,2,2,2,1.64825373118591e-16
749,2,2,2,1.75008920535793e-16
750,2,2,2,1.70930016567428e-16
751,0.820316263550484,2,0,0.911694428934231
752,1.52665702243214,2,0,0.823838532781329
753,1.94001761670507,2,1.00526120669295,0.178655927649662
