"zone","mean","max","min","sd"
124,1,1,1,8.04757570576832e-17
341,0.874597783102281,1,0,0.329478198152913
342,NA,-Inf,Inf,NA
343,NA,-Inf,Inf,NA
344,NA,-Inf,Inf,NA
345,NA,-Inf,Inf,NA
346,NA,-Inf,Inf,NA
347,NA,-Inf,Inf,NA
348,NA,-Inf,Inf,NA
349,NA,-Inf,Inf,NA
350,NA,-Inf,Inf,NA
351,NA,-Inf,Inf,NA
352,NA,-Inf,Inf,NA
353,NA,-Inf,Inf,NA
354,NA,-Inf,Inf,NA
355,NA,-Inf,Inf,NA
356,NA,-Inf,Inf,NA
357,NA,-Inf,Inf,NA
358,NA,-Inf,Inf,NA
359,NA,-Inf,Inf,NA
360,NA,-Inf,Inf,NA
361,NA,-Inf,Inf,NA
362,1,1,1,1.06983767584826e-16
363,NA,-Inf,Inf,NA
364,NA,-Inf,Inf,NA
365,NA,-Inf,Inf,NA
366,NA,-Inf,Inf,NA
367,NA,-Inf,Inf,NA
368,NA,-Inf,Inf,NA
369,NA,-Inf,Inf,NA
370,NA,-Inf,Inf,NA
371,NA,-Inf,Inf,NA
372,NA,-Inf,Inf,NA
373,NA,-Inf,Inf,NA
374,NA,-Inf,Inf,NA
375,NA,-Inf,Inf,NA
376,NA,-Inf,Inf,NA
377,NA,-Inf,Inf,NA
378,NA,-Inf,Inf,NA
379,NA,-Inf,Inf,NA
380,NA,-Inf,Inf,NA
381,1,1,1,9.56298117598241e-17
382,NA,-Inf,Inf,NA
383,0,0,0,0
384,NA,-Inf,Inf,NA
385,NA,-Inf,Inf,NA
386,NA,-Inf,Inf,NA
387,NA,-Inf,Inf,NA
388,NA,-Inf,Inf,NA
398,1,1,1,7.40453459165156e-17
399,1,1,1,7.90213102469772e-17
400,1,1,1,7.60639451265924e-17
401,1,1,1,9.98639846046507e-17
402,1,1,1,8.20805784164529e-17
403,1,1,1,7.58632665808855e-17
404,1,1,1,7.70576524238874e-17
405,1,1,1,7.50205040886238e-17
406,1,1,1,7.54810336467344e-17
407,1,1,1,7.46446205432395e-17
408,1,1,1,7.69681803746014e-17
409,1,1,1,7.87739099309368e-17
410,1,1,1,8.56555659523539e-17
411,1,1,1,7.45882240130499e-17
412,1,1,1,8.65557248345421e-17
413,0.9996633104367,1,0.727192598522449,0.0086666375214719
414,1,1,1,7.29618448619104e-17
415,1,1,1,9.03307025612151e-17
609,1,1,1,8.88806543958248e-17
610,1,1,1,9.00195705437218e-17
611,1,1,1,9.53009976799537e-17
612,1,1,1,9.02186008157216e-17
613,1,1,1,8.7704014598363e-17
614,1,1,1,9.18661543489463e-17
615,1,1,1,9.03059604577223e-17
616,1,1,1,8.59975056989852e-17
617,1,1,1,8.59975056989852e-17
618,1,1,1,9.24588767084229e-17
619,1,1,1,9.51285070450202e-17
620,1,1,1,8.91752592771521e-17
654,0.99912113187458,1,0.487545035556166,0.0167194126359633
655,1,1,1,8.97938184547637e-17
656,0.999749878197077,1,0.595307798934902,0.00891360064366162
657,0.00426103546508078,0.406676026668174,0,0.037155840379432
658,0.0143230124107917,0.504983930369396,0,0.0657159973706112
659,0.012459101317768,0.528995652350074,0,0.0681961159366433
660,1,1,1,9.09161337460152e-17
661,1,1,1,8.64307452454497e-17
662,0,0,0,0
663,0,0,0,0
743,1,1,1,8.82315791804784e-17
744,1,1,1,8.43274922460446e-17
745,1.49052965266954,2,1,0.487578011539424
746,1,1,1,8.74190483780769e-17
747,1,1,1,8.77708367144175e-17
748,1,1,1,8.24126865592956e-17
749,1,1,1,8.75044602678967e-17
750,1,1,1,8.5465008283714e-17
751,0.573523739358563,1,0,0.464914643462303
752,0.811960813934813,1,0,0.369545210929787
753,1,1,1,7.8916723523882e-17
754,0.708885488105327,1,0,0.423659495527889
755,1,1,1,9.61481343191782e-17
756,1,1,1,8.46537120028383e-17
757,1,1,1,9.1834339229603e-17
758,1,1,1,8.01930875609774e-17
759,1,1,1,8.94159486738243e-17
760,1,1,1,8.47946841437934e-17
761,0.787648765675918,1,0,0.405608672668869
762,1,1,1,9.13774491354659e-17
763,1.50361940912982,2,1,0.480210637334335
764,1,1,1,8.57214295268319e-17
765,1.00014381859303,1.02430534222261,1,0.00186964170943155
766,0.810947191335895,1,0,0.368820316071183
767,1.95353872221909,2,1,0.183584958714789
768,1,1,1,9.14551180395311e-17
769,0.890011334613945,1,0.000710205288053653,0.282420735939877
770,1,1,1,9.04372848597282e-17
771,1,1,1,8.82110387124593e-17
