"zone","mean","max","min","sd"
124,7,7,7,0
341,NA,-Inf,Inf,NA
342,NA,-Inf,Inf,NA
343,NA,-Inf,Inf,NA
344,NA,-Inf,Inf,NA
345,NA,-Inf,Inf,NA
346,NA,-Inf,Inf,NA
347,NA,-Inf,Inf,NA
348,NA,-Inf,Inf,NA
349,NA,-Inf,Inf,NA
350,NA,-Inf,Inf,NA
351,NA,-Inf,Inf,NA
352,NA,-Inf,Inf,NA
353,NA,-Inf,Inf,NA
354,NA,-Inf,Inf,NA
355,NA,-Inf,Inf,NA
356,NA,-Inf,Inf,NA
357,NA,-Inf,Inf,NA
358,NA,-Inf,Inf,NA
359,NA,-Inf,Inf,NA
360,NA,-Inf,Inf,NA
361,NA,-Inf,Inf,NA
362,NA,-Inf,Inf,NA
363,NA,-Inf,Inf,NA
364,NA,-Inf,Inf,NA
365,NA,-Inf,Inf,NA
366,NA,-Inf,Inf,NA
367,NA,-Inf,Inf,NA
368,NA,-Inf,Inf,NA
369,NA,-Inf,Inf,NA
370,NA,-Inf,Inf,NA
371,NA,-Inf,Inf,NA
372,NA,-Inf,Inf,NA
373,NA,-Inf,Inf,NA
374,NA,-Inf,Inf,NA
375,NA,-Inf,Inf,NA
376,NA,-Inf,Inf,NA
377,NA,-Inf,Inf,NA
378,NA,-Inf,Inf,NA
379,NA,-Inf,Inf,NA
380,NA,-Inf,Inf,NA
381,NA,-Inf,Inf,NA
382,NA,-Inf,Inf,NA
383,NA,-Inf,Inf,NA
384,NA,-Inf,Inf,NA
385,NA,-Inf,Inf,NA
386,NA,-Inf,Inf,NA
387,NA,-Inf,Inf,NA
388,NA,-Inf,Inf,NA
398,2.48958919527293,7,1,1.59991156148328
399,6.25626423690205,7,1,1.34454285718658
400,5.31921067904817,7,3,1.97464834024894
401,1.41087613293051,4,1,0.853017542043947
402,7,7,7,0
403,3.14231354642314,7,1,1.1494317183204
404,7,7,7,0
405,6.1969696969697,7,3,1.60277425596022
406,7,7,7,0
407,2.83480176211454,7,1,1.02193164282102
408,3.56153846153846,4,1,1.06388090312244
409,3.0855908912446,7,3,0.578881290322431
410,3.03786854206113,7,3,0.3874025516735
411,3.04402354747888,7,3,0.41737357846714
412,5.93694632621157,7,3,1.76704753960648
413,6.53548387096774,7,4,1.0864213994462
414,3.15010351966874,7,1,0.799487445604809
415,2.18118059614261,7,1,1.29953523297828
609,7,7,7,0
610,7,7,7,0
611,4,7,1,0.486664263392288
612,7,7,7,0
613,6.83130699088146,7,4,0.691627551281975
614,4.61607142857143,7,4,1.21733378512286
615,7,7,7,0
616,4,4,4,0
617,4,4,4,0
618,3.61904761904762,4,1,1.00688871519778
619,4.46540880503145,7,1,1.5335070842322
620,4.71084337349398,7,4,1.27819921665834
654,7,7,7,0
655,7,7,7,0
656,7,7,7,0
657,NA,-Inf,Inf,NA
658,7,7,7,0
659,7,7,7,NA
660,7,7,7,0
661,7,7,7,0
662,7,7,7,0
663,NA,-Inf,Inf,NA
743,7,7,7,0
744,7,7,7,0
745,3.4393063583815,7,3,1.25432441920826
746,3.62913907284768,7,3,1.45426221404411
747,6.05882352941176,7,3,1.74894926439041
748,4.04,7,3,1.77234999077381
749,3.2089552238806,7,3,0.844542433633234
750,6,7,3,1.76383420737639
751,7,7,7,0
752,6.25,7,3,1.58623107782506
753,3.95833333333333,7,3,1.71627912505155
754,3.39473684210526,6,3,1.02770996235031
755,3.07317073170732,6,3,0.468521285665818
756,5.20689655172414,7,3,2.00080176391274
757,4,7,3,1.77704663327728
758,5.63829787234043,7,3,1.91590064999403
759,6.05263157894737,7,3,1.72340593673098
760,5.08219178082192,7,3,2.01213971693992
761,6.77777777777778,7,3,0.942809041582063
762,3.375,7,3,1.1845783243212
763,7,7,7,0
764,4.73584905660377,7,3,2.00145085256658
765,7,7,7,0
766,7,7,7,0
767,6.35094339622642,7,3,1.47756231493333
768,6.31034482758621,7,3,1.53770348887698
769,3.85185185185185,7,3,1.63386525439391
770,4.50925925925926,7,3,1.94068766293127
771,3.06666666666667,7,3,0.513504771971974
772,7,7,7,0
773,7,7,7,0
774,5.97435897435897,7,3,1.76943612021903
775,7,7,7,0
776,6.36170212765957,7,3,1.47269823194062
777,5.54545454545455,7,3,1.95401684183679
778,3.34285714285714,7,3,1.13611456399476
779,4.42465753424658,7,3,1.92871436900319
780,4.21739130434783,7,3,1.88188787558786
781,7,7,7,0
782,3.47058823529412,7,3,1.29512323931305
783,7,7,7,0
784,3.36923076923077,7,3,1.16684980247608
785,3.21052631578947,7,3,0.917662935482247
786,4.47058823529412,7,3,1.94299805451769
787,3.5,7,3,1.33972825411417
788,5.20408163265306,7,3,2.01017818278147
789,4.14285714285714,7,3,1.82574185835055
790,7,7,7,0
815,3.28703703703704,7,3,1.03252624047281
816,2.96902106567534,7,1,0.449805283275526
817,3.04901960784314,7,3,0.399486112839583
818,7,7,7,0
819,2.07457983193277,7,1,1.37183047636012
820,5.29844097995546,7,3,1.97792257399554
821,3.08722358722359,7,3,0.581391558494967
822,3.06125574272588,7,3,0.491569681713597
823,2.56789568345324,6,1,0.840320974116744
824,2.45205479452055,7,1,1.39201883085108
852,6.5,7,3,1.33215910736066
853,4.65248738284066,7,3,1.96993246373298
854,3.07124681933842,7,3,0.529403194950942
855,3.00909090909091,7,3,0.19051178373795
856,3.29812438302073,7,3,1.05066256032936
857,3,3,3,0
858,3.15348837209302,7,3,0.768818647527905
859,3.62805755395683,7,3,1.45355396128091
860,3.1686149486362,7,3,0.803901560831391
861,3.04310344827586,7,3,0.413206815991769
862,3.18912529550827,7,3,0.849294534244444
863,3.10201342281879,7,3,0.630804255868641
864,3.00518134715026,7,3,0.143900949606697
865,3.1186848436247,7,3,0.678850543997628
866,3.30046948356808,7,3,1.05467628271259
867,3.07216494845361,7,3,0.488929752659863
868,6.86858685868587,7,3,0.713170421329114
870,7,7,7,0
873,7,7,7,0
875,7,7,7,0
876,6.98086124401914,7,3,0.276353828875556
881,7,7,7,0
967,5,5,5,0
968,5,5,5,0
969,5,5,5,0
970,2.7679180887372,7,1,0.950426678871945
971,3.00383877159309,7,3,0.123885894077747
972,3.00347826086957,7,3,0.117953564923918
973,1.54213036565978,4,1,0.923967443409624
974,2.88259109311741,3,1,0.470379534617795
975,3.00096215522771,6,3,0.0537258381333434
976,2.4139650872818,7,1,0.933676372998462
977,3.06031233171782,7,3,0.487585657178299
978,3.17274939172749,7,3,0.813361925516763
979,3.00888230940044,6,3,0.1630272037118
1040,4.17142857142857,7,4,0.696608080950589
1041,7,7,7,0
1048,7,7,7,0
1051,7,7,7,0
1053,7,7,7,0
1057,4.5311004784689,7,3,1.94892456401003
1066,3.00249323265422,7,3,0.0987608402098657
1067,2.70574443141852,7,1,1.02231275095898
1068,3.00989569403584,7,3,0.197498166207868
1069,3,3,3,0
1070,3,3,3,0
1071,3.49128724002248,7,3,1.31285981677658
1072,3.03968253968254,7,3,0.39682224114369
1073,3.05232166890982,7,3,0.440413424730286
1074,3.24195961106956,7,3,0.871988351763326
1075,3.0139800889642,7,3,0.231169907113793
