"zone","mean","max","min","sd"
304,0,0,0,0
305,0,0,0,0
306,0,0,0,0
307,0,0,0,0
308,0,0,0,0
309,0,0,0,0
310,0,0,0,0
311,0,0,0,0
312,0,0,0,0
313,0,0,0,0
314,0,0,0,0
315,0,0,0,0
316,0,0,0,0
317,0,0,0,0
318,0,0,0,0
319,0,0,0,0
320,0,0,0,0
321,0,0,0,0
322,0,0,0,0
323,0,0,0,0
324,0,0,0,0
325,0,0,0,0
326,0,0,0,0
327,0,0,0,0
328,0,0,0,0
329,0,0,0,0
330,0,0,0,0
331,0,0,0,0
332,0,0,0,0
333,0,0,0,0
334,0,0,0,0
335,0,0,0,0
336,0,0,0,0
337,0,0,0,0
338,0,0,0,0
339,0,0,0,0
340,0,0,0,0
341,0.508421452878016,0.879999995231628,0.100000001490116,0.223585827636582
342,0.0714615377096029,0.0799999982118607,0.0599999986588955,0.00725823035224649
343,0.0553741494104976,0.0700000002980232,0.0399999991059303,0.00633235902582276
344,0.0566071422238435,0.0599999986588955,0.0500000007450581,0.00477751669818952
345,0.0955555567310916,0.119999997317791,0.0700000002980232,0.0107171088583788
346,0.0408417991158405,0.0500000007450581,0.0299999993294477,0.00501621780007877
347,0.19978909588145,0.46000000834465,0.0599999986588955,0.0912291888154283
348,0.0148768469581169,0.0299999993294477,0.00999999977648258,0.00557217312865363
349,0.0691014015056678,0.100000001490116,0.0399999991059303,0.0148346371314327
350,0.0638749992940575,0.0700000002980232,0.0599999986588955,0.00490253179549176
351,0.026964285111587,0.0399999991059303,0.0199999995529652,0.00633012368423031
352,0.047656249589636,0.0700000002980232,0.0199999995529652,0.0107728325123309
353,0.04414893559953,0.0599999986588955,0.0199999995529652,0.0114918927955675
354,0.0576829266984288,0.0799999982118607,0.0399999991059303,0.00827567539985996
355,0.0646874994854443,0.0700000002980232,0.0500000007450581,0.00531488843092464
356,0.0890525757515679,0.129999995231628,0.0700000002980232,0.00728522543472269
357,0.0728474150173375,0.119999997317791,0.0399999991059303,0.0155048961881602
358,0.100727718516892,0.129999995231628,0.0500000007450581,0.0164485265055408
359,0.116871507078742,0.150000005960464,0.0199999995529652,0.0139517711879676
360,0.125591234400801,0.180000007152557,0.0799999982118607,0.023764678957993
361,0.0766203704428066,0.109999999403954,0.0199999995529652,0.0121679858500163
362,0.361264872424925,0.639999985694885,0.150000005960464,0.136838276978122
363,0.0300671135594181,0.0500000007450581,0.0199999995529652,0.00926316780361364
364,0.0445672185649035,0.0700000002980232,0.0299999993294477,0.00811282282554748
365,0.0870420724683981,0.100000001490116,0.0700000002980232,0.00641718381196917
366,0.0688650307296975,0.0799999982118607,0.0599999986588955,0.00362896990597221
367,0.0805719930685954,0.0900000035762787,0.0599999986588955,0.00923283976572809
368,0.0419211818244804,0.0599999986588955,0.0299999993294477,0.00848724724494775
369,0.0549295771814568,0.0599999986588955,0.0500000007450581,0.00501720041016804
370,0.0599029120564171,0.0799999982118607,0.0299999993294477,0.0139967470209352
371,0.0582566577828428,0.0700000002980232,0.0500000007450581,0.00482141190918335
372,0.0615827331868865,0.0700000002980232,0.0500000007450581,0.00616899612235751
373,0.145376484408408,0.209999993443489,0.100000001490116,0.0218774002566626
374,0.0486338798038132,0.0599999986588955,0.0199999995529652,0.00639283424470848
375,0.0652517982751881,0.0799999982118607,0.0299999993294477,0.00645237357694259
376,0.0711458333923171,0.0799999982118607,0.0700000002980232,0.0031893391721075
377,0.0252331600577566,0.0399999991059303,0.00999999977648258,0.00645242626821289
378,0.0657655950670882,0.0700000002980232,0.0599999986588955,0.00494571632662801
379,0.0617760614020944,0.0900000035762787,0.0399999991059303,0.0133792346982962
380,0.0728979591052143,0.100000001490116,0.0500000007450581,0.0128104810868494
381,0.584256216606458,0.899999976158142,0.180000007152557,0.211273963051043
382,0.045309617575528,0.0700000002980232,0.0299999993294477,0.00972594403290682
383,0.465508522193006,0.670000016689301,0.259999990463257,0.0949352677897151
384,0.084623468442838,0.0900000035762787,0.0700000002980232,0.00537694965548123
385,0.0562393156827515,0.0599999986588955,0.0500000007450581,0.00486480853352475
386,0.0812698407147927,0.0900000035762787,0.0700000002980232,0.00510279491427667
387,0.0244318176357245,0.0399999991059303,0.00999999977648258,0.00682147091559468
388,0.0519391632791141,0.0599999986588955,0.0399999991059303,0.00676433929994368
389,0.0203448272599228,0.119999997317791,0,0.0262519054797993
391,0,0,0,0
392,0,0,0,0
393,0,0,0,0
394,0,0,0,0
395,0,0,0,0
396,0,0,0,0
397,0,0,0,0
398,0.980000019073486,0.980000019073486,0.980000019073486,0
399,0.961074585490508,0.970000028610229,0.949999988079071,0.00540560702287402
400,0.961283979111148,0.980000019073486,0.939999997615814,0.00822907581966564
401,0.980000019073486,0.980000019073486,0.980000019073486,0
402,0.872523173278564,0.980000019073486,0.46000000834465,0.0543368767406754
403,0.973859275781066,0.980000019073486,0.970000028610229,0.00486904673859223
404,0.895248664987279,0.920000016689301,0.829999983310699,0.0186310692403102
405,0.962662047901718,0.970000028610229,0.949999988079071,0.00586583256219941
406,0.937522983970622,0.980000019073486,0.910000026226044,0.010319908808898
407,0.980000019073486,0.980000019073486,0.980000019073486,0
408,0.980000019073486,0.980000019073486,0.980000019073486,0
409,0.976644501521798,0.980000019073486,0.970000028610229,0.00472228876494594
410,0.969997328083611,0.970000028610229,0.959999978542328,0.00016433320234697
411,0.976997972756136,0.980000019073486,0.970000028610229,0.00458405224856408
412,0.952863829367463,0.970000028610229,0.889999985694885,0.0140272496221774
413,0.933845889119424,0.959999978542328,0.910000026226044,0.0134892493775853
414,0.980000019073486,0.980000019073486,0.980000019073486,0
415,0.980000019073486,0.980000019073486,0.980000019073486,0
416,0.119999997317791,0.119999997317791,0.119999997317791,0
417,0.123333329955737,0.129999995231628,0.119999997317791,0.00577350148744974
419,0.119999997317791,0.119999997317791,0.119999997317791,0
421,0.119999997317791,0.119999997317791,0.119999997317791,0
429,0,0,0,0
430,0,0,0,0
431,0,0,0,0
432,0,0,0,0
433,0,0,0,0
434,0,0,0,0
435,0,0,0,0
436,0,0,0,0
437,0,0,0,0
438,0,0,0,0
439,0,0,0,0
440,0,0,0,0
441,0,0,0,0
442,0,0,0,0
443,0,0,0,0
444,0,0,0,0
445,0,0,0,0
446,0,0,0,0
447,0,0,0,0
448,0,0,0,0
449,0,0,0,0
450,0,0,0,0
451,0,0,0,0
452,0,0,0,0
453,0,0,0,0
454,0,0,0,0
455,0,0,0,0
456,0,0,0,0
457,0,0,0,0
458,0,0,0,0
459,0,0,0,0
460,0,0,0,0
461,0,0,0,0
462,0,0,0,0
463,0,0,0,0
464,0,0,0,0
465,0.169473685716328,0.170000001788139,0.159999996423721,0.00229415856938752
468,0,0,0,0
469,0,0,0,0
470,0.000200721691499087,0.0199999995529652,0,0.00141050542040688
471,1.47538319781681e-07,0.00999999977648258,0,3.84107167967408e-05
472,0.00857142837984221,0.00999999977648258,0,0.00377964464561063
473,0,0,0,0
474,1.86525400590961e-07,0.00999999977648258,0,4.31885860409661e-05
475,0.0101895631450656,0.0700000002980232,0,0.00427364195423636
476,0.000594814801519668,0.00999999977648258,0,0.00236532400753717
477,0,0,0,0
478,0,0,0,0
479,0,0,0,0
480,0,0,0,0
481,0,0,0,0
482,0,0,0,0
483,0,0,0,0
484,0,0,0,0
485,0,0,0,0
486,0,0,0,0
487,0,0,0,0
488,0,0,0,0
489,0,0,0,0
490,0,0,0,0
491,0,0,0,0
492,0,0,0,0
493,0,0,0,0
494,0,0,0,0
495,0,0,0,0
496,0.0138028171700491,0.980000019073486,0,0.116304604766604
497,0,0,0,0
498,0,0,0,0
499,0,0,0,0
500,0,0,0,0
501,0,0,0,0
502,0,0,0,0
503,0,0,0,0
504,0,0,0,0
505,0,0,0,0
506,0,0,0,0
507,0,0,0,0
508,0.0127272729749803,0.980000019073486,0,0.111681367104071
509,0,0,0,0
510,0,0,0,0
511,0,0,0,NA
512,0,0,0,0
513,0,0,0,0
514,0,0,0,0
515,0,0,0,0
516,0,0,0,0
517,0,0,0,0
518,0,0,0,0
519,0,0,0,0
520,0,0,0,0
521,0,0,0,0
522,0,0,0,0
523,0,0,0,0
524,0,0,0,0
525,0,0,0,0
526,0,0,0,0
527,0,0,0,0
528,0,0,0,0
529,0,0,0,0
530,0,0,0,0
531,0,0,0,0
532,0,0,0,0
533,0,0,0,0
534,0.980000019073486,0.980000019073486,0.980000019073486,NA
535,0,0,0,0
536,0,0,0,0
537,0,0,0,0
538,0,0,0,0
539,0,0,0,0
540,0,0,0,NA
541,0,0,0,0
542,0,0,0,0
543,0,0,0,0
544,0,0,0,0
545,0,0,0,NA
546,0,0,0,0
547,0,0,0,0
548,0,0,0,0
549,0,0,0,0
550,0,0,0,0
551,0,0,0,0
552,0,0,0,0
553,0,0,0,0
554,0,0,0,0
555,0,0,0,0
556,0,0,0,0
557,0,0,0,0
558,0,0,0,0
559,0,0,0,0
560,0,0,0,0
561,0.137305295503933,0.270000010728836,0.0500000007450581,0.0608979075774983
562,0.620000004768372,0.620000004768372,0.620000004768372,0
563,0.615000009536743,0.620000004768372,0.610000014305115,0.00707106106836971
564,0.581428553376879,0.589999973773956,0.579999983310699,0.00377964112554217
565,0.620000004768372,0.620000004768372,0.620000004768372,0
566,0.613333344459534,0.620000004768372,0.610000014305115,0.00577349718585502
567,0.620000004768372,0.620000004768372,0.620000004768372,0
568,0.610000014305115,0.610000014305115,0.610000014305115,0
569,0.613333344459534,0.620000004768372,0.610000014305115,0.00577349718585502
570,0.625,0.629999995231628,0.620000004768372,0.00707106106836971
571,0.502173926519311,0.629999995231628,0,0.235699285276304
572,0.605000019073486,0.620000004768372,0.600000023841858,0.00999999046325684
573,0.615000009536743,0.629999995231628,0.600000023841858,0.00971824389002706
575,0.00113114751570049,0.00999999977648258,0,0.00316992950643907
576,5.96658697880822e-06,0.00999999977648258,0,0.000244265978913246
577,0.00634820853189655,0.00999999977648258,0,0.00481631730877608
