"zone","mean","max","min","sd"
124,213,213,213,1.99261405013288e-14
341,262,262,262,3.26159434100599e-14
342,262,262,262,3.41636386117228e-14
343,262,262,262,3.75983874940941e-14
344,262,262,262,3.20640125902268e-14
345,262,262,262,3.09416380987282e-14
346,262,262,262,3.70859628264622e-14
347,262,262,262,3.03040866950511e-14
348,262,262,262,3.82217642106038e-14
349,262,262,262,3.67254188696931e-14
350,262,262,262,3.44743077029718e-14
351,262,262,262,3.32650947700957e-14
352,262,262,262,3.33994678040314e-14
353,262,262,262,3.07523908304836e-14
354,262,262,262,3.28185631809462e-14
355,262,262,262,3.12166802908266e-14
356,262,262,262,3.38345839866702e-14
357,262,262,262,3.20761649547299e-14
358,262,262,262,2.98609658514965e-14
359,262,262,262,2.75731082452163e-14
360,262,262,262,3.00824413822138e-14
361,262,262,262,2.72001528240517e-14
362,262,262,262,2.76930891569175e-14
363,262,262,262,3.82966355148946e-14
364,262,262,262,2.7173246853438e-14
365,262,262,262,3.42806589142711e-14
366,262,262,262,3.30677585828798e-14
367,262,262,262,3.44390201689734e-14
368,262,262,262,3.72429947949032e-14
369,262,262,262,3.25484469564042e-14
370,262,262,262,3.4013497410941e-14
371,262,262,262,3.54956676537678e-14
372,262,262,262,3.78543992799239e-14
373,262,262,262,2.96218803115306e-14
374,262,262,262,2.9588608708315e-14
375,262,262,262,3.35169086935205e-14
376,262,262,262,3.31979811404658e-14
377,262,262,262,3.53963883456594e-14
378,262,262,262,3.7421619295919e-14
379,262,262,262,2.90738042810016e-14
380,262,262,262,2.8538912853128e-14
381,262,262,262,3.17816886908528e-14
382,262,262,262,2.82139041812676e-14
383,262,262,262,3.21065024695294e-14
384,262,262,262,3.38930112381418e-14
385,262,262,262,3.26540580689313e-14
386,262,262,262,3.32687702681203e-14
387,262,262,262,3.53500411234664e-14
388,262,262,262,3.48322663688953e-14
398,213,213,213,2.0977370962124e-14
399,213,213,213,2.12379396217675e-14
400,213,213,213,1.97294223382622e-14
401,213,213,213,2.11650242324723e-14
402,213,213,213,1.99182423606166e-14
403,213,213,213,2.09502126377975e-14
404,213,213,213,2.08156823192872e-14
405,213,213,213,2.07317906406481e-14
406,213,213,213,2.05858686642373e-14
407,213,213,213,2.04377448472384e-14
408,213,213,213,2.19584005317713e-14
409,213,213,213,2.00398842029263e-14
410,213,213,213,1.94954832495103e-14
411,213,213,213,2.03324855677169e-14
412,213,213,213,1.94573290361023e-14
413,213,213,213,2.09221136221115e-14
414,213,213,213,2.07553960090553e-14
415,213,213,213,2.02377249279346e-14
609,213,213,213,2.13375341419612e-14
610,213,213,213,2.02716325530157e-14
611,213,213,213,2.21117092341814e-14
612,213,213,213,2.18209078658037e-14
613,213,213,213,2.16436248749339e-14
614,213,213,213,2.20813746849376e-14
615,213,213,213,2.06036781459047e-14
616,213,213,213,2.20153614589402e-14
617,213,213,213,2.27373675443232e-14
618,213,213,213,2.25416993917103e-14
619,213,213,213,2.05996906171533e-14
620,213,213,213,2.12780465584816e-14
654,213,213,213,1.89189003871347e-14
655,213,213,213,1.95674426555593e-14
656,213,213,213,1.92790441825986e-14
657,213,213,213,1.96082209602288e-14
658,213,213,213,1.82246665727685e-14
659,213,213,213,1.92622374243529e-14
660,213,213,213,1.87526142354148e-14
661,213,213,213,1.80094796267248e-14
662,213,213,213,2.00971834711523e-14
663,213,213,213,1.88883740286796e-14
743,213,213,213,1.9561161980496e-14
744,213,213,213,1.73301328806079e-14
