"zone","mean","max","min","sd"
341,4.42942216583442e-05,0.0582000017166138,0,0.00160501623863498
342,0,0,0,0
343,0,0,0,0
344,0,0,0,0
345,0,0,0,0
346,0,0,0,0
347,0,0,0,0
348,0,0,0,0
349,0,0,0,0
350,0,0,0,0
351,0,0,0,0
352,0,0,0,0
353,0,0,0,0
354,0,0,0,0
355,0,0,0,0
356,0,0,0,0
357,0,0,0,0
358,0,0,0,0
359,0,0,0,0
360,0,0,0,0
361,0,0,0,0
362,0,0,0,0
363,0,0,0,0
364,0,0,0,0
365,0,0,0,0
366,0,0,0,0
367,0,0,0,0
368,0,0,0,0
369,0,0,0,0
370,0,0,0,0
371,0,0,0,0
372,0,0,0,0
373,0,0,0,0
374,0,0,0,0
375,0,0,0,0
376,0,0,0,0
377,0,0,0,0
378,0,0,0,0
379,0,0,0,0
380,0,0,0,0
381,0.000104662033112264,0.372399985790253,0,0.00537341730496726
382,0,0,0,0
383,2.78325422010192e-07,0.00120000005699694,0,1.82743477383837e-05
384,0,0,0,0
385,0,0,0,0
386,0,0,0,0
387,0,0,0,0
388,0,0,0,0
398,0.325599998235703,0.325599998235703,0.325599998235703,0
399,0.325599998235703,0.325599998235703,0.325599998235703,0
400,0.325599998235703,0.325599998235703,0.325599998235703,0
401,0.31797858988735,0.325599998235703,0.155900001525879,0.0351308444302189
402,0.325443808769713,0.572700023651123,0.0764999985694885,0.013334202707062
403,0.325599998235703,0.325599998235703,0.325599998235703,0
404,0.325466789679731,0.325599998235703,0.0764999985694885,0.00575963337508419
405,0.325599998235703,0.325599998235703,0.325599998235703,0
406,0.325599998235703,0.325599998235703,0.325599998235703,0
407,0.325599998235703,0.325599998235703,0.325599998235703,0
408,0.325599998235703,0.325599998235703,0.325599998235703,0
409,0.32540066386212,0.325599998235703,0.155900001525879,0.00581325418594415
410,0.325004238052816,0.325599998235703,0.155900001525879,0.0100385648726609
411,0.325469593525116,0.325599998235703,0.155900001525879,0.00470301383445761
412,0.325915186700661,0.572700023651123,0.155900001525879,0.0103560477453274
413,0.325339433382495,0.325599998235703,0.0764999985694885,0.00805365919097319
414,0.324327103613263,0.325599998235703,0.155900001525879,0.0146445578028381
415,0.325501849018404,0.325599998235703,0.155900001525879,0.00408116672689289
496,0.325599998235703,0.325599998235703,0.325599998235703,NA
508,0.325599998235703,0.325599998235703,0.325599998235703,NA
534,0.155900001525879,0.155900001525879,0.155900001525879,NA
562,NA,-Inf,Inf,NA
563,NA,-Inf,Inf,NA
564,NA,-Inf,Inf,NA
565,NA,-Inf,Inf,NA
566,NA,-Inf,Inf,NA
567,NA,-Inf,Inf,NA
568,NA,-Inf,Inf,NA
569,NA,-Inf,Inf,NA
570,NA,-Inf,Inf,NA
571,NA,-Inf,Inf,NA
572,NA,-Inf,Inf,NA
573,NA,-Inf,Inf,NA
578,0.325599998235703,0.325599998235703,0.325599998235703,NA
609,0.0722879693086725,0.372399985790253,0.0546999983489513,0.0206135836066542
610,0.0709572014442322,0.0991000011563301,0.0709000006318092,0.0012694192817899
611,0.0709000006318092,0.0709000006318092,0.0709000006318092,0
612,0.0708069735473301,0.0709000006318092,0.0546999983489513,0.00122458774433861
613,0.0708266974540587,0.0709000006318092,0.0546999983489513,0.00108808271671716
614,0.0709000006318092,0.0709000006318092,0.0709000006318092,0
615,0.0709000006318092,0.0709000006318092,0.0709000006318092,0
616,0.0709000006318092,0.0709000006318092,0.0709000006318092,0
617,0.0709000006318092,0.0709000006318092,0.0709000006318092,0
618,0.0709000006318092,0.0709000006318092,0.0709000006318092,0
619,0.0704846159578898,0.0709000006318092,0.0546999983489513,0.00256884983073619
620,0.0709000006318092,0.0709000006318092,0.0709000006318092,0
654,0.000623374536921377,0.0303000006824732,9.99999974737875e-05,0.000847567244479556
655,0.000832528985104556,0.0764999985694885,0.000600000028498471,0.00369251409427037
656,0.000600000028498471,0.000600000028498471,0.000600000028498471,0
657,0.000598523468790757,0.000600000028498471,9.99999974737875e-05,2.71336609777969e-05
658,0.000597518638766338,0.000600000028498471,9.99999974737875e-05,3.51796622670266e-05
659,0.000600000028498471,0.000600000028498471,0.000600000028498471,0
660,0.000655000027441217,0.0764999985694885,0.000600000028498471,0.00204260389662711
661,0.000823308304092266,0.0303000006824732,0.000600000028498471,0.00257045298542909
662,0.000595238123441093,0.000600000028498471,9.99999974737875e-05,4.87950066751257e-05
663,0.000599287270079334,0.000600000028498471,9.99999974737875e-05,1.88712754794454e-05
741,0.325599998235703,0.325599998235703,0.325599998235703,NA
806,0.325599998235703,0.325599998235703,0.325599998235703,NA
815,0.0632446780628873,0.0632999986410141,0.0103000001981854,0.00112385499807482
816,0.0632999986410141,0.0632999986410141,0.0632999986410141,0
817,0.0633320251729696,0.156700000166893,0.0103000001981854,0.00443187083170178
818,0.0629609418129762,0.0632999986410141,0.0104000000283122,0.00376088827332926
819,0.0632999986410141,0.0632999986410141,0.0632999986410141,0
820,0.0631465065804502,0.0632999986410141,0.0103000001981854,0.00269323838622185
821,0.0632156849126605,0.0632999986410141,0.0546999983489513,0.000847862165757405
822,0.0634407281286811,0.155900001525879,0.0632999986410141,0.00360992395542437
823,0.0632873358657449,0.0632999986410141,0.0491999983787537,0.000422451092626579
824,0.0632636196211661,0.0632999986410141,0.0546999983489513,0.000558390489144002
830,0.325599998235703,0.325599998235703,0.325599998235703,0
850,0.240749999880791,0.325599998235703,0.155900001525879,0.119996018440851
853,0.0103000364562819,0.0104000000283122,0.0103000001981854,1.90415427158253e-06
854,0.0106695433487633,0.155900001525879,0.0103000001981854,0.00733056037308921
855,0.0108912751066697,0.155900001525879,0.0103000001981854,0.00778585415618222
856,0.0103115490774173,0.060199998319149,0.00970000028610229,0.000783334443029781
857,0.0108643412886029,0.155900001525879,0.0103000001981854,0.00905292595052166
858,0.0114796768785745,0.156700000166893,0.0103000001981854,0.0130756431473988
859,0.010526183840967,0.325599998235703,0.0103000001981854,0.00844486246928565
860,0.0111771086399185,0.155900001525879,0.0103000001981854,0.0112686586807977
861,0.0103000001981854,0.0103000001981854,0.0103000001981854,0
862,0.0103000001981854,0.0103000001981854,0.0103000001981854,0
863,0.0112739132505446,0.155900001525879,0.0103000001981854,0.0118721318370717
864,0.0104254633617595,0.155900001525879,0.0103000001981854,0.00427312097743491
865,0.0103000401023475,0.0104000000283122,0.0103000001981854,1.99760091798299e-06
866,0.0103001346065593,0.0104000000283122,0.0103000001981854,3.66493869938506e-06
867,0.0108065745925408,0.156700000166893,0.0103000001981854,0.00860181465484488
868,0.0102981500178811,0.0104000000283122,0.00970000028610229,3.3745920172104e-05
870,0.0103970678130935,0.0104000000283122,0.00970000028610229,4.52186981180477e-05
871,0.325599998235703,0.325599998235703,0.325599998235703,0
873,0.0104000000283122,0.0104000000283122,0.0104000000283122,0
875,0.0104000000283122,0.0104000000283122,0.0104000000283122,0
876,0.0104000000283122,0.0104000000283122,0.0104000000283122,0
877,0.155900001525879,0.155900001525879,0.155900001525879,NA
881,0.0103996294298065,0.0104000000283122,0.0103000001981854,6.07732266235769e-06
886,0.0632999986410141,0.0632999986410141,0.0632999986410141,NA
889,0.325599998235703,0.325599998235703,0.325599998235703,NA
962,0,0,0,NA
967,0,0,0,0
968,0,0,0,0
969,0,0,0,0
970,0.156694520724146,0.156700000166893,0.155900001525879,6.60377915023518e-05
971,0.156697327140408,0.156700000166893,0.155900001525879,4.61767288236415e-05
972,0.156606603119293,0.156700000166893,0.0491999983787537,0.00316862474648818
973,0.157999230921268,0.325599998235703,0.156700000166893,0.0147677889584792
974,0.156483484554027,0.156700000166893,0.0491999983787537,0.0048220292031935
975,0.156599519563047,0.156700000166893,0.0103000001981854,0.00370598308747593
976,0.156338333499928,0.156700000166893,0.0491999983787537,0.00619876754635076
977,0.15669484996105,0.156700000166893,0.155900001525879,6.3998674903186e-05
978,0.156688370871082,0.156700000166893,0.155900001525879,9.57796262092952e-05
979,0.156453360576441,0.156700000166893,0.0491999983787537,0.00485218833365198
995,0.240749999880791,0.325599998235703,0.155900001525879,0.119996018440851
1024,0.156700000166893,0.156700000166893,0.156700000166893,NA
1025,NA,-Inf,Inf,NA
1026,NA,-Inf,Inf,NA
1027,NA,-Inf,Inf,NA
1028,NA,-Inf,Inf,NA
1029,NA,-Inf,Inf,NA
1039,0.032600000500679,0.032600000500679,0.032600000500679,0
1040,0.0330619167614482,0.606299996376038,0.032600000500679,0.0162788622728389
1041,0.0326184163441752,0.0582000017166138,0.0291000008583069,0.000820643902549306
1043,0.032600000500679,0.032600000500679,0.032600000500679,0
1044,0.032600000500679,0.032600000500679,0.032600000500679,0
1045,0.032600000500679,0.032600000500679,0.032600000500679,0
1046,0.0330679883226389,0.186100006103516,0.032600000500679,0.00847561993560937
1047,0.032600000500679,0.032600000500679,0.032600000500679,0
1048,0.032770751286939,0.0991000011563301,0.032600000500679,0.00293270281395804
1049,0.032600000500679,0.032600000500679,0.032600000500679,0
1050,0.0359829207343503,0.186100006103516,0.032600000500679,0.022566279760196
1051,0.032600000500679,0.032600000500679,0.032600000500679,0
1053,0.0331858815651194,0.186100006103516,0.032600000500679,0.00912161351158621
1066,0.156057411440772,0.325599998235703,0.155900001525879,0.00516619671682684
1067,0.156694551916056,0.325599998235703,0.155900001525879,0.011573264360701
