"zone","mean","max","min","sd"
341,3.88563670277697e-05,0.0510549806058407,0,0.00140797372025122
342,0,0,0,0
343,0,0,0,0
344,0,0,0,0
345,0,0,0,0
346,0,0,0,0
347,0,0,0,0
348,0,0,0,0
349,0,0,0,0
350,0,0,0,0
351,0,0,0,0
352,0,0,0,0
353,0,0,0,0
354,0,0,0,0
355,0,0,0,0
356,0,0,0,0
357,0,0,0,0
358,0,0,0,0
359,0,0,0,0
360,0,0,0,0
361,0,0,0,0
362,0,0,0,0
363,0,0,0,0
364,0,0,0,0
365,0,0,0,0
366,0,0,0,0
367,0,0,0,0
368,0,0,0,0
369,0,0,0,0
370,0,0,0,0
371,0,0,0,0
372,0,0,0,0
373,0,0,0,0
374,0,0,0,0
375,0,0,0,0
376,0,0,0,0
377,0,0,0,0
378,0,0,0,0
379,0,0,0,0
380,0,0,0,0
381,2.96414684175063e-05,0.0510549806058407,0,0.00120365520878141
382,0,0,0,0
383,0,0,0,0
384,0,0,0,0
385,0,0,0,0
386,0,0,0,0
387,0,0,0,0
388,0,0,0,0
398,0.0286107398569584,0.0286107398569584,0.0286107398569584,0
399,0.0286107398569584,0.0286107398569584,0.0286107398569584,0
400,0.0286107398569584,0.0286107398569584,0.0286107398569584,0
401,0.027335725159345,0.0286107398569584,0,0.00587835220839852
402,0.029510931485744,0.361416786909103,0.0286107398569584,0.0167967823588913
403,0.0286107398569584,0.0286107398569584,0.0286107398569584,0
404,0.0287887110051146,0.361416786909103,0.0286107398569584,0.00769506551023637
405,0.0286107398569584,0.0286107398569584,0.0286107398569584,0
406,0.0286107398569584,0.0286107398569584,0.0286107398569584,0
407,0.0286107398569584,0.0286107398569584,0.0286107398569584,0
408,0.0286107398569584,0.0286107398569584,0.0286107398569584,0
409,0.0285786427526017,0.0286107398569584,0.00128540501464158,0.000936058457479205
410,0.028514809704933,0.0286107398569584,0.00128540501464158,0.00161642399410782
411,0.0285897419049791,0.0286107398569584,0.00128540501464158,0.000757285976936989
412,0.029037036432974,0.308897823095322,0.00128540501464158,0.0110822665280245
413,0.0289588633371385,0.361416786909103,0.0286107398569584,0.0107599617954415
414,0.0284057765543566,0.0286107398569584,0.00128540501464158,0.00235808752704029
415,0.0285949357303868,0.0286107398569584,0.00128540501464158,0.000657155271195209
496,0.0286107398569584,0.0286107398569584,0.0286107398569584,NA
508,0.0286107398569584,0.0286107398569584,0.0286107398569584,NA
534,0.00128540501464158,0.00128540501464158,0.00128540501464158,NA
562,NA,-Inf,Inf,NA
563,NA,-Inf,Inf,NA
564,NA,-Inf,Inf,NA
565,NA,-Inf,Inf,NA
566,NA,-Inf,Inf,NA
567,NA,-Inf,Inf,NA
568,NA,-Inf,Inf,NA
569,NA,-Inf,Inf,NA
570,NA,-Inf,Inf,NA
571,NA,-Inf,Inf,NA
572,NA,-Inf,Inf,NA
573,NA,-Inf,Inf,NA
578,0.0286107398569584,0.0286107398569584,0.0286107398569584,NA
609,0.0594636432855623,0.0597941316664219,0.00512304296717048,0.00416973250443419
610,0.0596825329730435,0.0597941316664219,0.00477597583085299,0.00247663498465057
611,0.0597941316664219,0.0597941316664219,0.0597941316664219,0
612,0.0594801877608478,0.0597941316664219,0.00512304296717048,0.00413268739237125
613,0.0595467511745701,0.0597941316664219,0.00512304296717048,0.0036720159466096
614,0.0597941316664219,0.0597941316664219,0.0597941316664219,0
615,0.0597941316664219,0.0597941316664219,0.0597941316664219,0
616,0.0597941316664219,0.0597941316664219,0.0597941316664219,0
617,0.0597941316664219,0.0597941316664219,0.0597941316664219,0
618,0.0597941316664219,0.0597941316664219,0.0597941316664219,0
619,0.0583923088792616,0.0597941316664219,0.00512304296717048,0.00866924673830721
620,0.0597941316664219,0.0597941316664219,0.0597941316664219,0
654,0.142134917857237,0.78434157371521,0.140822425484657,0.0275441778862777
655,0.142187907615799,0.465306013822556,0.140822425484657,0.0199337278072487
656,0.140822425484657,0.140822425484657,0.140822425484657,0
657,0.142722814257579,0.78434157371521,0.140822425484657,0.0349220586347253
