"zone","mean","max","min","sd"
471,-1.7e+308,-1.7e+308,-1.7e+308,0
473,-1.7e+308,-1.7e+308,-1.7e+308,0
476,-1.7e+308,-1.7e+308,-1.7e+308,NA
477,-1.7e+308,-1.7e+308,-1.7e+308,0
575,-1.7e+308,-1.7e+308,-1.7e+308,0
576,-1.69391408114558e+307,0.578849582422638,-1.7e+308,Inf
577,-4.46637335009428e+307,0.168113123780726,-1.7e+308,Inf
578,-1.7e+308,-1.7e+308,-1.7e+308,0
579,-1.68075834748161e+308,0.160285707057696,-1.7e+308,Inf
580,0.0740595527061612,0.291533898629033,0.0182582075068596,0.0362280372760473
622,-1.7e+308,-1.7e+308,-1.7e+308,0
623,-1.7e+308,-1.7e+308,-1.7e+308,0
624,-1.7e+308,-1.7e+308,-1.7e+308,0
625,-1.7e+308,-1.7e+308,-1.7e+308,0
626,-1.7e+308,-1.7e+308,-1.7e+308,0
627,-1.7e+308,-1.7e+308,-1.7e+308,0
628,-1.7e+308,-1.7e+308,-1.7e+308,0
629,-1.7e+308,-1.7e+308,-1.7e+308,0
630,-1.7e+308,-1.7e+308,-1.7e+308,0
631,-1.7e+308,-1.7e+308,-1.7e+308,0
632,-1.7e+308,-1.7e+308,-1.7e+308,0
633,-1.7e+308,-1.7e+308,-1.7e+308,0
634,-1.7e+308,-1.7e+308,-1.7e+308,0
635,-1.7e+308,-1.7e+308,-1.7e+308,0
636,-1.7e+308,-1.7e+308,-1.7e+308,0
637,-1.7e+308,-1.7e+308,-1.7e+308,0
638,-1.7e+308,-1.7e+308,-1.7e+308,0
639,-1.7e+308,-1.7e+308,-1.7e+308,0
640,-1.7e+308,-1.7e+308,-1.7e+308,0
641,-1.7e+308,-1.7e+308,-1.7e+308,0
698,-3.75e+306,0.841213074881278,-1.7e+308,Inf
699,-4.25e+307,0.592820015453671,-1.7e+308,Inf
700,-8.09523809523809e+306,0.808879740165017,-1.7e+308,Inf
701,-1.13333333333333e+307,0.865202092643975,-1.7e+308,Inf
791,0.186332237801029,0.533539088819436,0.0393723638422782,0.112685115677096
792,0.273306382207894,0.815264621712902,0.0368230687593341,0.14890884000068
793,0.260837180763509,0.785795488888925,0.048331549437277,0.131833360676883
794,0.317843367486629,0.848968808211952,0.0525679730737289,0.183876396682281
795,0.324721220054218,0.867227157228372,0.0425553599117102,0.213812220751987
796,0.431972385937884,0.855378436857556,0.0417295221826547,0.203752878216202
797,-3.02222222222222e+306,0.866412105028703,-1.7e+308,Inf
798,-1.93181818181818e+306,0.323418776486148,-1.7e+308,Inf
799,-1.43471337579618e+307,0.88767298133047,-1.7e+308,Inf
800,-7.84615384615385e+307,0.266157253728969,-1.7e+308,Inf
801,0.457144318394755,0.762597898022044,0.090476345020482,0.138382332678541
802,-4.2e+307,0.881507746242034,-1.7e+308,Inf
803,0.444463285351286,0.758941698953227,0.181968179096656,0.11158194491123
804,0.403194114120589,0.740884421308345,0.0840067492680855,0.139028238018495
805,0.386184047811425,0.731578100227619,0.129403659244886,0.185049938355257
806,0.0573426120561295,0.172622018542858,0.0326814079924405,0.0330262737778349
807,0.482182371680047,0.821429726741317,0.117572685438067,0.114098214605285
808,0.162076655360119,0.358665055727412,0.0552471435910624,0.0538776153318624
809,0.495712404226542,0.854625130496288,0.0515838531195584,0.209807558220824
810,0.536230156176668,0.766434775876408,0.242277343330611,0.10886721584794
811,-3.36633663366337e+305,0.770178846264454,-1.7e+308,Inf
812,0.547699217446566,0.817666668446291,0.179954287447629,0.124433359497296
813,0.200677557692976,0.349562905203821,0.0979560497011274,0.0538373503572919
814,0.1394300132695,0.294960326893247,0.0445798139610922,0.0642841502511647
898,-1.7e+308,-1.7e+308,-1.7e+308,0
900,-1.7e+308,-1.7e+308,-1.7e+308,0
901,-1.7e+308,-1.7e+308,-1.7e+308,0
902,-1.7e+308,-1.7e+308,-1.7e+308,0
903,-1.7e+308,-1.7e+308,-1.7e+308,0
904,-1.7e+308,-1.7e+308,-1.7e+308,0
905,-1.7e+308,-1.7e+308,-1.7e+308,0
906,-1.7e+308,-1.7e+308,-1.7e+308,0
907,-1.7e+308,-1.7e+308,-1.7e+308,NA
909,-1.7e+308,-1.7e+308,-1.7e+308,0
910,-1.7e+308,-1.7e+308,-1.7e+308,0
911,-1.7e+308,-1.7e+308,-1.7e+308,0
912,-1.7e+308,-1.7e+308,-1.7e+308,0
913,-1.7e+308,-1.7e+308,-1.7e+308,0
914,-1.7e+308,-1.7e+308,-1.7e+308,0
915,-1.7e+308,-1.7e+308,-1.7e+308,0
916,-1.7e+308,-1.7e+308,-1.7e+308,0
917,-1.7e+308,-1.7e+308,-1.7e+308,0
918,-1.7e+308,-1.7e+308,-1.7e+308,NA
