"zone","mean","max","min","sd"
341,NA,-Inf,Inf,NA
342,NA,-Inf,Inf,NA
343,NA,-Inf,Inf,NA
344,NA,-Inf,Inf,NA
345,NA,-Inf,Inf,NA
346,NA,-Inf,Inf,NA
347,NA,-Inf,Inf,NA
348,NA,-Inf,Inf,NA
349,NA,-Inf,Inf,NA
350,NA,-Inf,Inf,NA
351,NA,-Inf,Inf,NA
352,NA,-Inf,Inf,NA
353,NA,-Inf,Inf,NA
354,NA,-Inf,Inf,NA
355,NA,-Inf,Inf,NA
356,NA,-Inf,Inf,NA
357,NA,-Inf,Inf,NA
358,NA,-Inf,Inf,NA
359,NA,-Inf,Inf,NA
360,NA,-Inf,Inf,NA
361,NA,-Inf,Inf,NA
362,NA,-Inf,Inf,NA
363,NA,-Inf,Inf,NA
364,NA,-Inf,Inf,NA
365,NA,-Inf,Inf,NA
366,NA,-Inf,Inf,NA
367,NA,-Inf,Inf,NA
368,NA,-Inf,Inf,NA
369,NA,-Inf,Inf,NA
370,NA,-Inf,Inf,NA
371,NA,-Inf,Inf,NA
372,NA,-Inf,Inf,NA
373,NA,-Inf,Inf,NA
374,NA,-Inf,Inf,NA
375,NA,-Inf,Inf,NA
376,NA,-Inf,Inf,NA
377,NA,-Inf,Inf,NA
378,NA,-Inf,Inf,NA
379,NA,-Inf,Inf,NA
380,NA,-Inf,Inf,NA
381,NA,-Inf,Inf,NA
382,NA,-Inf,Inf,NA
383,NA,-Inf,Inf,NA
384,NA,-Inf,Inf,NA
385,NA,-Inf,Inf,NA
386,NA,-Inf,Inf,NA
387,NA,-Inf,Inf,NA
388,NA,-Inf,Inf,NA
398,0.346953752671064,0.500061182632762,0.175603407134232,0.0550350734769807
399,0.316782633950723,0.517149861533224,0.157258717452826,0.0670504116447201
400,0.246170667179513,0.441134700466185,0.118688763498957,0.0525386982910601
401,0.420679748106746,0.530049875704043,0.240149909216133,0.0429821997944364
402,0.297090837712851,0.473873187617854,0.153610310250539,0.0552410070837346
403,0.347002202791434,0.540580044579268,0.183692663911117,0.060442918053641
404,0.364869941309547,0.566688364764064,0.205338836282697,0.0673198217281966
405,0.287481750849374,0.44797477694881,0.140418760088313,0.0519863838426041
406,0.394322019763089,0.576297072517064,0.195944767383921,0.0609876643002369
407,0.377291748411007,0.501881933324263,0.243958997860035,0.0346792236456422
408,0.330051300013885,0.427752079363085,0.229177174262839,0.0461293208006743
409,0.3287869161244,0.561583502407116,0.12210471971555,0.0776601048973567
410,0.359206020282259,0.544848971525484,0.140855316206235,0.0590743390275268
411,0.267498364679179,0.39943762489633,0.132089267621635,0.048161505009009
412,0.342616645356747,0.574417578527818,0.148289536289944,0.0713119263403203
413,0.333153329461565,0.594441425601396,0.089811470160108,0.0884773277322036
414,0.354235757034765,0.456931372291819,0.186099164594219,0.0377204147563291
415,0.370210336435842,0.463991234914742,0.241624037449936,0.0303412738994457
496,0.449391778186463,0.449391778186463,0.449391778186463,NA
508,0.447583646601396,0.447583646601396,0.447583646601396,NA
534,0.386703678558668,0.386703678558668,0.386703678558668,NA
562,NA,-Inf,Inf,NA
563,NA,-Inf,Inf,NA
564,NA,-Inf,Inf,NA
565,NA,-Inf,Inf,NA
566,NA,-Inf,Inf,NA
567,NA,-Inf,Inf,NA
568,NA,-Inf,Inf,NA
569,NA,-Inf,Inf,NA
570,NA,-Inf,Inf,NA
571,NA,-Inf,Inf,NA
572,NA,-Inf,Inf,NA
573,NA,-Inf,Inf,NA
