"zone","mean","max","min","sd"
124,0.508875221999987,0.646216651668697,0.431632425140698,0.0281687382197352
341,NA,-Inf,Inf,NA
342,NA,-Inf,Inf,NA
343,NA,-Inf,Inf,NA
344,NA,-Inf,Inf,NA
345,NA,-Inf,Inf,NA
346,NA,-Inf,Inf,NA
347,NA,-Inf,Inf,NA
348,NA,-Inf,Inf,NA
349,NA,-Inf,Inf,NA
350,NA,-Inf,Inf,NA
351,NA,-Inf,Inf,NA
352,NA,-Inf,Inf,NA
353,NA,-Inf,Inf,NA
354,NA,-Inf,Inf,NA
355,NA,-Inf,Inf,NA
356,NA,-Inf,Inf,NA
357,NA,-Inf,Inf,NA
358,NA,-Inf,Inf,NA
359,NA,-Inf,Inf,NA
360,NA,-Inf,Inf,NA
361,NA,-Inf,Inf,NA
362,NA,-Inf,Inf,NA
363,NA,-Inf,Inf,NA
364,NA,-Inf,Inf,NA
365,NA,-Inf,Inf,NA
366,NA,-Inf,Inf,NA
367,NA,-Inf,Inf,NA
368,NA,-Inf,Inf,NA
369,NA,-Inf,Inf,NA
370,NA,-Inf,Inf,NA
371,NA,-Inf,Inf,NA
372,NA,-Inf,Inf,NA
373,NA,-Inf,Inf,NA
374,NA,-Inf,Inf,NA
375,NA,-Inf,Inf,NA
376,NA,-Inf,Inf,NA
377,NA,-Inf,Inf,NA
378,NA,-Inf,Inf,NA
379,NA,-Inf,Inf,NA
380,NA,-Inf,Inf,NA
381,NA,-Inf,Inf,NA
382,NA,-Inf,Inf,NA
383,NA,-Inf,Inf,NA
384,NA,-Inf,Inf,NA
385,NA,-Inf,Inf,NA
386,NA,-Inf,Inf,NA
387,NA,-Inf,Inf,NA
388,NA,-Inf,Inf,NA
398,0.311483582973287,0.559152751544796,0.18039814704463,0.0588560949269137
399,0.346570042199655,0.577270742039687,0.168885182890114,0.076589148501647
400,0.435395668654269,0.664750117818072,0.241130601834914,0.0746943749106381
401,0.235572667751811,0.438611952574498,0.153232044124994,0.0404032939071527
402,0.37255101965347,0.581912284441483,0.218767138346946,0.0620980829762325
403,0.312589317254192,0.532645303901126,0.155732222344732,0.0671221227577908
404,0.302780817342619,0.485087353024477,0.167545389539674,0.0613089496469786
405,0.378303773524392,0.609429198159401,0.220103016943393,0.0639203611667759
406,0.269558895893642,0.509960165756839,0.13891971493179,0.0554153872434768
407,0.277320590656899,0.434621090246418,0.173844357414283,0.034890368120722
408,0.331146962536587,0.452569796962418,0.245118363703538,0.047160630425633
409,0.333406443976371,0.682272619191607,0.141826763417438,0.0791128883401315
410,0.296862973299224,0.636760876275955,0.148359597780786,0.0603353185416674
411,0.409838338796723,0.641922132830691,0.258113418412799,0.0650600034116947
412,0.319929931368254,0.677206764721092,0.1329132722466,0.0809116071453924
413,0.357056571095337,0.727104599238144,0.170499402008921,0.0899327739757223
414,0.299824615336031,0.507069675826698,0.209310570357583,0.0406627592219211
415,0.28333373709013,0.422439818060406,0.204256505578138,0.0308686129419695
609,0.387090649647446,0.568033316934781,0.196352194224972,0.0674714575111591
610,0.487646935603385,0.600371422178951,0.354549942939157,0.034136197114526
611,0.489867246368407,0.630703827912345,0.333131235620701,0.056735642595208
612,0.451526278266008,0.576322795340396,0.313926307101837,0.0473189606168637
613,0.376313989418708,0.572710191788335,0.205762752173912,0.0765349530289097
614,0.317349948580893,0.440899741718415,0.204468615121687,0.0521395012214496
615,0.461723254234115,0.57654826200453,0.329865572382347,0.0602870183297437
616,0.468396420502021,0.493780930992863,0.424302240308176,0.0248538359736465
617,0.476381951071839,0.607301096600938,0.376294798565354,0.0559100736251324
618,0.478742471977261,0.612361486400537,0.363269350128417,0.0394652627137084
619,0.449349775769494,0.646524413061219,0.3386996050931,0.0528412715327833
620,0.330516093180593,0.477507892490678,0.202070947202747,0.0530322640409201
654,0.573780544062413,0.955888211385384,0.381783053215891,0.0689635097719708
655,0.507799313563274,0.859033662408064,0.310342485244079,0.0632461445427506
656,0.531032250921008,0.737769514697058,0.313656061408604,0.0727142628924236
657,0.435077597994812,0.555122764164417,0.334798854681705,0.0510258754497044
658,0.655662172043977,0.798480774220568,0.526577597049189,0.0890442770113092
659,0.554938333910296,0.673519946724405,0.438275963113213,0.0387789422922031
660,0.494819063047638,0.939881274496882,0.240332719366071,0.103029262302328
661,0.60897180742181,0.914063414537249,0.418268633331858,0.0986661410091611
662,NA,-Inf,Inf,NA
663,NA,-Inf,Inf,NA
743,0.238995203298793,0.286765380366008,0.210544829517689,0.0159185786159399
744,0.299637078022781,0.393381713256313,0.239833379819049,0.0339659576744325
745,0.197578213275189,0.277456072361159,0.162268412423486,0.0193043457773319
746,0.197293044206663,0.32147960912821,0.15893441481527,0.0212404127850121
747,0.229848144026736,0.277215048560338,0.201793971244737,0.0196031861570642
748,0.214883852890305,0.339300213602042,0.167597388590004,0.0307439228391256
749,0.328571718615288,0.39970402433688,0.269890655808876,0.0329570644097212
750,0.410165175813934,0.464519963289291,0.350110353534502,0.0280181766185381
751,0.412122628124299,0.572999724186283,0.328039152699948,0.0751105154188402
752,0.286233206996218,0.356054259338587,0.222432342492009,0.0388476035829799
753,0.267817100772141,0.421670430080294,0.206795423528083,0.0413928985091483
754,0.40637608937466,0.509437750602807,0.320307620738036,0.0434873346748726
755,0.470713480616265,0.551026113594389,0.370030565399741,0.0487336608324301
756,0.220136849781883,0.444263138687393,0.171920765217603,0.0476784862365413
757,0.401826271740397,0.434921924731727,0.359430028630711,0.0211286437690074
758,0.235162218026814,0.29078401658793,0.202934974217705,0.0192273046800995
759,0.405537130561831,0.644283817474481,0.337583777944442,0.0528312006508184
760,0.25499564676978,0.487633311866694,0.211192051960619,0.0385423107900312
761,0.312206442947466,0.401017310786268,0.262482783890958,0.0416452285021903
762,0.488049235330192,0.579044523557918,0.45005740666818,0.0280492503847324
763,0.202911483318314,0.272055974725931,0.161560714987292,0.0217789081574192
764,0.181268411585811,0.210177043702736,0.157258926976188,0.012533957697905
765,0.256743731031039,0.366110393187762,0.205657345821356,0.0313426009519151
766,0.35823730083935,0.566936244646776,0.257278307782632,0.0561990996584081
767,0.18735538699849,0.302332175063481,0.147424293496613,0.0218016796629768
768,0.243932464462683,0.279898583612786,0.209959810162971,0.0187733255558351
769,0.28355327008313,0.360676506731355,0.241149060863704,0.0253949522001915
770,0.428961111745685,0.649779096773803,0.362303643680839,0.0457687872827276
771,0.245190766655027,0.340212184854961,0.197662605536648,0.0260507175175903
772,0.308205112144363,0.425597219884775,0.234877330100404,0.03973273121454
773,0.31180219763815,0.492611314164444,0.233286034443734,0.0435353419822515
774,0.211804563632002,0.235781369514416,0.183436981165734,0.0115394232407324
775,0.298605657317361,0.406060697031223,0.228569500229076,0.0377344304127794
776,0.257987563283418,0.323190309041718,0.184380447992013,0.0297347311737271
777,0.207297091911484,0.345378047193598,0.177505513328791,0.0313642296833745
778,0.429034215642387,0.47290260632174,0.350957266009863,0.0330798701481816
779,0.362889794700012,0.452877735999849,0.275882480452102,0.035665747768639
780,0.171655797297879,0.196397674332636,0.156811062920713,0.0113238857182399
781,0.208525187397606,0.245188955922238,0.167726084680789,0.013822121971071
782,0.197182208845901,0.28776971139752,0.156088274303027,0.0226733029896666
783,0.188914131014149,0.244005611175199,0.148462198789828,0.0148287073195033
784,0.419517149961414,0.616408097438485,0.362283688924618,0.0361781124043988
785,0.27056960219135,0.406390522646142,0.22579519846973,0.0452639873251788
786,0.216960613420439,0.286571568234049,0.184463651479679,0.0161453354164452
787,0.267972101374947,0.315516316379934,0.237016892449382,0.0197484731668434
788,0.241869814496662,0.359588590504369,0.203323950553444,0.022909554500512
789,0.206236401277999,0.413892687578665,0.174028035464935,0.0332716828856562
790,0.209813892328443,0.26703350495711,0.174536051647582,0.0183926904358558
815,0.413006131937986,0.673547805834475,0.249888418227732,0.0594455674159888
816,0.330219285300877,0.523646291692912,0.221798155457121,0.042266699784827
817,0.342544872828933,0.589013103039765,0.205144951541282,0.0651498974616036
818,0.324340308251572,0.842844204239579,0.193991895828537,0.0549701139210653
819,0.382189567274998,0.697532406762466,0.254580636334466,0.0538780238297386
820,0.283349373591197,0.564781109103915,0.132884742300819,0.0768391421860491
821,0.512176604094964,0.716760821989064,0.368445215053157,0.0559239470411129
822,0.446235469371376,0.645234305083881,0.284458684923417,0.0646933355039826
823,0.295615899716251,0.687808258806962,0.204280106715381,0.0445212331025207
824,0.334964243495901,0.635501206185866,0.18530470038236,0.0622723888073752
