"zone","mean","max","min","sd"
341,NA,-Inf,Inf,NA
342,NA,-Inf,Inf,NA
343,NA,-Inf,Inf,NA
344,NA,-Inf,Inf,NA
345,NA,-Inf,Inf,NA
346,NA,-Inf,Inf,NA
347,NA,-Inf,Inf,NA
348,NA,-Inf,Inf,NA
349,NA,-Inf,Inf,NA
350,NA,-Inf,Inf,NA
351,NA,-Inf,Inf,NA
352,NA,-Inf,Inf,NA
353,NA,-Inf,Inf,NA
354,NA,-Inf,Inf,NA
355,NA,-Inf,Inf,NA
356,NA,-Inf,Inf,NA
357,NA,-Inf,Inf,NA
358,NA,-Inf,Inf,NA
359,NA,-Inf,Inf,NA
360,NA,-Inf,Inf,NA
361,NA,-Inf,Inf,NA
362,NA,-Inf,Inf,NA
363,NA,-Inf,Inf,NA
364,NA,-Inf,Inf,NA
365,NA,-Inf,Inf,NA
366,NA,-Inf,Inf,NA
367,NA,-Inf,Inf,NA
368,NA,-Inf,Inf,NA
369,NA,-Inf,Inf,NA
370,NA,-Inf,Inf,NA
371,NA,-Inf,Inf,NA
372,NA,-Inf,Inf,NA
373,NA,-Inf,Inf,NA
374,NA,-Inf,Inf,NA
375,NA,-Inf,Inf,NA
376,NA,-Inf,Inf,NA
377,NA,-Inf,Inf,NA
378,NA,-Inf,Inf,NA
379,NA,-Inf,Inf,NA
380,NA,-Inf,Inf,NA
381,NA,-Inf,Inf,NA
382,NA,-Inf,Inf,NA
383,NA,-Inf,Inf,NA
384,NA,-Inf,Inf,NA
385,NA,-Inf,Inf,NA
386,NA,-Inf,Inf,NA
387,NA,-Inf,Inf,NA
388,NA,-Inf,Inf,NA
398,0.312508031771055,0.552059295083177,0.0957763223395892,0.0983629674838913
399,0.176858507942564,0.477134208922686,0.035533930244235,0.0831736019159835
400,0.264709781612514,0.532289134022567,0.0748720058174735,0.0912864658608937
401,0.529356930776645,0.724615552112841,0.106766528695848,0.131647054062108
402,0.0956747340609222,0.302744992190688,0.0220210165407042,0.0476162505485579
403,0.381080194857546,0.600125308737832,0.111505754961624,0.0885634988553161
404,0.0897830830532901,0.33279924608916,0.0135436480159785,0.0624016433679803
405,0.146839638995202,0.296956505660742,0.0654415899152901,0.0416374017998015
406,0.234293366694644,0.613257888939698,3.32290270443903e-05,0.145242037567925
407,0.443373223323473,0.601470633344673,0.236171614452535,0.0685736028772861
408,0.104163562698198,0.199213418970707,0.0483798777594855,0.026412242441439
409,0.295668744392217,0.758072324660147,0.116260578093664,0.1435627410902
410,0.347724483572027,0.695850598147907,0.0363257107842291,0.153163779715502
411,0.403092061419282,0.719873148073382,0.162996616056329,0.118397925335693
412,0.32753402309697,0.709541619457519,0.0898056869903289,0.123887053035189
413,0.0267527208215765,0.102509588753606,2.59852829991713e-05,0.0125007154261101
414,0.344642793393212,0.630401777291921,0.161393244830942,0.0932689795389774
415,0.401942962393854,0.60887358060687,0.167664850930744,0.0929837057893647
496,0.47897339885953,0.47897339885953,0.47897339885953,NA
508,0.242383191742212,0.242383191742212,0.242383191742212,NA
534,0.24631223515156,0.24631223515156,0.24631223515156,NA
562,NA,-Inf,Inf,NA
563,NA,-Inf,Inf,NA
564,NA,-Inf,Inf,NA
565,NA,-Inf,Inf,NA
566,NA,-Inf,Inf,NA
567,NA,-Inf,Inf,NA
568,NA,-Inf,Inf,NA
569,NA,-Inf,Inf,NA
570,NA,-Inf,Inf,NA
571,NA,-Inf,Inf,NA
572,NA,-Inf,Inf,NA
573,NA,-Inf,Inf,NA
