"zone","mean","max","min","sd"
341,NA,-Inf,Inf,NA
342,NA,-Inf,Inf,NA
343,NA,-Inf,Inf,NA
344,NA,-Inf,Inf,NA
345,NA,-Inf,Inf,NA
346,NA,-Inf,Inf,NA
347,NA,-Inf,Inf,NA
348,NA,-Inf,Inf,NA
349,NA,-Inf,Inf,NA
350,NA,-Inf,Inf,NA
351,NA,-Inf,Inf,NA
352,NA,-Inf,Inf,NA
353,NA,-Inf,Inf,NA
354,NA,-Inf,Inf,NA
355,NA,-Inf,Inf,NA
356,NA,-Inf,Inf,NA
357,NA,-Inf,Inf,NA
358,NA,-Inf,Inf,NA
359,NA,-Inf,Inf,NA
360,NA,-Inf,Inf,NA
361,NA,-Inf,Inf,NA
362,NA,-Inf,Inf,NA
363,NA,-Inf,Inf,NA
364,NA,-Inf,Inf,NA
365,NA,-Inf,Inf,NA
366,NA,-Inf,Inf,NA
367,NA,-Inf,Inf,NA
368,NA,-Inf,Inf,NA
369,NA,-Inf,Inf,NA
370,NA,-Inf,Inf,NA
371,NA,-Inf,Inf,NA
372,NA,-Inf,Inf,NA
373,NA,-Inf,Inf,NA
374,NA,-Inf,Inf,NA
375,NA,-Inf,Inf,NA
376,NA,-Inf,Inf,NA
377,NA,-Inf,Inf,NA
378,NA,-Inf,Inf,NA
379,NA,-Inf,Inf,NA
380,NA,-Inf,Inf,NA
381,NA,-Inf,Inf,NA
382,NA,-Inf,Inf,NA
383,NA,-Inf,Inf,NA
384,NA,-Inf,Inf,NA
385,NA,-Inf,Inf,NA
386,NA,-Inf,Inf,NA
387,NA,-Inf,Inf,NA
388,NA,-Inf,Inf,NA
398,0.314391068194108,0.484339778274955,0.14157569746894,0.0537324814170114
399,0.298417643083108,0.485561873461209,0.145164895857735,0.0626478136808981
400,0.218681208991447,0.421770362241812,0.09834624107183,0.0492195585063954
401,0.369152332331469,0.475684406290217,0.167335217799257,0.0423001006204413
402,0.286915989375999,0.468738713392573,0.142081006549174,0.057354046306592
403,0.306957762419668,0.513252479265901,0.151312281715518,0.0621180146094692
404,0.355413719190971,0.565163460380894,0.195356420253314,0.0692252842355952
405,0.272008061202927,0.437117117505012,0.12806944680877,0.0526064753239837
406,0.370666929368336,0.557236703803625,0.180657778710847,0.0606125130652564
407,0.331236432705922,0.461949655647163,0.200671704899085,0.0366531479414814
408,0.31892760673585,0.422664157547226,0.213532551546781,0.047522177340507
409,0.298914021813035,0.507126366471692,0.0891001054127998,0.0682297225902395
410,0.3237884609471,0.493811590334337,0.10595747482169,0.050623674520324
411,0.224169502953946,0.354263101516877,0.10628271164684,0.0411634063056572
412,0.308593241550629,0.537777079429812,0.0820924648675889,0.0737017741752317
413,0.330209293481556,0.594438393504776,0.0844897232797963,0.0890321063219807
414,0.318029973166085,0.435644254120191,0.134791976420339,0.041506671424396
415,0.328432281169614,0.441637079528595,0.205051186042718,0.0310883075144772
496,0.402907214538949,0.402907214538949,0.402907214538949,NA
508,0.4237358253309,0.4237358253309,0.4237358253309,NA
534,0.361734303042724,0.361734303042724,0.361734303042724,NA
562,NA,-Inf,Inf,NA
563,NA,-Inf,Inf,NA
564,NA,-Inf,Inf,NA
565,NA,-Inf,Inf,NA
566,NA,-Inf,Inf,NA
567,NA,-Inf,Inf,NA
568,NA,-Inf,Inf,NA
569,NA,-Inf,Inf,NA
570,NA,-Inf,Inf,NA
571,NA,-Inf,Inf,NA
572,NA,-Inf,Inf,NA
573,NA,-Inf,Inf,NA
