"zone","mean","max","min","sd"
304,NA,-Inf,Inf,NA
305,NA,-Inf,Inf,NA
306,NA,-Inf,Inf,NA
307,NA,-Inf,Inf,NA
308,NA,-Inf,Inf,NA
309,NA,-Inf,Inf,NA
310,NA,-Inf,Inf,NA
311,NA,-Inf,Inf,NA
312,NA,-Inf,Inf,NA
313,NA,-Inf,Inf,NA
314,NA,-Inf,Inf,NA
315,NA,-Inf,Inf,NA
316,NA,-Inf,Inf,NA
317,NA,-Inf,Inf,NA
318,NA,-Inf,Inf,NA
319,NA,-Inf,Inf,NA
320,NA,-Inf,Inf,NA
321,NA,-Inf,Inf,NA
322,NA,-Inf,Inf,NA
323,NA,-Inf,Inf,NA
324,NA,-Inf,Inf,NA
325,NA,-Inf,Inf,NA
326,NA,-Inf,Inf,NA
327,NA,-Inf,Inf,NA
328,NA,-Inf,Inf,NA
329,NA,-Inf,Inf,NA
330,NA,-Inf,Inf,NA
331,NA,-Inf,Inf,NA
332,NA,-Inf,Inf,NA
333,NA,-Inf,Inf,NA
334,NA,-Inf,Inf,NA
335,NA,-Inf,Inf,NA
336,NA,-Inf,Inf,NA
337,NA,-Inf,Inf,NA
338,NA,-Inf,Inf,NA
339,NA,-Inf,Inf,NA
340,NA,-Inf,Inf,NA
341,3.36567983659659e-05,0.00495082745328546,0,0.000264650849206668
342,1.19853669118891e-08,2.88180643792657e-07,1.01867930592823e-20,3.34768968088341e-08
343,4.37597393609349e-10,1.92055953363024e-08,0,2.16116294236839e-09
344,6.5219221221728e-10,3.33834400123578e-08,3.26463886463476e-31,4.46125540259064e-09
345,5.06329349396005e-08,3.71290980183403e-06,4.23715588677034e-26,3.94515603119029e-07
346,3.82403000488707e-08,2.87553530142759e-06,4.398883085762e-21,1.87225519772547e-07
347,4.61624100452068e-07,1.96308064914774e-05,0,2.06414954540136e-06
348,1.46770184736009e-08,8.00627788066777e-07,3.76405635742387e-27,6.95324426983977e-08
349,5.03647091786806e-09,1.80696201823594e-06,5.36752674496819e-24,7.75892514459715e-08
350,4.34329150779606e-09,1.51539410353507e-07,9.79549925316714e-27,1.8127340521326e-08
351,8.24340120079498e-08,6.30354907116271e-06,8.04307079424278e-22,4.59921792995908e-07
352,4.91743648931991e-08,1.44424268455623e-06,8.71224539100128e-17,1.44751230203309e-07
353,2.89618447360657e-07,1.56901969603496e-05,0,1.70225972837461e-06
354,3.58180051541573e-09,1.77632344389167e-07,0,1.4520878691064e-08
355,1.16056154115889e-08,3.28163309859519e-07,2.37898663831899e-22,4.23277671615671e-08
356,5.36700548475907e-08,3.39015491590544e-06,1.72197980705961e-21,1.78999640600864e-07
357,1.65381579625105e-09,4.58268090142155e-08,6.4595938332895e-23,5.08315406465574e-09
358,5.10820462080267e-09,2.53520653359374e-07,1.63576258602068e-18,3.16378776262775e-08
359,1.38017227069656e-10,1.14604103984561e-08,2.61012034303797e-19,8.9111322338657e-10
360,2.80345864097137e-06,0.000200157664949074,5.73914783473787e-17,1.55707737118655e-05
361,7.0754220361627e-08,6.95065546096885e-06,1.0363764919831e-17,4.98692099455972e-07
362,5.29655690363236e-05,0.00309070362709463,0,0.000269839055303574
363,6.31431705999717e-10,2.77236598122954e-08,0,3.25019045350772e-09
364,1.14378757782709e-08,4.3500293145371e-07,1.42681829809757e-21,4.53387664275658e-08
365,6.01236669315947e-08,1.68862898135558e-05,1.95532668035951e-22,8.06028509056686e-07
366,7.8703752461009e-08,3.24330949297291e-06,1.59568978994355e-22,3.14026313786686e-07
367,5.14972493484067e-08,5.29952831129776e-06,1.38906670099519e-17,2.68469500256949e-07
368,1.38966389984188e-08,6.90293347815896e-07,3.85269693510617e-17,7.93391707736228e-08
369,1.22119895489518e-09,2.52899425845499e-08,0,4.19132551024857e-09
370,1.88486960560583e-08,8.00629379682505e-07,2.32619224845481e-23,6.71698017754143e-08
371,3.04409936095457e-08,2.56280645771767e-06,0,1.71984390270251e-07
372,8.60446761107495e-10,3.03479374963445e-08,0,3.33641833543453e-09
373,1.40659673545367e-06,1.52900720422622e-05,0,3.04345867978735e-06
374,3.89178318131394e-08,1.48400374655466e-06,4.33671232340066e-18,1.57220827055376e-07
375,5.69534965477022e-09,2.23133596932712e-07,1.29437700466089e-19,2.01666290897806e-08
