"zone","mean","max","min","sd"
124,0.0789105126646054,0.122906550765038,0.0624878332018852,0.00553258104242743
341,8.76663738091388e-05,0.0128634162247181,0,0.000692470273636226
342,3.08902154422237e-08,7.53880271986418e-07,2.66486509468129e-20,8.72138365229195e-08
343,1.09868191851435e-09,5.02418338044208e-08,2.78385477867684e-16,5.67607087342927e-09
344,1.77667740970208e-11,5.83015413724297e-10,8.54029465674667e-31,8.93045150576914e-11
345,1.45328905530803e-07,9.71292229223764e-06,1.10843992106107e-25,1.08094029665303e-06
346,9.95882961710607e-08,7.52237065171357e-06,1.15074789956899e-20,4.90867474293711e-07
347,1.44133341945077e-06,5.13528029841837e-05,0,5.87419625747267e-06
348,2.81830505287602e-08,2.09443987841951e-06,9.84677136014662e-27,1.61259631001291e-07
349,1.36579042795704e-08,4.72700094178435e-06,1.40414511670608e-23,2.00590899722295e-07
350,1.0364524925964e-08,3.96427026316815e-07,2.56250263852489e-26,4.53000469537552e-08
351,2.05239884710363e-07,1.64899411174702e-05,2.10406717396717e-21,1.18846600335364e-06
352,1.20673436278831e-07,3.77813125851389e-06,2.27912346257797e-16,3.53407653076759e-07
353,8.84662764132034e-07,4.1044670069823e-05,5.74668258247851e-25,4.73559410241279e-06
354,8.92317254256104e-09,4.64686110035473e-07,5.41719694588054e-22,3.79194294014055e-08
355,2.41405797939176e-08,7.89317425642366e-07,6.22342894688775e-22,8.4475983837906e-08
356,1.39536862150226e-07,8.86860379978316e-06,4.50469919627056e-21,4.65373759057018e-07
357,4.45406735959507e-09,1.19882926696846e-07,1.68982967358224e-22,1.34723965666757e-08
358,1.41865105506355e-08,6.63209789308894e-07,4.27915502842768e-18,8.54503633855237e-08
359,3.98875429067204e-10,2.99804341352683e-08,6.82807506967743e-19,2.39395757193197e-09
360,7.4815740433722e-06,0.0005234683630988,1.50136100209902e-16,4.14401474718872e-05
361,1.83281190762401e-07,1.81827417691238e-05,4.13808073153297e-16,1.30744285451343e-06
362,0.00014058130376282,0.00805097632110119,0,0.000705907874082085
363,1.72306166802193e-09,7.25250970390334e-08,2.46008135004909e-23,8.70455665093217e-09
364,3.05854519788477e-08,1.13796693312906e-06,3.73255638671107e-21,1.18897711358912e-07
365,1.55812655250173e-07,4.41735101048835e-05,5.11513465842447e-22,2.09823841515349e-06
366,1.74166958120716e-07,8.48446052259533e-06,4.17432450159949e-22,7.63464084002057e-07
367,1.31931366041722e-07,1.38634659379022e-05,3.63379880611729e-17,7.02919207376386e-07
368,3.99321684837156e-08,1.80580559572263e-06,1.00786551187103e-16,2.09868290393119e-07
369,2.806046578898e-09,6.61584920180758e-08,3.14769247084457e-24,1.06654763616967e-08
370,4.93738212083507e-08,2.09444419851934e-06,6.08531909235175e-23,1.75729805362143e-07
371,7.66972913638888e-08,6.70427789373207e-06,0,4.41311970325656e-07
372,2.60440503753999e-09,7.93901975271183e-08,3.27950962048904e-30,9.52951016055309e-09
373,3.12222286262151e-06,3.99979871872347e-05,0,7.57267585145876e-06
374,1.06099096095176e-07,3.88214584745583e-06,1.1344839176627e-17,4.17035730967909e-07
375,1.04293256289255e-08,2.90405210989775e-07,3.38609020386784e-19,2.93053045138383e-08
376,4.9565209275237e-07,1.90408736671088e-05,4.90684088666082e-20,1.78852380997755e-06
377,1.00699400472308e-07,4.2576380110404e-06,5.61273547988618e-24,3.9444406869369e-07
