"zone","mean","max","min","sd"
304,-9999,-9999,-9999,0
305,-9999,-9999,-9999,0
306,-9999,-9999,-9999,0
307,-9999,-9999,-9999,0
308,-9999,-9999,-9999,0
309,-9999,-9999,-9999,0
310,-9999,-9999,-9999,0
311,-9999,-9999,-9999,0
312,-9999,-9999,-9999,0
313,-9999,-9999,-9999,0
314,-9999,-9999,-9999,0
315,-9999,-9999,-9999,0
316,-9999,-9999,-9999,0
317,-9999,-9999,-9999,0
318,-9999,-9999,-9999,0
319,-9999,-9999,-9999,0
320,-9999,-9999,-9999,0
321,-9999,-9999,-9999,0
322,-9999,-9999,-9999,0
323,-9999,-9999,-9999,0
324,-9999,-9999,-9999,0
325,-9999,-9999,-9999,0
326,-9999,-9999,-9999,0
327,-9999,-9999,-9999,0
328,-9999,-9999,-9999,0
329,-9999,-9999,-9999,0
330,-9999,-9999,-9999,0
331,-9999,-9999,-9999,0
332,-9999,-9999,-9999,0
333,-9999,-9999,-9999,0
334,-9999,-9999,-9999,0
335,-9999,-9999,-9999,0
336,-9999,-9999,-9999,0
337,-9999,-9999,-9999,0
338,-9999,-9999,-9999,0
339,-9999,-9999,-9999,0
340,-9999,-9999,-9999,0
341,-0.0166092134127233,0,-1,0.127804846148865
342,-1,-1,-1,0
343,-1,-1,-1,0
344,-1,-1,-1,0
345,-1,-1,-1,0
346,-0.975326560232221,0,-1,0.155240583749699
347,-321.946600852591,0,-9999,1765.13753202557
348,-1,-1,-1,0
349,-0.458367683429514,0,-1,0.498469247566948
350,-1,-1,-1,0
351,-1,-1,-1,0
352,-1,-1,-1,0
353,-1,-1,-1,0
354,-1,-1,-1,0
355,-1,-1,-1,0
356,-0.588718510405257,0,-1,0.492200872967864
357,-0.108701134930643,0,-1,0.311303131154219
358,-36.823793949305,0,-9999,605.53119645434
359,-56.854748603352,-1,-9999,747.285605733386
360,-0.0371013234975049,0,-1,0.189030600891323
361,-1,-1,-1,0
362,-14.2476720124159,0,-9999,376.88681051992
363,-1,-1,-1,0
364,-0.847145488029466,0,-1,0.360179013267859
365,-0.328155339805825,0,-1,0.469693734079124
366,-1,-1,-1,0
367,-0.994082840236686,0,-1,0.0767709045150531
368,-1,-1,-1,0
369,-1,-1,-1,0
370,-0.933009708737864,0,-1,0.250126634405419
371,-30.456416464891,0,-9999,549.416264130695
372,-0.97841726618705,0,-1,0.14584217692178
373,-14.2606888361045,0,-9999,377.230508114451
374,-1,-1,-1,0
375,-1,-1,-1,0
376,-0.947916666666667,0,-1,0.222484976659078
377,-1,-1,-1,0
378,-0.896030245746692,0,-1,0.305510202664243
379,-1,-1,-1,0
380,-82.6163265306122,-1,-9999,901.474220498931
381,-0.0340237646906045,0,-1,0.181293174650812
382,-40.4163372859025,0,-9999,627.745547871574
383,-184.375739301867,0,-9999,1345.27043225839
384,-0.963222416812609,0,-1,0.188297742638282
385,-1,-1,-1,0
386,-1,-1,-1,0
387,-1,-1,-1,0
388,-39.0152091254753,-1,-9999,615.915665034515
391,-9999,-9999,-9999,0
392,-9999,-9999,-9999,0
393,-9999,-9999,-9999,0
394,-9999,-9999,-9999,0
395,-9999,-9999,-9999,0
396,-9999,-9999,-9999,0
397,-9999,-9999,-9999,0
398,-1,-1,-1,0
399,-0.998956703182055,0,-1,0.0322916753943257
400,-1,-1,-1,0
401,-1,-1,-1,0
402,-1,-1,-1,0
403,-1,-1,-1,0
404,-1,-1,-1,0
405,-1,-1,-1,0
406,-1,-1,-1,0
407,-1,-1,-1,0
408,-1,-1,-1,0
409,-1,-1,-1,0
410,-1,-1,-1,0
411,-1,-1,-1,0
412,-1,-1,-1,0
413,-0.884588563458856,0,-1,0.319573537824615
414,-1,-1,-1,0
415,-1,-1,-1,0
416,-9999,-9999,-9999,0
417,-9999,-9999,-9999,0
419,-9999,-9999,-9999,0
421,-9999,-9999,-9999,0
429,-9999,-9999,-9999,0
430,-9999,-9999,-9999,0
431,-9999,-9999,-9999,0
432,-9999,-9999,-9999,0
433,-9999,-9999,-9999,0
434,-9999,-9999,-9999,0
435,-9994.80138564405,8.9682151156012e-05,-9999,204.873446999093
436,-9999,-9999,-9999,0
437,-9999,-9999,-9999,0
438,-9999,-9999,-9999,0
439,-9999,-9999,-9999,0
440,-9999,-9999,-9999,0
441,-9999,-9999,-9999,0
442,-9999,-9999,-9999,0
443,-9999,-9999,-9999,0
444,-9999,-9999,-9999,0
445,-9997.74636365644,0.00347627280279994,-9999,111.960324031714
446,-9999,-9999,-9999,0
447,-9999,-9999,-9999,0
448,-9999,-9999,-9999,0
449,-9999,-9999,-9999,0
450,-9999,-9999,-9999,0
451,-9999,-9999,-9999,0
452,-9999,-9999,-9999,0
453,-9999,-9999,-9999,0
454,-9999,-9999,-9999,0
455,-9999,-9999,-9999,0
456,-9999,-9999,-9999,0
457,-9999,-9999,-9999,0
458,-9999,-9999,-9999,0
459,-9999,-9999,-9999,0
460,-9999,-9999,-9999,0
461,-9999,-9999,-9999,0
462,-9999,-9999,-9999,0
463,-9999,-9999,-9999,0
464,-9999,-9999,-9999,0
465,-9999,-9999,-9999,0
468,-9999,-9999,-9999,0
469,-9999,-9999,-9999,0
470,-9999,-9999,-9999,0
471,-9999,-9999,-9999,0
472,-9999,-9999,-9999,0
473,-9999,-9999,-9999,0
474,-9999,-9999,-9999,0
475,-9999,-9999,-9999,0
476,-9999,-9999,-9999,0
477,-9999,-9999,-9999,0
478,-9999,-9999,-9999,0
479,-9999,-9999,-9999,0
480,-9999,-9999,-9999,0
481,-9999,-9999,-9999,0
482,-9999,-9999,-9999,0
483,-9999,-9999,-9999,0
484,-9999,-9999,-9999,0
485,-9999,-9999,-9999,0
486,-9999,-9999,-9999,0
487,-9999,-9999,-9999,0
488,-9999,-9999,-9999,0
489,-9999,-9999,-9999,0
490,-9999,-9999,-9999,0
491,-9999,-9999,-9999,0
492,-9999,-9999,-9999,0
493,-9999,-9999,-9999,0
494,-9999,-9999,-9999,0
495,-9999,-9999,-9999,0
496,-9858.18309859155,-1,-9999,1186.54430186221
497,-9999,-9999,-9999,0
498,-9999,-9999,-9999,0
499,-9999,-9999,-9999,0
500,-9999,-9999,-9999,0
501,-9999,-9999,-9999,0
502,-9999,-9999,-9999,0
503,-9999,-9999,-9999,0
504,-9999,-9999,-9999,0
505,-9999,-9999,-9999,0
506,-9999,-9999,-9999,0
507,-9999,-9999,-9999,0
508,-9869.15584415584,-1,-9999,1139.37784344346
509,-9999,-9999,-9999,0
510,-9999,-9999,-9999,0
511,-9999,-9999,-9999,NA
512,-9999,-9999,-9999,0
513,-9999,-9999,-9999,0
514,-9999,-9999,-9999,0
515,-9999,-9999,-9999,0
516,-9999,-9999,-9999,0
517,-9999,-9999,-9999,0
518,-9999,-9999,-9999,0
519,-9999,-9999,-9999,0
520,-9999,-9999,-9999,0
521,-9999,-9999,-9999,0
522,-9999,-9999,-9999,0
523,-9999,-9999,-9999,0
524,-9999,-9999,-9999,0
525,-9999,-9999,-9999,0
526,-9999,-9999,-9999,0
527,-9999,-9999,-9999,0
528,-9999,-9999,-9999,0
529,-9999,-9999,-9999,0
530,-9999,-9999,-9999,0
531,-9999,-9999,-9999,0
532,-9999,-9999,-9999,0
533,-9999,-9999,-9999,0
534,-1,-1,-1,NA
535,-9999,-9999,-9999,0
536,-9999,-9999,-9999,0
537,-9999,-9999,-9999,0
538,-9999,-9999,-9999,0
539,-9999,-9999,-9999,0
540,-9999,-9999,-9999,NA
541,-9999,-9999,-9999,0
542,-9999,-9999,-9999,0
543,-9999,-9999,-9999,0
544,-9999,-9999,-9999,0
545,-9999,-9999,-9999,NA
546,-9999,-9999,-9999,0
547,-9999,-9999,-9999,0
548,-9999,-9999,-9999,0
549,-9999,-9999,-9999,0
550,-9999,-9999,-9999,0
551,-9999,-9999,-9999,0
552,-9999,-9999,-9999,0
553,-9999,-9999,-9999,0
554,-9999,-9999,-9999,0
555,-9999,-9999,-9999,0
556,-9999,-9999,-9999,0
557,-9999,-9999,-9999,0
558,-9999,-9999,-9999,0
559,-9999,-9999,-9999,0
560,-9999,-9999,-9999,0
561,-9999,-9999,-9999,0
562,-9999,-9999,-9999,0
563,-9999,-9999,-9999,0
564,-9999,-9999,-9999,0
565,-9999,-9999,-9999,0
566,-9999,-9999,-9999,0
567,-9999,-9999,-9999,0
568,-9999,-9999,-9999,0
569,-9999,-9999,-9999,0
570,-9999,-9999,-9999,0
571,-9999,-9999,-9999,0
572,-9999,-9999,-9999,0
573,-9999,-9999,-9999,0
575,-9999,-9999,-9999,0
576,-3901.75772555136,0.00241858558729291,-9999,4878.95126247826
577,-7271.4284410316,0.0129769388586283,-9999,4454.86446612049
578,-9963.00089721358,0.00160862668417394,-9999,599.143748394677
579,-9280.33955224538,0.00213704281486571,-9999,2583.25175036928
580,-15.7464092400215,0.000203834293643013,-9999,396.798213162847
581,-9999,-9999,-9999,0
582,-9999,-9999,-9999,NA
583,-9999,-9999,-9999,0
584,-9999,-9999,-9999,0
586,-9999,-9999,-9999,0
587,-9999,-9999,-9999,0
588,-9999,-9999,-9999,0
589,-9999,-9999,-9999,0
590,-9999,-9999,-9999,0
591,-9999,-9999,-9999,0
593,-9999,-9999,-9999,0
594,-9999,-9999,-9999,0
595,-9999,-9999,-9999,0
596,-9999,-9999,-9999,0
598,-9999,-9999,-9999,0
600,-9999,-9999,-9999,0
601,-9999,-9999,-9999,0
602,-9999,-9999,-9999,0
603,-9999,-9999,-9999,0
604,-9959.63385807061,5.00659698445816e-05,-9999,627.393062699063
605,-9999,-9999,-9999,0
606,-9999,-9999,-9999,0
607,-1036.93321279907,0.00247315503656864,-9999,3059.80671780833
608,-9912.80172195748,0.000459213042631745,-9999,926.37219831982
609,-1,-1,-1,0
610,-1,-1,-1,0
611,-1,-1,-1,0
612,-1,-1,-1,0
613,-1,-1,-1,0
614,-1,-1,-1,0
615,-1,-1,-1,0
616,-1667.33333333333,-1,-9999,4081.6664080577
617,-1,-1,-1,0
618,-1,-1,-1,0
619,-1,-1,-1,0
620,-1,-1,-1,0
621,-9999,-9999,-9999,0
622,-9999,-9999,-9999,0
623,-9999,-9999,-9999,0
624,-9999,-9999,-9999,0
625,-9999,-9999,-9999,0
626,-9999,-9999,-9999,0
627,-9999,-9999,-9999,0
628,-9999,-9999,-9999,0
629,-9999,-9999,-9999,0
630,-9614.42307508609,4.77616595162544e-05,-9999,1960.96524461353
631,-9999,-9999,-9999,0
632,-1935.28985530975,0.0140497852116823,-9999,3966.42106688223
633,-9492.72151660452,4.76829845865723e-05,-9999,2206.25827069645
634,-2908.79985259625,0.00331098912283778,-9999,4562.14701580779
635,-9999,-9999,-9999,0
636,-9999,-9999,-9999,0
637,-9833.72727193593,4.91845894430298e-05,-9999,1280.15259469074
638,-9892.62765900286,5.37312698725145e-05,-9999,1031.31810967612
639,-9374.0624970574,4.74191256216727e-05,-9999,2459.1009610804
640,-9999,-9999,-9999,0
641,-9999,-9999,-9999,0
647,-9999,-9999,-9999,NA
648,0.0198977078542442,0.052377738058567,0.000984874204732478,0.016098401913628
652,-9999,-9999,-9999,0
653,-9999,-9999,-9999,0
654,-0.998914076286141,0,-1,0.0329376949293085
655,-1,-1,-1,0
656,-1,-1,-1,0
657,-17.5409745293466,0,-9999,407.189862094381
658,-1,-1,-1,0
659,-1,-1,-1,0
660,-1,-1,-1,0
661,-1,-1,-1,0
662,-1,-1,-1,0
663,-1,-1,-1,0
664,-9999,-9999,-9999,0
665,0.0183587744950747,0.0421890243887901,0.000281833315966651,0.00952708634309708
666,-9999,-9999,-9999,0
667,-193.676351915873,0.0412412062287331,-9999,1378.22468206395
668,-398.059735512048,0.0530535764992237,-9999,1954.98599501837
669,-9916.60985707305,0.00768969673663378,-9999,903.914250414381
670,-9903.06229304072,0.000885274901520461,-9999,974.788784556767
671,-176.038640420025,0.00155443663243204,-9999,1317.32000905477
672,-7553.47678273225,0.00209626345895231,-9999,4298.84446237102
673,-9336.6666223765,0.00142246449831873,-9999,2486.83723013667
674,-5210.79134051761,0.0078048394061625,-9999,4995.19269786486
675,-7077.62448046456,0.0436688028275967,-9999,4547.18437181056
676,-7861.17043394497,0.000671339977998286,-9999,4099.60810358603
677,-9499.46512301993,0.00199203682132065,-9999,2178.41188745894
678,-942.602761745214,0.0335485339164734,-9999,2921.77625109588
679,-9760.12877768212,0.000514226732775569,-9999,1527.18187799765
680,-9149.97305594967,0.000787305820267648,-9999,2787.35215005979
681,-9975.46790717003,0.000356914039002731,-9999,484.555337278754
682,-9859.90387846284,0.00108987663406879,-9999,1171.14872856746
683,-8287.07579461078,0.000558355823159218,-9999,3767.34528054152
684,-9574.51414808945,0.000727995298802853,-9999,2016.39381878891
685,-9716.63396655907,0.00048557305126451,-9999,1656.45186432489
686,-343.357533714398,0.0400060638785362,-9999,1820.90100472766
687,-223.898305627181,0.0536889210343361,-9999,1479.5286997361
688,-9454.56834872448,0.000954472459852695,-9999,2269.00462714527
689,-9590.99072584459,0.000661729427520186,-9999,1978.2626932944
690,-9905.2886582017,0.000385604827897623,-9999,963.902834442602
691,-9653.70968754044,0.00227314908988774,-9999,1825.81093158416
692,-9999,-9999,-9999,NA
695,-9999,-9999,-9999,NA
696,-9999,-9999,-9999,0
698,-9999,-9999,-9999,0
699,-9999,-9999,-9999,0
700,-9999,-9999,-9999,0
701,-9999,-9999,-9999,0
702,-9999,-9999,-9999,0
703,-9999,-9999,-9999,0
704,-9999,-9999,-9999,0
705,-9999,-9999,-9999,0
706,-9999,-9999,-9999,0
707,-9999,-9999,-9999,0
708,-9999,-9999,-9999,0
709,-9999,-9999,-9999,0
710,-9999,-9999,-9999,0
711,-9999,-9999,-9999,0
712,-9999,-9999,-9999,0
713,-9999,-9999,-9999,0
714,-9999,-9999,-9999,0
715,-9999,-9999,-9999,0
716,-9999,-9999,-9999,0
717,-9999,-9999,-9999,0
718,-9999,-9999,-9999,0
719,-9999,-9999,-9999,0
720,-9999,-9999,-9999,0
721,-9999,-9999,-9999,0
722,-9999,-9999,-9999,0
723,-9999,-9999,-9999,0
724,-9999,-9999,-9999,0
725,-9999,-9999,-9999,0
726,-9999,-9999,-9999,0
727,-9999,-9999,-9999,0
728,-9999,-9999,-9999,0
729,-9999,-9999,-9999,0
737,-9999,-9999,-9999,NA
741,-1,-1,-1,NA
744,-9999,-9999,-9999,0
765,-9999,-9999,-9999,NA
780,-9999,-9999,-9999,0
781,-9999,-9999,-9999,0
